,,,,,,,,,,,,
,,,,,,,,,,,,
,Unknown,,,,,,,,,,,
,,1,2,3,Average,Stdev,%RSD,,intercept,slope,Conc,% DIFFERENCE
,B,153645,151655,150924,152074.666666667,1408.20819956899,0.925997886719455,,4018.8,1090.5,135.768791074431,-9.48747261704621
,T,449208,422802,422310,431440,15389.5056450817,3.56700946715225,,8013,3062.9,138.243821215188,-7.83745252320786
,E,1318205,1258360,1194537,1257034,61844.6623646698,4.91988779656475,,21928,8814.4,140.123661281539,-6.58422581230712
,X,1163197,1108632,1065769,1112532.66666667,48830.9860266341,4.38917323416128,,28066,7735.5,140.193480274923,-6.53767981671801
,,,,,,,,,,,,
,,,,,,,,,,,,
,Unknown + Std addition,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,1,2,3,Average,Stdev,%RSD,,c,% DIFFERENCE,,
,B,275491,267494,275844,272943,4722.27201673093,1.73013120568431,,143.186678071207,-4.54221461919527,,
,T,775218,727842,754563,752541,23752.6357905812,3.1563244780791,,141.284622323303,-5.81025178446485,,
,E,2190195,2089339,2156231,2145255,51316.056122816,2.39207255654064,,140.563176118037,-6.29121592130849,,
,X,1944631,1845038,1903184,1897617.66666667,50029.2860466081,2.636426026455,,138.888562510858,-7.4076249927614,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,100 ppb,,,,,,,,,,,
,,1,2,3,Average,Stdev,%RSD,,,,,
,B,111066,117013,108629,112236,4312.71828433066,3.842544535025,,1.35495444123692,1.5,,
,T,310724,323666,301278,311889.333333333,11239.4011109727,3.60365036881864,,1.38331117447642,1.5,,
,E,896143,919784,859364,891763.666666667,30447.1348460464,3.41426052486026,,1.40960441312739,1.5,,
,X,793715,820445,768898,794352.666666667,25779.4155545337,3.24533631424838,,1.40055256733155,1.5,,
