,100 ppb 30seconds,,0.5,,,,
,,1,2,3,Average,Stdev,%RSD
,B,85056,91393,90024,88824.3333333333,3334.4853176065,3.75402234103249
,T,260629,248579,260876,256694.666666667,7029.45846657716,2.73845131177008
,E,689384,665811,688795,681330,13443.0744623393,1.97306363470555
,X,570161,552278,563277,561905.333333333,9020.06232424884,1.60526369642019
,,,,,,,
,,,,,,,
,100 ppb 1.5 min,,1.5,,,,
,,1,2,3,Average,Stdev,%RSD
,B,110995,113289,106182,110155.333333333,3627.1396903529,3.29274995644293
,T,315360,324394,305718,315157.333333333,9339.64931532942,2.96348786066518
,E,913986,931435,895178,913533,18132.744386882,1.98490305077999
,X,799993,811475,786044,799170.666666667,12735.4275284866,1.59358045279689
,,,,,,,
,,,,,,,
,100 ppb 3 min,,3,,,,
,,1,2,3,Average,Stdev,%RSD
,B,111066,117013,108629,112236,4312.71828433066,3.842544535025
,T,310724,323666,301278,311889.333333333,11239.4011109727,3.60365036881864
,E,896143,919784,859364,891763.666666667,30447.1348460464,3.41426052486026
,X,793715,820445,768898,794352.666666667,25779.4155545337,3.24533631424838
,,,,,,,
,,,,,,,
,100 ppb 5 min,,5,,,,
,,1,2,3,Average,Stdev,%RSD
,B,112832,118412,116638,115960.666666667,2850.99725242473,2.45858991188799
,T,317745,339825,323723,327097.666666667,11420.2837676361,3.49139872626304
,E,928133,979719,952582,953478,25804.6693642837,2.70637281240717
,X,826758,874084,848388,849743.333333333,23692.0928863056,2.78814695648948
