Station ID,Date, Latitude ,Longitude,Depth (feet),"2,3,7,8-TCDD (pg/g)","1,2,3,7,8-PeCDD (pg/g)","1,2,3,4,7,8-HxCDD (pg/g)","1,2,3,6,7,8-HxCDD (pg/g)","1,2,3,7,8,9-HxCDD (pg/g)","1,2,3,4,6,7,8-HpCDD (pg/g)",OCDD (pg/g),"2,3,7,8-TCDF (pg/g)","1,2,3,7,8-PeCDF (pg/g)","2,3,4,7,8-PeCDF (pg/g)","1,2,3,4,7,8-HxCDF (pg/g)","1,2,3,6,7,8-HxCDF (pg/g)","1,2,3,7,8,9-HxCDF (pg/g)","2,3,4,6,7,8-HxCDF (pg/g)","1,2,3,4,6,7,8-HpCDF (pg/g)","1,2,3,4,7,8,9-HpCDF (pg/g)",OCDF (pg/g),Total TCDDs (pg/g),Total PeCDDs (pg/g),Total HxCDDs (pg/g),Total HpCDDs (pg/g),Total TCDFs (pg/g),Total PeCDFs (pg/g),Total HxCDFs (pg/g),Total HpCDFs (pg/g),TOC (%),Total Fines (%),TEQ WHO-05 (1 DL) (pg/g),TEQ WHO-05 (1/2 DL) (pg/g),TEQ WHO-05 (0 DL) (pg/g),Title,Details,Location
SS_0,08/04/2008,47.183352,-122.886034,16.7,0.308,1.28,1.92,9.11,5.04,186,1320,1.63,1.15,2.21,6.71,2.45,1.06,3.74,70.3,3.78,176,27.7,44.7,145,433,19.2,30.6,91.3,215,2.51,83.4,8.5,8.31,8.12,Station ID: SS_0,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 8.31 pg/g</li><li><strong>Depth:</strong> 16.7 feet</li><li><strong>Location:</strong> 47.183352N, -122.886034W</li><li><strong>Total Organic Carbon:</strong> 2.51%</li><li><strong>Total Fines:</strong> 83.4%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/66"">View Details</a></p>
","(47.183352, -122.886034)"
R_CAR_5,08/04/2008,47.241567,-122.640012,375.3,0.363,0.838,0.622,4.19,2.61,51,386,1.73,0.996,1.6,2.56,1.02,0.537,1.34,154,1.43,110,1.41,10.8,43.3,124,16.2,16,41.7,262,1.82,71.9,5.38,5.15,4.92,Station ID: R_CAR_5,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 5.15 pg/g</li><li><strong>Depth:</strong> 375.3 feet</li><li><strong>Location:</strong> 47.241567N, -122.640012W</li><li><strong>Total Organic Carbon:</strong> 1.82%</li><li><strong>Total Fines:</strong> 71.9%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/29"">View Details</a></p>
","(47.241567, -122.640012)"
SCPS_5,08/04/2008,47.482493,-122.378067,597.3,0.29,0.909,0.7,4.46,2.78,53,369,2.42,0.732,1.66,2.13,0.652,0.504,1.17,14.5,0.767,31,7.39,9.97,46.4,125,15,17.1,22.1,37.6,1.71,88.6,4,3.74,3.47,Station ID: SCPS_5,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 3.74 pg/g</li><li><strong>Depth:</strong> 597.3 feet</li><li><strong>Location:</strong> 47.482493N, -122.378067W</li><li><strong>Total Organic Carbon:</strong> 1.71%</li><li><strong>Total Fines:</strong> 88.6%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/50"">View Details</a></p>
","(47.482493, -122.378067)"
SCPS_1,08/04/2008,47.501306,-122.431469,569.8,0.243,0.806,0.635,3.91,2.46,44.9,319,2.32,0.687,1.47,1.66,0.775,0.336,0.973,13.4,0.802,26.5,7.64,10.4,41.1,108,17.5,14.8,18,32.8,1.38,75.3,3.51,3.39,3.26,Station ID: SCPS_1,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 3.39 pg/g</li><li><strong>Depth:</strong> 569.8 feet</li><li><strong>Location:</strong> 47.501306N, -122.431469W</li><li><strong>Total Organic Carbon:</strong> 1.38%</li><li><strong>Total Fines:</strong> 75.3%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/46"">View Details</a></p>
","(47.501306, -122.431469)"
HC_2_Dup,08/03/2008,47.395513,-122.951427,71.7,0.215,0.843,1.25,3.06,3.21,58.7,350,1.5,0.567,1.28,1.02,0.866,0.455,1.21,8.98,0.624,15.5,2.1,10.6,42.6,144,10.3,10.6,15.1,20.9,4.33,76.5,3.51,3.38,3.24,Station ID: HC_2_Dup,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 3.38 pg/g</li><li><strong>Depth:</strong> 71.7 feet</li><li><strong>Location:</strong> 47.395513N, -122.951427W</li><li><strong>Total Organic Carbon:</strong> 4.33%</li><li><strong>Total Fines:</strong> 76.5%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/72"">View Details</a></p>
","(47.395513, -122.951427)"
PSPS_2,08/03/2008,48.040005,-122.295774,290.9,0.438,0.743,0.823,3.85,2.77,46.1,335,3.11,0.56,1.27,0.895,0.588,0.343,0.929,9.05,0.59,19.8,13.7,14.6,42.9,111,20.6,13,14.8,24.6,2.64,85.1,3.57,2.98,2.39,Station ID: PSPS_2,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 2.98 pg/g</li><li><strong>Depth:</strong> 290.9 feet</li><li><strong>Location:</strong> 48.040005N, -122.295774W</li><li><strong>Total Organic Carbon:</strong> 2.64%</li><li><strong>Total Fines:</strong> 85.1%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/22"">View Details</a></p>
","(48.040005, -122.295774)"
SPSB_2,08/03/2008,48.132974,-122.52659,291.4,0.224,0.735,0.646,2.25,1.56,30.2,197,1.87,0.369,1.03,0.735,0.476,0.238,0.735,7.07,0.685,13.8,3.69,8.62,25.3,68,14.4,8.58,10.1,17.8,2.09,76.4,2.57,2.27,1.97,Station ID: SPSB_2,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 2.27 pg/g</li><li><strong>Depth:</strong> 291.4 feet</li><li><strong>Location:</strong> 48.132974N, -122.52659W</li><li><strong>Total Organic Carbon:</strong> 2.09%</li><li><strong>Total Fines:</strong> 76.4%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/63"">View Details</a></p>
","(48.132974, -122.52659)"
CPS_1,08/04/2008,47.555219,-122.530361,142.6,0.141,0.444,0.387,2.38,1.58,27.5,193,1.21,0.843,1.13,1.97,0.705,0.388,0.68,8.3,0.674,17.4,5.8,6.44,25,66.3,12.5,12.5,14.7,22.3,0.729,22.4,2.31,2.22,2.13,Station ID: CPS_1,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 2.22 pg/g</li><li><strong>Depth:</strong> 142.6 feet</li><li><strong>Location:</strong> 47.555219N, -122.530361W</li><li><strong>Total Organic Carbon:</strong> 0.729%</li><li><strong>Total Fines:</strong> 22.4%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/7"">View Details</a></p>
","(47.555219, -122.530361)"
PSPS_1,08/03/2008,48.086413,-122.348546,387.2,0.361,0.521,0.587,2.56,1.72,30.3,220,2.01,0.455,0.906,0.67,0.432,0.42,0.586,6.18,0.724,14.1,3.89,8.32,28.2,70.9,11.4,8.71,6.5,15.9,2.31,92.7,2.51,2.19,1.88,Station ID: PSPS_1,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 2.19 pg/g</li><li><strong>Depth:</strong> 387.2 feet</li><li><strong>Location:</strong> 48.086413N, -122.348546W</li><li><strong>Total Organic Carbon:</strong> 2.31%</li><li><strong>Total Fines:</strong> 92.7%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/21"">View Details</a></p>
","(48.086413, -122.348546)"
CPS_0,08/04/2008,47.547086,-122.414055,557.4,0.265,0.468,0.367,2.03,1.27,27,197,1.23,0.441,0.88,1.12,0.375,0.537,0.572,6.04,0.765,14,3.31,4.58,19.1,66.5,7.87,7.23,8.7,16.7,2.75,83.8,2.16,1.95,1.74,Station ID: CPS_0,"<ul><li><strong>Dioxin TEQ 1/2 DL:</strong> 1.95 pg/g</li><li><strong>Depth:</strong> 557.4 feet</li><li><strong>Location:</strong> 47.547086N, -122.414055W</li><li><strong>Total Organic Carbon:</strong> 2.75%</li><li><strong>Total Fines:</strong> 83.8%</li></ul>
<p><a target=""_blank"" href=""http://www.socrata.com/dataset/Dioxin/km7h-ni6x/6"">View Details</a></p>
","(47.547086, -122.414055)"
