PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,1^Activity Summary^STRING^^^^,2^Ratio Activity^STRING^^^^,3^Ratio Potency (uM)^FLOAT^uM^AC^^,4^Ratio Efficacy (%)^FLOAT^%^^^,5^530 nm Activity^STRING^^^^,6^530 nm Potency (uM)^FLOAT^uM^^^,7^530 nm Efficacy (%)^FLOAT^%^^^,8^460 nm Activity^STRING^^^^,9^460 nm Potency (uM)^FLOAT^uM^^^,10^460 nm Efficacy (%)^FLOAT^%^^^,11^Blue (460 nm) auto fluorescence outcome^STRING^^^^,12^Sample Source^STRING^^^^
144203552,12850184,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203553,89753,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203554,9403,Active,98,,,active agonist,active agonist,0.00175753,115.035,active antagonist,0.00145209,-30.9236,active agonist,0.00162927,95.8513,inactive,NCI
144203555,13218779,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203556,142766,Active,43,,,active agonist,active agonist,24.8257,31.0294,inactive,,0,active agonist,23.9145,43.755,inactive,NCI
144203557,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203558,16043,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,SigmaAldrich
144203559,2724411,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203560,2724372,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203561,637566,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203562,994,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203563,4766,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203564,79472,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,Labotest
144203565,3080,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203566,197883,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203567,51,Inactive,0,,,inactive,inactive,,0,inactive,,0,inactive,,0,inactive,NCI
144203568,66064,Inactive,0,,,inactive,inactive,,0,inconclusive agonist,,0,inactive,,0,inactive,NCI
