,PFBA,PFPeA,PFHxA,PFHpA,PFOA,PFNA,PFDA,PFUnDA,PFDoDA,PFTrDA,PFTeDA,PFHxDA,PFBS,PFHxS,PFHpS,PFOS
Muscle,38.72313459,0.260740741,0.053611111,0.366713105,0.138412015,0,0.149441117,0.027415601,0.02364293,0.009370152,0.051131452,0.035512444,0.224444444,2.353144421,0,1.886890255
Liver,37.0937037,0.078333333,0.105555556,0.208333333,0.076666667,0,0.026666667,0.107777778,0.066666667,0.07,0,0,0.146666667,1.018490726,0,9.825884005
Blood,80.09111111,0.051111111,0.178888889,0.24,0.092222222,0,0.026666667,0.073333333,0.016666667,0.094444444,0,0,0.095555556,2.337049383,0,6.809876543
Albumen,4.134511803,0,0.055606688,0,0,0,0,0,0,0,0,0,0,0.350889368,0,2.576458134
Yolk,199.9320051,0,0.382874939,0.135213853,1.195474174,0.554337457,0.225584227,0.225737348,0,0,0.021252881,0,0.503141625,11.1165335,0.143187912,16.82786872
Stomach,40.76874982,0,0,0,0.325237694,0,0.381375968,0.058889089,0.044236156,0.03445852,0.072094808,0.029902845,0.251497832,2.880539151,0,3.394632881
Intestine,90.97987508,9.421073195,6.134916926,0.179155998,0.673493154,0.059699506,0.454007931,0.107480842,0.07084301,0.05312549,0.071930631,0.044189161,0.149578471,1.863229871,0,3.149702498
Heart,54.13834068,2.604092123,0,0.098404071,0.335957421,0.05405005,0.349964318,0.089385295,0.062978812,0.049669011,0.105080792,0.028663203,0.507924225,2.043621259,0,3.70781273
Lung,28.34342769,0,0,0.043094424,0.315040022,0.084781698,0.528921761,0.173334396,0.071771813,0.082642924,0.142176438,0.023309456,2.64465569,3.142101103,0.020881162,7.324928478
Brain,5.359186574,0,0,0,0.018950859,0,0.055797291,0.323799147,0.151569872,0.232052594,0.249904035,0,0,2.839736151,0,7.062240533
Kidney,28.90350686,0,0,0.098331553,2.580754012,0.421453414,0.076910931,0.172020512,0.044714007,0.075183583,0.268348969,0.013624875,0.121102028,3.22501712,0.033,10.91140398
Spleen,5.743665896,0,0,0,0.106728488,0.013605442,0.047159736,0.123779366,0.060619241,0.091576483,0.141897406,0.00509684,0,1.641915038,0.009555556,6.370935697
