month,day,year,deaths,date
1,1,2015,107,2015-01-01
1,2,2015,101,2015-01-02
1,3,2015,78,2015-01-03
1,4,2015,121,2015-01-04
1,5,2015,99,2015-01-05
1,6,2015,104,2015-01-06
1,7,2015,79,2015-01-07
1,8,2015,73,2015-01-08
1,9,2015,90,2015-01-09
1,10,2015,75,2015-01-10
1,11,2015,88,2015-01-11
1,12,2015,85,2015-01-12
1,13,2015,74,2015-01-13
1,14,2015,98,2015-01-14
1,15,2015,88,2015-01-15
1,16,2015,111,2015-01-16
1,17,2015,92,2015-01-17
1,18,2015,90,2015-01-18
1,19,2015,101,2015-01-19
1,20,2015,98,2015-01-20
1,21,2015,105,2015-01-21
1,22,2015,71,2015-01-22
1,23,2015,82,2015-01-23
1,24,2015,84,2015-01-24
1,25,2015,83,2015-01-25
1,26,2015,83,2015-01-26
1,27,2015,73,2015-01-27
1,28,2015,87,2015-01-28
1,29,2015,73,2015-01-29
1,30,2015,78,2015-01-30
1,31,2015,73,2015-01-31
2,1,2015,66,2015-02-01
2,2,2015,114,2015-02-02
2,3,2015,95,2015-02-03
2,4,2015,87,2015-02-04
2,5,2015,84,2015-02-05
2,6,2015,93,2015-02-06
2,7,2015,79,2015-02-07
2,8,2015,94,2015-02-08
2,9,2015,80,2015-02-09
2,10,2015,77,2015-02-10
2,11,2015,109,2015-02-11
2,12,2015,93,2015-02-12
2,13,2015,86,2015-02-13
2,14,2015,67,2015-02-14
2,15,2015,79,2015-02-15
2,16,2015,101,2015-02-16
2,17,2015,81,2015-02-17
2,18,2015,75,2015-02-18
2,19,2015,94,2015-02-19
2,20,2015,79,2015-02-20
2,21,2015,71,2015-02-21
2,22,2015,90,2015-02-22
2,23,2015,85,2015-02-23
2,24,2015,95,2015-02-24
2,25,2015,93,2015-02-25
2,26,2015,77,2015-02-26
2,27,2015,66,2015-02-27
2,28,2015,93,2015-02-28
3,1,2015,82,2015-03-01
3,2,2015,92,2015-03-02
3,3,2015,95,2015-03-03
3,4,2015,77,2015-03-04
3,5,2015,75,2015-03-05
3,6,2015,90,2015-03-06
3,7,2015,76,2015-03-07
3,8,2015,80,2015-03-08
3,9,2015,68,2015-03-09
3,10,2015,80,2015-03-10
3,11,2015,79,2015-03-11
3,12,2015,72,2015-03-12
3,13,2015,80,2015-03-13
3,14,2015,67,2015-03-14
3,15,2015,71,2015-03-15
3,16,2015,89,2015-03-16
3,17,2015,75,2015-03-17
3,18,2015,82,2015-03-18
3,19,2015,92,2015-03-19
3,20,2015,76,2015-03-20
3,21,2015,81,2015-03-21
3,22,2015,62,2015-03-22
3,23,2015,79,2015-03-23
3,24,2015,64,2015-03-24
3,25,2015,75,2015-03-25
3,26,2015,77,2015-03-26
3,27,2015,73,2015-03-27
3,28,2015,76,2015-03-28
3,29,2015,86,2015-03-29
3,30,2015,94,2015-03-30
3,31,2015,62,2015-03-31
4,1,2015,70,2015-04-01
4,2,2015,85,2015-04-02
4,3,2015,80,2015-04-03
4,4,2015,88,2015-04-04
4,5,2015,84,2015-04-05
4,6,2015,82,2015-04-06
4,7,2015,66,2015-04-07
4,8,2015,57,2015-04-08
4,9,2015,73,2015-04-09
4,10,2015,66,2015-04-10
4,11,2015,80,2015-04-11
4,12,2015,93,2015-04-12
4,13,2015,74,2015-04-13
4,14,2015,71,2015-04-14
4,15,2015,86,2015-04-15
4,16,2015,79,2015-04-16
4,17,2015,74,2015-04-17
4,18,2015,71,2015-04-18
4,19,2015,74,2015-04-19
4,20,2015,66,2015-04-20
4,21,2015,73,2015-04-21
4,22,2015,71,2015-04-22
4,23,2015,70,2015-04-23
4,24,2015,67,2015-04-24
4,25,2015,80,2015-04-25
4,26,2015,72,2015-04-26
4,27,2015,69,2015-04-27
4,28,2015,87,2015-04-28
4,29,2015,67,2015-04-29
4,30,2015,84,2015-04-30
5,1,2015,66,2015-05-01
5,2,2015,87,2015-05-02
5,3,2015,77,2015-05-03
5,4,2015,70,2015-05-04
5,5,2015,81,2015-05-05
5,6,2015,89,2015-05-06
5,7,2015,82,2015-05-07
5,8,2015,79,2015-05-08
5,9,2015,85,2015-05-09
5,10,2015,84,2015-05-10
5,11,2015,78,2015-05-11
5,12,2015,64,2015-05-12
5,13,2015,66,2015-05-13
5,14,2015,74,2015-05-14
5,15,2015,81,2015-05-15
5,16,2015,71,2015-05-16
5,17,2015,78,2015-05-17
5,18,2015,70,2015-05-18
5,19,2015,71,2015-05-19
5,20,2015,78,2015-05-20
5,21,2015,88,2015-05-21
5,22,2015,64,2015-05-22
5,23,2015,65,2015-05-23
5,24,2015,87,2015-05-24
5,25,2015,57,2015-05-25
5,26,2015,90,2015-05-26
5,27,2015,65,2015-05-27
5,28,2015,64,2015-05-28
5,29,2015,79,2015-05-29
5,30,2015,66,2015-05-30
5,31,2015,84,2015-05-31
6,1,2015,68,2015-06-01
6,2,2015,76,2015-06-02
6,3,2015,62,2015-06-03
6,4,2015,65,2015-06-04
6,5,2015,82,2015-06-05
6,6,2015,79,2015-06-06
6,7,2015,59,2015-06-07
6,8,2015,65,2015-06-08
6,9,2015,66,2015-06-09
6,10,2015,80,2015-06-10
6,11,2015,58,2015-06-11
6,12,2015,74,2015-06-12
6,13,2015,76,2015-06-13
6,14,2015,61,2015-06-14
6,15,2015,78,2015-06-15
6,16,2015,69,2015-06-16
6,17,2015,87,2015-06-17
6,18,2015,71,2015-06-18
6,19,2015,81,2015-06-19
6,20,2015,65,2015-06-20
6,21,2015,79,2015-06-21
6,22,2015,82,2015-06-22
6,23,2015,73,2015-06-23
6,24,2015,81,2015-06-24
6,25,2015,66,2015-06-25
6,26,2015,84,2015-06-26
6,27,2015,69,2015-06-27
6,28,2015,64,2015-06-28
6,29,2015,61,2015-06-29
6,30,2015,64,2015-06-30
7,1,2015,71,2015-07-01
7,2,2015,67,2015-07-02
7,3,2015,85,2015-07-03
