"","Label","235.2/23","171.2/16","439.5/18","383.4/16","145.1/14","411.5/17","130.1/45","112.2/21","139.2/22","258.2/19","302.2/14","156.2/23","257.2/20","181.2/16","467.6/20","147.2/12","137.2/19","182.2/15","157.2/23","219.2/10","180.2/11","158.2/14","129.2/41","192.2/10","196.3/22","227.2/13","201.3/14","268.2/16","352.2/10","314.2/17","288.2/13","194.2/14","126.2/19","153.2/10","316.2/21","356.4/19","110.2/11","183.2/11","298.3/13","146.2/19","247.3/14","282.3/13","255.2/23","178.2/21","327.3/14","187.2/10","109.2/6","357.4/17","103.2/16","223.2/10","254.3/18","285.2/18","355.4/17","123.2/9","280.3/13","127.1/11","144.2/14","294.3/16","229.3/15","310.3/17","289.2/18","243.3/14","341.4/13","342.4/15","286.2/17","252.3/21","296.3/14","299.3/17","482.4/23","343.4/13","304.2/13","114.2/19","271.2/29","322.2/16","297.3/14","162.1/11","135.2/51","115.2/26","269.2/19"
"A1_1","A",475991.2634,3943172.016,160019.6873,176259.3939,253968.3924,200023.996,4346730.657,8096045.87,2116032.62,1321975.208,1008228.714,1923812.91,5061953.74,1320190.241,137983.8407,2404832.922,3928916.188,1794284.223,3871224.613,754980.4644,3787108.759,371762.138,6084953.76,1669800.415,2422483.404,1128413.689,325432.4021,2102491.255,244041.4497,917200.1371,689839.9432,2292591.52,766668.0904,1326663.75,1304971.422,810801.6095,753164.5109,777168.041,1065771.59,1973443.207,528109.4493,4250707.435,287420.2137,3668102.521,607738.1862,327683.261,1032766.647,1137066.096,187849.4692,896692.9996,1073274.426,938391.5809,2211347.54,1095107.306,1097119.201,635239.6338,269784.5811,616891.2499,495885.6385,577500.9443,449753.9103,858717.3642,1747262.421,761632.3858,550950.3454,800809.409,2158008.469,705947.7267,293936.0725,934393.2443,609984.1409,3578227.698,622437.725,483323.0031,752252.9546,581580.0586,11096070.3,1769313.355,741158.7413
"A1_2","A",449173.0745,3633659.649,120398.68,159969.8851,359027.7474,191660.7986,3578400.651,7288476.824,2044455.237,1444694.225,766067.6393,1981132.836,6690183.413,1383465.193,197563.2869,2466074.889,4180342.591,1716254.093,3098765.774,792343.1882,4426178.545,502464.5802,4859260.698,1579115.762,2122830.454,1475306.258,397412.9839,2504341.827,244209.5328,1208448.208,673924.7943,1889269.331,800843.9125,5342155.853,1138160.949,803872.6154,2024245.911,1009559.173,1420446.422,2022029.065,428589.4185,5533402.376,253052.6536,3176806.505,645938.2149,472543.8586,2012802.467,940475.1931,208745.6797,1806680.936,1122816.601,905082.547,1913400.906,2190880.715,1281756.164,1051074.776,356339.2215,905286.5684,398367.3978,796897.1638,469862.5806,780650.8935,2152363.74,926694.4068,557838.5969,638150.2616,3336903.73,627778.5789,251091.8257,1010605.107,774079.7159,3806809.388,273558.4138,544958.8996,1025814.176,1018800.559,12165963.86,1789449.837,853966.981
"A1_4","A",467410.8706,3070417.94,93631.64418,126655.5273,290887.5701,172107.0621,2193267.453,9216217.35,1212357.512,1883905.88,1050247.136,2236472.336,11416213.81,1040266.17,114710.7025,911974.856,2154797.389,1051474.8,1289463.525,677899.5912,1944993.828,451466.5782,2967367.319,995343.9908,867596.3901,1826076.041,350466.269,2630234.795,155597.2549,1624311.614,572279.3069,1339834.784,1267717.853,1905719.438,1025688.542,569849.6683,1001508.832,1042746.912,1578553.164,2232980.9,349444.3238,9211684.878,250004.1508,1319469.593,640032.5495,371453.0724,859101.5195,1191389.466,412864.4949,825153.3527,838625.1329,616700.7691,1667668.007,490763.1083,2760298.993,811376.3934,584779.5691,691292.0057,353128.5624,675855.3235,368636.676,749852.5582,3342487.846,857068.5546,516668.4089,476335.7925,5798959.2,588387.6434,117415.3595,1813602.827,598310.5319,4114539.599,272169.0616,220898.8077,950612.2621,544786.1536,9344439.219,1657939.239,798900.2331
"A2_1","A",254150.5582,2940327.88,58575.52781,100952.9049,197431.4424,207549.6535,3909089.801,3969335.991,1071022.89,1395218.33,616499.4217,1716707.56,9490860.25,650435.3311,73022.25127,677273.389,1034139.328,444802.343,1440393.855,224600.18,1098058.788,500397.0727,5117634.468,296620.801,852987.4106,836054.4031,207449.3453,1339289.648,248741.1286,987612.5437,267360.452,554735.6678,576864.2067,795806.119,737494.1397,441335.8863,534334.1126,542327.2304,1253129.055,2205365.159,228253.0553,1982509.309,181710.096,1095801.593,403508.4974,412186.122,125962.637,699293.8133,199407.9017,810817.2434,540539.5573,601623.3769,2151540.018,377395.4659,1671874.227,520117.1386,215689.3645,683143.5959,244916.2155,419067.8011,198687.3185,710821.8892,1500421.576,457183.0697,465892.8177,355322.0627,4095680.898,366252.1569,95272.20604,693157.383,259672.181,4485614.063,149088.7653,217665.231,970279.0431,202502.4268,15753083.1,1705143.904,407321.1366
"A2_3","A",331158.6481,4127164.445,106787.3034,134917.0881,223409.3594,231404.5479,3559735.119,5334492.529,1388130.581,2510256.223,1093749.831,1954794.242,14095592.48,595484.815,164678.8713,486940.877,1289477.724,444598.8237,3340919.584,244647.2236,1902172.198,471604.3876,4691436.945,273901.4934,1145714.852,1060544.688,185814.8138,2768476.777,174196.9299,2068391.135,315579.8905,795831.7932,491143.314,1928581.547,1276935,739230.4101,472260.4794,549624.3604,1524335.354,2803422.594,232950.865,6930185.042,278388.9274,1668916.709,579329.4071,308997.2647,559446.1779,1229174.485,259513.5048,1534799.71,661212.1061,445714.3167,2175697.998,379656.2374,2003081.219,1166574.893,244625.2325,793025.5276,203970.5076,764395.6111,258517.7942,378694.5089,4081886.464,1032494.128,292022.9158,577599.0852,4994827.517,445550.4371,263322.3949,1570713.54,285030.9359,3459095.111,322638.2671,302519.4913,1234812.561,236418.5415,6137808.912,1576547.938,578553.4469
"A3_1","A",372423.9788,2185063.591,76440.5559,113141.473,222499.3429,138679.3699,11130.060885,4653989.991,916812.8545,1207165.394,870906.5299,1264768.441,6416392.903,853372.4725,89441.10452,1246210.257,1423511.682,626282.2406,1524604.73,489258.3483,4984486.158,320465.8297,2960932.314,592546.6184,918063.8615,491989.9479,211686.1549,3908324.421,155439.1685,1375818.73,411649.4008,1003533.095,682692.1999,558374.3135,786904.6729,690212.6011,689031.4658,842481.5631,1689169.983,1535200.461,222162.0099,2631054.844,178749.8799,1353211.869,395907.8106,272488.1491,750286.0887,1044637.564,182544.5884,1217578.495,705505.2517,478973.3838,1360258.884,709240.4946,1171629.353,496547.2457,261835.8824,492444.9476,215020.0827,484011.996,276236.7649,323170.5424,3543657.178,1162397.842,382657.7405,1239587.705,2410557.315,342362.6745,127449.3573,1998216.962,436869.5429,2470123.956,186113.1065,357508.1836,636219.4826,500403.4067,10535246.86,1005557.397,827854.213
"A3_2","A",641975.1709,3588840.538,93597.86572,110647.5749,241009.8086,176526.03,3193966.176,5602280.7,1464776.855,2511033.498,828684.3272,2367089.829,12040570.12,1358078.244,115516.4859,1535097.245,1473664.82,775369.5151,2881956.561,523724.6823,5183101.197,418374.0369,4119527.731,699519.0934,1122601.63,1035162.864,282872.3297,4360604.995,177021.5452,2938978.148,548010.9546,1241375.402,950268.2888,653089.3865,1206964.457,745030.9937,1081665.401,1082496.684,2892364.598,2546793.801,348526.1991,7172983.952,349978.7656,1901573.254,498036.4264,362250.1607,786132.788,868228.3818,252020.258,2123526.072,1045671.347,692211.6157,1417563.465,603090.8727,1779531.433,638474.7197,351197.2706,836361.0564,345723.4622,777551.8965,345918.4393,626008.5055,2453991.219,806030.2846,492180.9097,1968245.066,3402644.363,771323.7038,246814.4366,1041095.81,528616.3394,3690451.681,311112.8237,461092.5273,1303262.272,567981.0889,9700199.602,1579038.176,1057756.863
"A3_3","A",403102.5133,3132510.096,100138.9501,117210.578,246992.1812,148196.5781,3413089.937,5389108.855,2031467.791,1181518.117,729233.5477,1541470.098,4210783.741,954701.089,161638.3566,1289880.231,1461604.348,863242.667,2985914.907,458432.9879,3966412.503,378924.3914,2729711.695,679395.3547,900278.1607,563573.5182,239002.2934,2426787.983,177031.9177,1949856.099,414963.4255,926484.7758,690341.4983,740840.3213,902133.8859,711167.4571,873641.495,943185.5442,1616109.288,1630416.673,262703.7677,3510841.333,213580.2673,1920676.182,511432.5076,353019.497,1026516.717,795389.0937,284160.9288,586631.185,743873.0713,507465.0242,1738814.359,727195.9495,963104.4118,750157.4692,386255.3761,435415.0082,260553.7549,498473.0601,295155.5971,406054.2503,2837765.66,736267.9061,358860.2496,1645760.142,1890072.512,412361.6599,236717.541,1245430.796,461268.642,2574667.566,228971.8138,319085.8258,615650.639,514982.491,10083407.44,1170388.649,709260.9237
"C1_1","C",2722385.787,584606.7013,175349.8607,481112.4033,400322.194,298869.6697,5739068.306,1450856.226,879184.0619,253410.3504,252037.5643,895536.4608,674591.687,525722.1673,161287.6644,159512.2134,453215.473,428816.9803,433711.5107,250397.2903,376761.313,237886.8119,2575739.628,266836.0669,600668.4137,3520785.76,650154.2447,728660.2966,2151792.236,404723.3523,213113.2119,825328.0719,657758.9002,374541.2082,306851.9667,274561.0602,618041.0061,1055238.687,491770.2182,952684.0436,147340.38,1878007.939,118851.8597,682695.3536,587968.6613,730744.2688,1142126.67,546169.288,178085.3298,322354.8429,613782.9855,511215.4275,1217546.405,599301.8262,687725.4288,519179.8444,321671.9074,383955.3317,216566.4406,391198.8918,232500.0204,298604.7687,4799903.587,1009788.322,326575.6983,620853.6541,1804707.947,404354.3433,112558.8524,1879746.485,379589.4514,3237751.978,156620.1266,261665.3221,569290.2555,526900.896,12366887.94,1742269.099,550999.2716
"C1_2","C",3072220.555,849611.4284,180069.034,465683.1518,1260700.946,286091.6657,4164245.906,2599473.056,816108.2069,262507.3178,185296.5503,1339412.745,693045.1701,606024.5297,197882.4302,278550.9728,479325.6543,381358.327,503908.4224,223035.7465,679216.665,452469.5805,1541987.796,247385.9144,826840.1999,7054606.251,632919.6853,404297.242,478167.0677,480509.0716,212089.6541,1142418.307,1022116.173,337075.516,436650.7238,269147.5304,398419.0714,847361.8327,228060.0442,1686443.456,206211.7972,252930.9525,189411.651,2463968.403,448918.2404,899490.4682,208034.1411,126235.4243,309431.3095,257162.2386,509118.0068,824855.9209,510663.6798,971285.6614,136008.4563,1043368.803,443071.3526,193974.189,447885.4321,424374.6683,699722.4209,557064.3797,138355.1821,271575.4423,348182.9041,836243.0036,144797.1945,375291.5874,164497.5557,168032.929,1181676.52,9903027.277,257946.0478,246920.4769,348290.1894,2116181.823,7884704.083,2197336.837,712402.5238
