DateTime,çæµå¼
2017-11-12 0:00,43.50
2017-11-12 1:00,47.50
2017-11-12 2:00,48.30
2017-11-12 3:00,47.40
2017-11-12 4:00,46.90
2017-11-12 5:00,44.60
2017-11-12 6:00,43.70
2017-11-12 7:00,45.50
2017-11-12 8:00,44.80
2017-11-12 9:00,42.80
2017-11-12 10:00,42.00
2017-11-12 11:00,44.60
2017-11-12 12:00,47.10
2017-11-12 13:00,49.80
2017-11-12 14:00,53.80
2017-11-12 15:00,56.50
2017-11-12 16:00,61.00
2017-11-12 17:00,63.10
2017-11-12 18:00,64.60
2017-11-12 19:00,67.00
2017-11-12 20:00,74.30
2017-11-12 21:00,76.50
2017-11-12 22:00,75.20
2017-11-12 23:00,78.90
2017-11-13 0:00,78.30
2017-11-13 1:00,77.50
2017-11-13 2:00,78.30
2017-11-13 3:00,75.50
2017-11-13 4:00,70.90
2017-11-13 5:00,64.50
2017-11-13 6:00,54.90
2017-11-13 7:00,28.60
2017-11-13 8:00,26.70
2017-11-13 9:00,22.90
2017-11-13 10:00,16.20
2017-11-13 11:00,8.70
2017-11-13 12:00,6.80
2017-11-13 13:00,8.30
2017-11-13 14:00,8.30
2017-11-13 15:00,7.70
2017-11-13 16:00,6.30
2017-11-13 17:00,6.10
2017-11-13 18:00,8.70
2017-11-13 19:00,5.80
2017-11-13 20:00,5.30
2017-11-13 21:00,5.30
2017-11-13 22:00,4.60
2017-11-13 23:00,5.30
2017-11-14 0:00,4.70
2017-11-14 1:00,4.40
2017-11-14 2:00,5.30
2017-11-14 3:00,5.30
2017-11-14 4:00,5.00
2017-11-14 5:00,5.20
2017-11-14 6:00,5.50
2017-11-14 7:00,6.10
2017-11-14 8:00,6.40
2017-11-14 9:00,7.50
2017-11-14 10:00,7.60
2017-11-14 11:00,8.40
2017-11-14 12:00,7.00
2017-11-14 13:00,8.40
2017-11-14 14:00,8.60
2017-11-14 15:00,8.80
2017-11-14 16:00,8.40
2017-11-14 17:00,8.30
2017-11-14 18:00,12.20
2017-11-14 19:00,15.90
2017-11-14 20:00,21.90
2017-11-14 21:00,24.30
2017-11-14 22:00,23.40
2017-11-14 23:00,24.60
2017-11-15 0:00,22.40
2017-11-15 1:00,22.60
2017-11-15 2:00,21.10
2017-11-15 3:00,22.20
2017-11-15 4:00,15.20
2017-11-15 5:00,10.90
2017-11-15 6:00,8.50
2017-11-15 7:00,9.40
2017-11-15 8:00,10.10
2017-11-15 9:00,10.10
2017-11-15 10:00,9.00
2017-11-15 11:00,9.40
2017-11-15 12:00,10.30
2017-11-15 13:00,8.50
2017-11-15 14:00,8.10
2017-11-15 15:00,10.00
2017-11-15 16:00,14.40
2017-11-15 17:00,12.40
2017-11-15 18:00,14.20
2017-11-15 19:00,17.10
2017-11-15 20:00,22.70
2017-11-15 21:00,23.50
2017-11-15 22:00,28.70
2017-11-15 23:00,31.80
2017-11-16 0:00,39.20
2017-11-16 1:00,42.00
2017-11-16 2:00,43.60
2017-11-16 3:00,43.60
2017-11-16 4:00,44.70
2017-11-16 5:00,45.20
2017-11-16 6:00,46.40
2017-11-16 7:00,46.70
2017-11-16 8:00,48.00
2017-11-16 9:00,49.90
2017-11-16 10:00,55.90
2017-11-16 11:00,59.50
2017-11-16 12:00,60.50
2017-11-16 13:00,58.10
2017-11-16 14:00,60.40
2017-11-16 15:00,58.20
2017-11-16 16:00,57.40
2017-11-16 17:00,56.60
2017-11-16 18:00,60.80
2017-11-16 19:00,66.80
2017-11-16 20:00,74.50
2017-11-16 21:00,77.70
2017-11-16 22:00,78.10
2017-11-16 23:00,76.50
2017-11-17 0:00,75.40
2017-11-17 1:00,70.80
2017-11-17 2:00,70.50
2017-11-17 3:00,68.80
2017-11-17 4:00,63.80
2017-11-17 5:00,57.60
2017-11-17 6:00,44.40
2017-11-17 7:00,26.70
2017-11-17 8:00,11.60
2017-11-17 9:00,7.50
2017-11-17 10:00,9.50
2017-11-17 11:00,8.70
2017-11-17 12:00,9.60
2017-11-17 13:00,9.30
2017-11-17 14:00,8.90
2017-11-17 15:00,6.00
2017-11-17 16:00,5.20
2017-11-17 17:00,5.60
2017-11-17 18:00,5.40
2017-11-17 19:00,5.90
2017-11-17 20:00,6.30
2017-11-17 21:00,5.70
2017-11-17 22:00,6.30
2017-11-17 23:00,6.60
2017-11-18 0:00,6.30
2017-11-18 1:00,6.20
2017-11-18 2:00,7.30
2017-11-18 3:00,7.90
2017-11-18 4:00,6.10
2017-11-18 5:00,5.70
2017-11-18 6:00,5.50
2017-11-18 7:00,7.30
2017-11-18 8:00,8.60
2017-11-18 9:00,8.20
2017-11-18 10:00,9.20
2017-11-18 11:00,10.80
2017-11-18 12:00,15.60
2017-11-18 13:00,27.20
2017-11-18 14:00,38.60
2017-11-18 15:00,49.00
2017-11-18 16:00,66.60
2017-11-18 17:00,86.70
2017-11-18 18:00,79.90
2017-11-18 19:00,80.40
2017-11-18 20:00,84.10
2017-11-18 21:00,83.40
2017-11-18 22:00,81.70
2017-11-18 23:00,91.20
2017-11-19 0:00,94.60
2017-11-19 1:00,95.90
2017-11-19 2:00,97.50
2017-11-19 3:00,95.60
2017-11-19 4:00,93.60
2017-11-19 5:00,92.00
2017-11-19 6:00,85.00
2017-11-19 7:00,78.20
2017-11-19 8:00,72.80
2017-11-19 9:00,72.50
2017-11-19 10:00,71.20
2017-11-19 11:00,68.70
2017-11-19 12:00,70.80
2017-11-19 13:00,73.70
2017-11-19 14:00,81.40
2017-11-19 15:00,81.70
2017-11-19 16:00,88.80
2017-11-19 17:00,97.10
2017-11-19 18:00,95.30
2017-11-19 19:00,102.80
2017-11-19 20:00,101.70
2017-11-19 21:00,103.70
2017-11-19 22:00,103.60
2017-11-19 23:00,114.70
2017-11-20 0:00,113.80
