DateTime,ug/m3
2013-01-01 1:00,52.00
2013-01-01 2:00,55.40
2013-01-01 3:00,49.50
2013-01-01 4:00,43.70
2013-01-01 5:00,37.30
2013-01-01 6:00,25.00
2013-01-01 7:00,20.40
2013-01-01 8:00,15.30
2013-01-01 9:00,11.30
2013-01-01 10:00,10.60
2013-01-01 11:00,10.90
2013-01-01 12:00,10.90
2013-01-01 13:00,12.20
2013-01-01 14:00,13.60
2013-01-01 15:00,12.50
2013-01-01 16:00,11.60
2013-01-01 17:00,9.30
2013-01-01 18:00,12.40
2013-01-01 19:00,11.30
2013-01-01 20:00,10.00
2013-01-01 21:00,11.60
2013-01-01 22:00,10.60
2013-01-01 23:00,9.80
2013-01-02 0:00,10.30
2013-01-02 1:00,9.10
2013-01-02 2:00,10.20
2013-01-02 3:00,9.80
2013-01-02 4:00,8.90
2013-01-02 5:00,8.10
2013-01-02 6:00,8.50
2013-01-02 7:00,9.70
2013-01-02 8:00,9.40
2013-01-02 9:00,10.00
2013-01-02 10:00,12.20
2013-01-02 11:00,13.10
2013-01-02 12:00,11.80
2013-01-02 13:00,13.00
2013-01-02 14:00,14.90
2013-01-02 15:00,14.70
2013-01-02 16:00,13.50
2013-01-02 17:00,16.10
2013-01-02 18:00,15.40
2013-01-02 19:00,16.90
2013-01-02 20:00,16.60
2013-01-02 21:00,16.40
2013-01-02 22:00,15.20
2013-01-02 23:00,16.00
2013-01-03 0:00,16.70
2013-01-03 1:00,15.10
2013-01-03 2:00,15.50
2013-01-03 3:00,15.60
2013-01-03 4:00,14.90
2013-01-03 5:00,15.00
2013-01-03 6:00,14.10
2013-01-03 7:00,13.90
2013-01-03 8:00,14.60
2013-01-03 9:00,16.90
2013-01-03 10:00,19.60
2013-01-03 11:00,21.80
2013-01-03 12:00,23.80
2013-01-03 13:00,22.70
2013-01-03 14:00,20.90
2013-01-03 15:00,19.50
2013-01-03 16:00,21.00
2013-01-03 17:00,23.50
2013-01-03 18:00,29.00
2013-01-03 19:00,41.60
2013-01-03 20:00,54.80
2013-01-03 21:00,71.40
2013-01-03 22:00,82.70
2013-01-03 23:00,84.00
2013-01-04 0:00,80.60
2013-01-04 1:00,75.30
2013-01-04 2:00,73.50
2013-01-04 3:00,58.90
2013-01-04 4:00,46.30
2013-01-04 5:00,36.80
2013-01-04 6:00,36.50
2013-01-04 7:00,33.10
2013-01-04 8:00,34.50
2013-01-04 9:00,36.40
2013-01-04 10:00,47.00
2013-01-04 11:00,53.80
2013-01-04 12:00,54.00
2013-01-04 13:00,59.10
2013-01-04 14:00,65.90
2013-01-04 15:00,68.50
2013-01-04 16:00,63.80
2013-01-04 17:00,72.30
2013-01-04 18:00,79.10
2013-01-04 19:00,90.50
2013-01-04 20:00,109.00
2013-01-04 21:00,134.80
2013-01-04 22:00,155.40
2013-01-04 23:00,172.40
2013-01-05 0:00,174.50
2013-01-05 1:00,177.90
2013-01-05 2:00,160.90
2013-01-05 3:00,130.40
2013-01-05 4:00,106.80
2013-01-05 5:00,55.80
2013-01-05 6:00,40.50
2013-01-05 7:00,38.40
2013-01-05 8:00,39.90
2013-01-05 9:00,42.20
2013-01-05 10:00,45.40
2013-01-05 11:00,40.70
2013-01-05 12:00,36.30
2013-01-05 13:00,32.80
2013-01-05 14:00,30.60
2013-01-05 15:00,26.30
2013-01-05 16:00,26.30
2013-01-05 17:00,28.90
2013-01-05 18:00,42.00
2013-01-05 19:00,65.30
2013-01-05 20:00,84.40
2013-01-05 21:00,97.70
2013-01-05 22:00,76.70
2013-01-05 23:00,59.40
2013-01-06 0:00,53.90
2013-01-06 1:00,51.70
2013-01-06 2:00,48.30
2013-01-06 3:00,45.00
2013-01-06 4:00,43.30
2013-01-06 5:00,40.00
2013-01-06 6:00,36.70
2013-01-06 7:00,30.10
2013-01-06 8:00,27.20
2013-01-06 9:00,33.60
2013-01-06 10:00,38.60
2013-01-06 11:00,41.40
2013-01-06 12:00,51.20
2013-01-06 13:00,56.20
2013-01-06 14:00,62.00
2013-01-06 15:00,73.40
2013-01-06 16:00,85.60
2013-01-06 17:00,112.90
2013-01-06 18:00,144.20
2013-01-06 19:00,152.30
2013-01-06 20:00,191.90
2013-01-06 21:00,227.40
2013-01-06 22:00,246.50
2013-01-06 23:00,247.60
2013-01-07 0:00,224.70
2013-01-07 1:00,206.20
2013-01-07 2:00,206.40
2013-01-07 3:00,189.10
2013-01-07 4:00,146.20
2013-01-07 5:00,110.30
2013-01-07 6:00,86.50
2013-01-07 7:00,87.40
2013-01-07 8:00,84.40
2013-01-07 9:00,84.70
2013-01-07 10:00,83.20
2013-01-07 11:00,85.50
2013-01-07 12:00,92.20
2013-01-07 13:00,103.70
2013-01-07 14:00,118.60
2013-01-07 15:00,133.90
2013-01-07 16:00,134.60
2013-01-07 17:00,135.10
2013-01-07 18:00,141.80
2013-01-07 19:00,159.00
2013-01-07 20:00,192.60
2013-01-07 21:00,215.50
2013-01-07 22:00,230.40
2013-01-07 23:00,224.20
2013-01-08 0:00,234.60
2013-01-08 1:00,229.60
2013-01-08 2:00,224.50
2013-01-08 3:00,240.00
2013-01-08 4:00,239.10
2013-01-08 5:00,267.50
2013-01-08 6:00,229.80
2013-01-08 7:00,170.70
2013-01-08 8:00,138.00
2013-01-08 9:00,121.20
2013-01-08 10:00,103.90
2013-01-08 11:00,53.80
2013-01-08 12:00,28.90
2013-01-08 13:00,16.70
2013-01-08 14:00,13.70
2013-01-08 15:00,12.40
2013-01-08 16:00,11.00
2013-01-08 17:00,9.60
2013-01-08 18:00,11.30
2013-01-08 19:00,12.40
2013-01-08 20:00,14.40
2013-01-08 21:00,13.40
2013-01-08 22:00,15.50
2013-01-08 23:00,14.60
2013-01-09 0:00,11.70
2013-01-09 1:00,10.00
2013-01-09 2:00,12.50
2013-01-09 3:00,13.10
2013-01-09 4:00,13.90
2013-01-09 5:00,12.40
2013-01-09 6:00,13.30
2013-01-09 7:00,13.40
2013-01-09 8:00,16.80
2013-01-09 9:00,21.00
2013-01-09 10:00,31.00
2013-01-09 11:00,37.30
2013-01-09 12:00,38.50
2013-01-09 13:00,44.80
2013-01-09 14:00,45.60
2013-01-09 15:00,43.30
2013-01-09 16:00,44.50
2013-01-09 17:00,47.30
2013-01-09 18:00,54.60
2013-01-09 19:00,68.60
2013-01-09 20:00,97.20
2013-01-09 21:00,118.20
2013-01-09 22:00,128.80
2013-01-09 23:00,131.10
2013-01-10 0:00,158.60
2013-01-10 1:00,194.30
2013-01-10 2:00,195.00
2013-01-10 3:00,172.70
2013-01-10 4:00,149.40
2013-01-10 5:00,138.60
2013-01-10 6:00,128.30
2013-01-10 7:00,95.50
2013-01-10 8:00,90.40
2013-01-10 9:00,80.20
2013-01-10 10:00,74.00
2013-01-10 11:00,74.00
2013-01-10 12:00,79.90
2013-01-10 13:00,82.90
2013-01-10 14:00,101.40
2013-01-10 15:00,117.10
2013-01-10 16:00,146.60
2013-01-10 17:00,214.60
2013-01-10 18:00,313.00
2013-01-10 19:00,368.60
2013-01-10 20:00,383.50
2013-01-10 21:00,410.10
2013-01-10 22:00,418.90
2013-01-10 23:00,407.00
2013-01-11 0:00,407.60
2013-01-11 1:00,396.10
2013-01-11 2:00,395.90
2013-01-11 3:00,406.20
2013-01-11 4:00,400.30
2013-01-11 5:00,393.40
2013-01-11 6:00,382.00
2013-01-11 7:00,372.40
2013-01-11 8:00,356.40
2013-01-11 9:00,343.90
2013-01-11 10:00,336.70
2013-01-11 11:00,333.90
2013-01-11 12:00,331.80
2013-01-11 13:00,313.10
2013-01-11 14:00,306.90
2013-01-11 15:00,295.00
2013-01-11 16:00,281.70
2013-01-11 17:00,272.90
2013-01-11 18:00,232.40
2013-01-11 19:00,213.50
2013-01-11 20:00,263.00
2013-01-11 21:00,286.30
2013-01-11 22:00,287.30
2013-01-11 23:00,290.90
2013-01-12 0:00,296.80
2013-01-12 1:00,302.80
2013-01-12 2:00,309.90
2013-01-12 3:00,302.00
2013-01-12 4:00,301.90
2013-01-12 5:00,302.00
2013-01-12 6:00,289.10
2013-01-12 7:00,257.80
2013-01-12 8:00,221.80
2013-01-12 9:00,212.50
2013-01-12 10:00,219.70
2013-01-12 11:00,218.80
2013-01-12 12:00,233.10
2013-01-12 13:00,269.90
2013-01-12 14:00,331.10
2013-01-12 15:00,443.40
2013-01-12 16:00,475.00
2013-01-12 17:00,502.90
2013-01-12 18:00,527.10
2013-01-12 19:00,560.90
2013-01-12 20:00,566.20
2013-01-12 21:00,600.00
2013-01-12 22:00,600.00
2013-01-12 23:00,595.00
2013-01-13 0:00,592.30
2013-01-13 1:00,577.50
2013-01-13 2:00,579.00
2013-01-13 3:00,568.40
2013-01-13 4:00,505.00
2013-01-13 5:00,455.30
2013-01-13 6:00,432.40
2013-01-13 7:00,414.20
2013-01-13 8:00,370.30
2013-01-13 9:00,339.20
2013-01-13 10:00,329.30
2013-01-13 11:00,314.40
2013-01-13 12:00,321.70
2013-01-13 13:00,314.80
2013-01-13 14:00,310.90
2013-01-13 15:00,292.20
2013-01-13 16:00,299.00
2013-01-13 17:00,304.90
2013-01-13 18:00,320.70
2013-01-13 19:00,327.90
2013-01-13 20:00,335.10
2013-01-13 21:00,322.80
2013-01-13 22:00,318.90
2013-01-13 23:00,320.50
2013-01-14 0:00,305.20
2013-01-14 1:00,282.60
2013-01-14 2:00,271.20
2013-01-14 3:00,287.10
2013-01-14 4:00,307.50
2013-01-14 5:00,320.20
2013-01-14 6:00,304.40
2013-01-14 7:00,297.40
2013-01-14 8:00,277.80
2013-01-14 9:00,278.10
2013-01-14 10:00,280.00
2013-01-14 11:00,263.30
2013-01-14 12:00,293.30
2013-01-14 13:00,296.10
2013-01-14 14:00,293.70
2013-01-14 15:00,265.40
2013-01-14 16:00,245.20
2013-01-14 17:00,231.20
2013-01-14 18:00,233.30
2013-01-14 19:00,253.80
2013-01-14 20:00,258.40
2013-01-14 21:00,224.70
2013-01-14 22:00,188.20
2013-01-14 23:00,147.50
2013-01-15 0:00,112.90
2013-01-15 1:00,95.50
2013-01-15 2:00,77.30
2013-01-15 3:00,66.20
2013-01-15 4:00,53.40
2013-01-15 5:00,56.10
2013-01-15 6:00,59.40
2013-01-15 7:00,61.70
2013-01-15 8:00,65.70
2013-01-15 9:00,68.10
2013-01-15 10:00,72.00
2013-01-15 11:00,78.40
