2011-苔藓,甲基汞以汞计,纬度,经度,海拔
237,0.6431856556,29.5633,94.53185,3246
238,0.3370619155,29.5659833333,94.5614833333,3458
239,2.5851502044,29.5613333333,94.55115,3644
245,0.2718773628,29.56355,94.5723833333,3846
246,0.4617250361,29.5775333333,94.5887333333,4040
248,0.4292399517,29.9302166667,94.8012333333,2596
249,0.8040054367,29.8972,94.7891,2736
252,2.8817977461,29.8185,94.7381,3161
253,1.4710929166,29.7774833333,94.7422166667,3334
254,1.6203654679,29.6864166667,94.7252333333,3574
255,0.478700382,29.6672,94.7181333333,3748
256,1.3298207283,29.6460166667,94.7025333333,4000
257,0.5888458041,29.63065,94.7088,4250
258,0.5262421814,29.6160333333,94.6580666667,4579
258,1.3302551617,29.6160333333,94.6580666667,4579
259,0.2919802088,29.629,94.63415,4418
259,1.6798797846,29.629,94.63415,4418
260,1.0862434575,29.5902833333,94.5973,4144
261,0.50273795,29.54055,94.4366833333,2966
262,1.707823853,29.4344,94.4514333333,2943
263,0.5883453622,29.2772666667,94.3141166667,2935
264,1.1724951827,29.1999166667,94.2024833333,2956
265,0.7069926258,29.1862333333,93.9967666667,2994
268,0.818053418,29.1197166667,93.8313333333,2998
269,2.0602019046,29.1700166667,93.6167833333,2970
270,1.0815578684,29.0974166667,93.41,3056
271,1.3997605955,28.99155,93.2512666667,3042
272,1.493287522,29.1351333333,93.1374666667,3129
273,0.8829463374,29.1132166667,93.11595,3088
274,0.4898497708,29.0504166667,92.9673166667,3159
276,1.2930893921,29.06395,92.8003166667,3129
277,0.7063937657,29.1132166667,92.6744166667,3088
278,0.9636055961,29.1339833333,92.5092833333,3159
279,1.7018298785,29.0606166667,92.45725,3554
280,1.0340190267,29.0578,92.38525,3924
281,1.3294572484,29.0445166667,92.3813,4469
282,0.2045369497,29.0314666667,92.35185,4936
283,0.5237416895,29.0329,92.3297166667,4482
284,0.681263343,29.0610833333,92.2102,3898
285,2.1743429961,29.2563166667,91.9714666667,3563
286,2.3086524084,29.25625,91.85025,3590
287,2.2793181644,29.265,91.5373166667,3597
288,2.0227478022,29.2685833333,91.2538833333,3568
289,1.1856779965,29.2685833333,90.2538833333,3589
292,1.0256181452,29.1948333333,90.6155833333,4808
293,1.2661126608,28.8945833333,90.1675833333,5033
295,1.9590780763,29.0738,87.9798333333,4543
298,0.6380521983,28.51595,87.0668333333,4731
299,1.3576321847,28.8930666667,87.4121333333,5060
300,1.4887910084,28.8342666667,89.8550333333,4366
302,1.8575909382,29.1886333333,90.5862,4030
304,1.54717114,30.2726,90.6808666667,4594
305,1.0884389153,30.5698666667,91.1203,4442
310,0.8979265354,30.6834333333,91.0952166667,5147
2010年-8号,0.4179210312,29.7846333333,92.3338666667,4743
11,0.5711613237,29.83935,92.3299,3377
18,0.4159950879,29.8970666667,93.57875,3268
19,0.4951226577,30.0071666667,93.9114333333,3558
20,0.3086742523,29.9986833333,93.9777833333,3508
21,0.6258407246,29.9763833333,93.6817166667,3318
22,0.6325909013,29.7987333333,93.8192833333,3167
23,1.0241165919,29.7609333333,94.1704,3207
25,0.9424196498,29.6218833333,94.4014666667,3041
26,0.3894134611,29.56285,94.5429333333,3324
27,0.4240517154,29.5679166667,94.5429333333,3514
28,0.3168668632,29.5604833333,94.5604166667,3753
29,0.3701913509,29.5734833333,94.5807833333,3973
30,0.280241769,29.6091833333,94.6152166667,4217
31,0.3544081975,29.6104833333,94.6521166667,4565
32,0.3740647684,29.7242166667,94.7312,3404
33,0.7201832371,29.6811833333,94.72525,3587
34,0.3156788742,29.6576333333,94.7235,3808
35,0.515483564,29.6378,94.7145833333,4110
36,0.528548657,29.6174333333,94.6602166667,4511
37,1.4360519558,29.61845,94.7034833333,4259
39,0.3336685645,29.8437333333,94.75715,3017
40,0.3824491481,29.9327833333,94.8009833333,2581
41,0.3084168505,29.96475,94.8538333333,2459
43,0.3107924183,29.83895,95.7857,2755
44,0.3905338867,29.7932,95.88715,2891
45,0.4930637997,29.73505,96.04155,3074
46,0.6167225237,29.6699166667,96.21125,3173
47,0.535869156,29.61125,96.3659,3354
48,0.4892537827,29.5381166667,96.50115,3600
49,0.5271221277,29.48205,96.6462166667,3917
50,0.3887031433,29.9072666667,95.6184666667,2673
52,0.2153531713,29.9795166667,95.3600166667,2634
53,0.262062307,30.0406833333,95.2228833333,2504
54,0.1491342218,30.0990166667,95.0642666667,2504
56,0.323711978,29.5614333333,94.5534333333,2037
17--1,0.3223333611,29.9022,93.3285,3731
18--1,0.4771484744,29.8970666667,93.57875,3268
52--1,0.2416016394,29.9795166667,95.3600166667,2634
2012-林芝1,0.9041408387,30.02269,95.00401,1983
2,0.7417757701,29.96853,94.86077,2451
4,1.4449623709,29.82,94.7368,3143
6,1.6471772378,29.73269,94.72056,3446
7,1.368728483,29.65118,94.71469,3895
8,1.3415169398,29.62549,94.70812,4205
9,1.2243958466,29.5992,94.60711,4217
10,1.4153966909,29.56986,94.57584,3959
11,1.4795924743,29.55749,94.55949,3735
12,1.3676453918,29.56583,94.54219,3316
阿里1,2.2265924453,29.2842833333,90.5811833333,3735
2,2.220748779,29.3395333333,90.2664333333,3316
3,1.9179653394,29.316,89.8739666667,3741
4,4.2184604924,29.3117,89.45105,3813
5,6.0776948946,29.3311333333,88.9749666667,3842
6,1.8000869753,29.1829333333,88.4104833333,3922
8,0.7573938445,29.0619833333,87.7148666667,4008
9,1.3601423322,29.2097833333,87.3827666667,4302
10,2.6510027862,29.3201833333,87.0178,4476
11,2.7582768648,29.4568166667,86.5882166667,4619
12,2.3384614718,29.4662666667,86.1069666667,5100
13,1.1927510807,29.4312,85.5999,5056
14,2.2164652557,29.4863166667,85.1285333333,4625
15,2.3387602132,29.4992666667,84.5438833333,4550
16,3.2981648458,29.7351,83.9853,4590
17,0.3538835859,30.11775,83.3793333333,4600
20,1.6919553514,30.5915,82.4771,5093
21,1.2254410323,30.7076833333,81.86505,4794
24,2.5934013208,30.4296333333,81.15675,4360
25,0.9361593059,31.1409166667,80.9109333333,4625
31,3.32,29.8389333333,83.8301,4622
32,1.4082368474,29.5477333333,84.469,4566
33,1.165330402,29.46785,86.1699833333,4820
34,0.2389506308,29.3902166667,86.7955,4700
35,0.7678180705,29.27925,87.1694833333,4335
37,1.1604569171,29.1585166667,89.0340833333,3858
40,0.8722486034,29.0809833333,90.3885833333,4454
,,,,
,,,,
,,,,
海拔,,,,
3246,,,,
3458,,,,
3644,,,,
3846,,,,
4040,,,,
2596,,,,
2736,,,,
3161,,,,
3334,,,,
3574,,,,
3748,,,,
4000,,,,
4250,,,,
4579,,,,
4579,,,,
4418,,,,
4418,,,,
4144,,,,
2966,,,,
2943,,,,
2935,,,,
2956,,,,
2994,,,,
2998,,,,
2970,,,,
3056,,,,
3042,,,,
3129,,,,
3088,,,,
3159,,,,
3129,,,,
3088,,,,
3159,,,,
3554,,,,
3924,,,,
4469,,,,
4936,,,,
4482,,,,
3898,,,,
3563,,,,
3590,,,,
3597,,,,
3568,,,,
3589,,,,
4808,,,,
5033,,,,
4543,,,,
4731,,,,
5060,,,,
4366,,,,
4030,,,,
4594,,,,
4442,,,,
5147,,,,
4743,,,,
3377,,,,
3268,,,,
3558,,,,
3508,,,,
3318,,,,
3167,,,,
3207,,,,
3041,,,,
3324,,,,
3514,,,,
3753,,,,
3973,,,,
4217,,,,
4565,,,,
3404,,,,
3587,,,,
3808,,,,
4110,,,,
4511,,,,
