database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180928_QC_14	20180928_QC_13	20180928_QC_16	20180928_QC_15	20180928_R087	20180928_R120	20180928_R089	20180928_R083	20180928_R084	20180928_R085	20181002_QC_11	20180928_R086	20181002_QC_10	20180928_QC_18	20180928_QC_17	20180928_R080	20180928_R081	20180928_QC_19	20181002_QC_09	20180928_R098	20180928_R099	20180928_R095	20180928_R097	20180928_R090	20180928_R091	20180928_R092	20180928_R093	20180924_R042	20180924_R041	20180924_R044	20180924_R046	20180924_R045	20180924_R048	20180924_R047	20180924_R050	20180924_R020	20180924_R024	20180924_R023	20180924_R026	20180924_R025	20180924_R028	20180924_R029	20180924_QC_20	20180924_QC_21	20180924_R031	20180924_R030	20180924_R033	20180924_R032	20180924_R035	20180924_QC_17	20180924_R037	20180924_QC_18	20180924_QC_19	20180924_R039	20180924_R038	20180924_QC_13	20180924_QC_14	20180924_QC_15	20180924_QC_16	20180924_R001	20180928_R107	20180928_R108	20180928_R109	20180928_R069	20180928_R102	20180928_R103	20180928_R104	20180928_R105	20180928_R066	20180928_R067	20180928_R100	20180928_R068	20180928_R101	20180924_R004	20180928_R062	20180924_R006	20180928_R063	20180924_R005	20180928_R064	20180924_R008	20181002_R060	20180924_R007	20180924_R009	20181002_R061	20180924_R011	20180924_R010	20180924_R013	20180924_R012	20180928_R118	20180928_R119	20180928_R114	20180928_R115	20180928_QC_21	20180928_R076	20180928_QC_20	20181002_R056	20180928_R077	20180928_R110	20180928_QC_23	20180928_R078	20180928_R111	20180928_QC_22	20180928_R112	20180924_R015	20181002_R053	20180928_R072	20180924_R014	20181002_R052	20180928_R073	20180924_R017	20181002_R055	20180924_R016	20181002_R054	20180928_R075	20180924_R019	20180924_R018	20181002_R051	20180928_R070	20180928_R071
CHEBI:42504	C15H30O2	CCCCCCCCCCCCCCC(O)=O	"InChI=1S/C15H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15(16)17/h2-14H2,1H3,(H,16,17)"	Pentadecanoic acid	241.2168349		M-H	1	1.1118	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.4																																																																																																																										
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)"	Heptadecanoic acid	269.2487399		M-H	1	1.102666667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.4																																																																																																																										
CHEBI:17231	C7H8O	Cc1cccc(O)c1	"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3"	m-Cresol	107.0500607		M-H	1	0.750233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.9																																																																																																																										
CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)"	Myristic acid	227.2022032		"M-H, M+Na-2H"	1	0.2353	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.2																																																																																																																										
CHEBI:28875	C14H28O2	CCCCCCCCCCCCCC(O)=O	"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)"	Myristic acid	227.2021714		"M-H, M+Na-2H"	1	19.42705	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.2																																																																																																																										
CHEBI:30805	C12H24O2	CCCCCCCCCCCC(O)=O	"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)"	Dodecanoic acid	221.1535015		"M-H, M+Na-2H"	1	0.36125	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.1																																																																																																																										
CHEBI:32365	C17H34O2	CCCCCCCCCCCCCCCCC(O)=O	"InChI=1S/C17H34O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H,18,19)"	Heptadecanoic acid	269.2481851		M-H	1	2.837583333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56																																																																																																																										
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)"	Hypoxanthine	135.0316286		M-H	1	2.60195	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57																																																																																																																										
CHEBI:88751	C8H9NO5S	C1(=CC=C(C=C1)OS(=O)(=O)O)CC(N)=O	"InChI=1S/C8H9NO5S/c9-8(10)5-6-1-3-7(4-2-6)14-15(11,12)13/h1-4H,5H2,(H2,9,10)(H,11,12,13)"	Benzeneacetamide-4-O-sulphate	230.0143453		M-H	1	0.814216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.6																																																																																																																										
CHEBI:28592	C18H34O3	OC(CCCCCCC/C=C\C[C@@H](CCCCCC)O)=O	"InChI=1S/C18H34O3/c1-2-3-4-11-14-17(19)15-12-9-7-5-6-8-10-13-16-18(20)21/h9,12,17,19H,2-8,10-11,13-16H2,1H3,(H,20,21)/b12-9-/t17-/m1/s1"	Ricinoleic acid	297.2427629		M-H	1	3.334233333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	53.2																																																																																																																										
