database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180913_R001	20180913_R009	20180913_R007	20180913_R008	20180913_R005	20180913_R006	20180913_R004	20180913_R023	20180913_R024	20180913_R020	20180913_QC_21	20180913_QC_20	20180913_QC_23	20180913_QC_22	20180913_QC_18	20180913_QC_17	20180913_QC_19	20180913_QC_14	20180913_QC_13	20180913_QC_16	20180913_QC_15	20180913_R029	20180913_R028	20180913_R025	20180913_R026	20180913_R012	20180913_R013	20180913_R010	20180913_R011	20180917_R062	20180917_R064	20180917_R063	20180917_R066	20180917_R068	20180917_R101	20180917_R067	20180917_R100	20180917_R103	20180917_R069	20180917_R102	20180917_R105	20180917_R104	20180917_R107	20180917_R109	20180917_R108	20180913_R018	20180913_R019	20180913_R016	20180913_R017	20180913_R014	20180913_R015	20180913_R045	20180913_R046	20180917_R071	20180913_R044	20180917_R070	20180913_R041	20180917_R073	20180913_R042	20180917_R072	20180917_R075	20180917_R077	20180917_R110	20180917_R076	20180917_R112	20180917_R078	20180917_R111	20180917_R114	20180917_R115	20180917_R118	20180917_R119	20180913_R047	20180913_R048	20180917_R080	20180913_R035	20180913_R032	20180913_R033	20180917_R081	20180913_R030	20180917_R084	20180913_R031	20180917_R083	20180917_R086	20180917_R085	20180917_R087	20180917_R120	20180917_R089	20180913_R038	20180913_R039	20180913_R037	20180917_R091	20180917_R090	20180917_R093	20180917_R092	20180917_R095	20180913_R061	20180917_R099	20180913_R060	20180917_R098	20180917_QC_22	20180917_QC_23	20180917_QC_20	20180917_QC_21	20180913_R056	20180913_R054	20180913_R055	20180917_QC_19	20180913_R052	20180913_R053	20180917_QC_17	20180913_R050	20180917_QC_18	20180913_R051	20180917_QC_15	20180917_QC_16	20180917_QC_13	20180917_QC_14
CHEBI:90007	C39H77N2O7P	C(\CCCCCC(CC(=O)N[C@@H](COP(OCC[N+](C)(C)C)(=O)[O-])[C@@H](\C=C\CCCCCCCCCCCCC)O)O)=C\CCCCCC	"InChI=1S/C39H77N2O7P/c1-6-8-10-12-14-16-18-19-21-23-25-27-29-31-38(43)37(35-48-49(45,46)47-33-32-41(3,4)5)40-39(44)34-36(42)30-28-26-24-22-20-17-15-13-11-9-7-2/h17,20,29,31,36-38,42-43H,6-16,18-19,21-28,30,32-35H2,1-5H3,(H-,40,44,45,46)/b20-17-,31-29+/t36?,37-,38+/m0/s1"	SM(d18:0/16:1(9Z)(OH))	717.5533936		"M+H, M+Na"	1	7.154883333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	56.3																																																																																																																								
CHEBI:86031	C23H43NO4	CCCCCCCCCCCCC\C=C\C(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C23H43NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h17-18,21H,5-16,19-20H2,1-4H3/b18-17+"	trans-Hexadec-2-enoyl carnitine	398.3271173		M+H	1	5.609716667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.7																																																																																																																								
CHEBI:73061	C21H41NO4	CCCCCCCCCCCCCC(=O)OC(CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C21H41NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-21(25)26-19(17-20(23)24)18-22(2,3)4/h19H,5-18H2,1-4H3"	Tetradecanoylcarnitine	372.3120369		M+H	1	5.7265	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.8																																																																																																																								
CHEBI:131743	C21H44NO7P	P(OC[C@@H](CO)OC(CCCCCCCCCCCCCCC)=O)(=O)(OCCN)O	"InChI=1S/C21H44NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-21(24)29-20(18-23)19-28-30(25,26)27-17-16-22/h20,23H,2-19,22H2,1H3,(H,25,26)/t20-/m1/s1"	LysoPE(0:0/16:0)	454.2926174		"M+H, M+Na, M+H-H2O"	1	5.916433333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.3																																																																																																																								
CHEBI:73930	C8H12N4O3	N[C@@H](Cc1c[nH]cn1)C(=O)NCC(O)=O	"InChI=1S/C8H12N4O3/c9-6(1-5-2-10-4-12-5)8(15)11-3-7(13)14/h2,4,6H,1,3,9H2,(H,10,12)(H,11,15)(H,13,14)/t6-/m0/s1"	Histidinyl-Glycine	195.0877285		M+H-H2O	1	1.320166667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	58.2																																																																																																																								
CHEBI:145968	C10H17NO4	O/C(/CCCC(=O)NCC(O)=O)=C\CC	"InChI=1S/C10H17NO4/c1-2-4-8(12)5-3-6-9(13)11-7-10(14)15/h4,12H,2-3,5-7H2,1H3,(H,11,13)(H,14,15)/b8-4-"	5-hydroxyoct-5-enoylglycine	180.102257		M+H-2H2O	1	7.525733333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	57.7																																																																																																																								
CHEBI:145960	C9H15NO3	O=C(NCC(O)=O)C\C=C\CCC	"InChI=1S/C9H15NO3/c1-2-3-4-5-6-8(11)10-7-9(12)13/h4-5H,2-3,6-7H2,1H3,(H,10,11)(H,12,13)/b5-4+"	3-Hepteneoylglycine	186.1122719		"M+H-H2O, M+H"	1	7.642533333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	58.3																																																																																																																								
CHEBI:90011	C37H73N2O7P	C(\CCCCCC(CC(=O)N[C@@H](COP(OCC[N+](C)(C)C)(=O)[O-])[C@@H](\C=C\CCCCCCCCCCCCC)O)O)=C\CCCC	"InChI=1S/C37H73N2O7P/c1-6-8-10-12-14-16-17-18-19-21-23-25-27-29-36(41)35(33-46-47(43,44)45-31-30-39(3,4)5)38-37(42)32-34(40)28-26-24-22-20-15-13-11-9-7-2/h13,15,27,29,34-36,40-41H,6-12,14,16-26,28,30-33H2,1-5H3,(H-,38,42,43,44)/b15-13-,29-27+/t34?,35-,36+/m0/s1"	SM(d18:0/14:1(9Z)(OH))	689.5221462		"M+H, M+Na"	1	7.063466667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.6																																																																																																																								
CHEBI:17490	C23H45NO4	CCCCCCCCCCCCCCCC(=O)O[C@H](CC([O-])=O)C[N+](C)(C)C	"InChI=1S/C23H45NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4/h21H,5-20H2,1-4H3/t21-/m1/s1"	L-Palmitoylcarnitine	400.3456879		M+H	1	5.600566667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	55.8																																																																																																																								
CHEBI:74348	C30H52NO7P	O(C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC)C[C@H](COP(OCC[N+](C)(C)C)(=O)[O-])O	"InChI=1S/C30H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-30(33)36-27-29(32)28-38-39(34,35)37-26-25-31(2,3)4/h9-10,12-13,15-16,18-19,21-22,29,32H,5-8,11,14,17,20,23-28H2,1-4H3/b10-9-,13-12-,16-15-,19-18-,22-21-/t29-/m1/s1"	"LysoPC(22:5(4Z,7Z,10Z,13Z,16Z))"	592.3337979		M+Na	1	7.226116667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	53.4																																																																																																																								
