database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20180817_R030	20180817_R031	20180817_R032	20180817_R033	20180817_R035	20180817_R037	20180817_R038	20180817_R039	20180817_QC_19	20180817_QC_18	20180817_QC_11	20180817_R020	20180817_QC_13	20180817_QC_12	20180817_R023	20180817_QC_15	20180817_R024	20180817_QC_14	20180817_R025	20180817_QC_17	20180817_R026	20180817_QC_16	20180817_R028	20180817_R029	20180817_QC_20	20180821_QC_18	20180821_QC_17	20180817_R050	20180817_R051	20180821_QC_19	20180817_R052	20180817_R053	20180817_R054	20180817_R055	20180817_R056	20180821_QC_20	20180817_R041	20180817_R042	20180817_R044	20180817_R045	20180817_R046	20180817_R047	20180817_R048	20180821_QC_14	20180821_QC_13	20180821_QC_16	20180821_QC_15	20180821_QC_12	20180821_QC_11	20180821_R080	20180821_R081	20180821_R084	20180821_R083	20180821_R086	20180821_R085	20180821_R087	20180821_R120	20180821_R089	20180821_R091	20180821_R090	20180821_R093	20180821_R092	20180817_R060	20180821_R095	20180817_R061	20180821_R097	20180821_R099	20180821_R098	20180821_R062	20180821_R064	20180821_R063	20180817_R010	20180817_R011	20180817_R012	20180817_R013	20180817_R014	20180817_R015	20180817_R016	20180817_R017	20180821_R107	20180817_R018	20180817_R019	20180821_R109	20180821_R108	20180821_R066	20180821_R068	20180821_R101	20180821_R067	20180821_R100	20180821_R103	20180821_R069	20180821_R102	20180821_R105	20180828_R_075	20180821_R104	20180821_R071	20180821_R070	20180821_R073	20180821_R072	20180817_R001	20180817_R004	20180817_R005	20180817_R006	20180821_R118	20180817_R007	20180817_R008	20180817_R009	20180821_R119	20180821_R077	20180821_R110	20180821_R076	20180821_R112	20180821_R078	20180821_R111	20180821_R114	20180821_R115
CHEBI:16113	C27H46O	C1[C@@]2([C@]3(CC[C@]4([C@]([C@@]3(CC=C2C[C@H](C1)O)[H])(CC[C@@]4([C@H](C)CCCC(C)C)[H])[H])C)[H])C	"InChI=1S/C27H46O/c1-18(2)7-6-8-19(3)23-11-12-24-22-10-9-20-17-21(28)13-15-26(20,4)25(22)14-16-27(23,24)5/h9,18-19,21-25,28H,6-8,10-17H2,1-5H3/t19-,21+,22+,23-,24+,25+,26+,27-/m1/s1"	Cholesterol	425.317187		M+K	1	10.13003333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36.6																																																																																																																							
CHEBI:15440	C30H50	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C	"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+"	Squalene	449.3545984		M+K	1	16.28283333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36																																																																																																																							
CHEBI:15440	C30H50	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C=C(/C)CC\C=C(/C)CCC=C(C)C	"InChI=1S/C30H50/c1-25(2)15-11-19-29(7)23-13-21-27(5)17-9-10-18-28(6)22-14-24-30(8)20-12-16-26(3)4/h15-18,23-24H,9-14,19-22H2,1-8H3/b27-17+,28-18+,29-23+,30-24+"	Squalene	449.3542465		M+K	1	14.1454	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.9																																																																																																																							
CHEBI:89627	C21H34O5	C1[C@H](C[C@]2([C@](C1)([C@@]3([C@@](CC2)([C@]4([C@](C[C@@H]3O)([C@](CC4)(C(=O)CO)O)C)[H])[H])[H])C)[H])O	"InChI=1S/C21H34O5/c1-19-7-5-13(23)9-12(19)3-4-14-15-6-8-21(26,17(25)11-22)20(15,2)10-16(24)18(14)19/h12-16,18,22-24,26H,3-11H2,1-2H3/t12-,13+,14-,15-,16-,18+,19-,20-,21-/m0/s1"	5a-Tetrahydrocortisol	405.204593		M+K	1	0.940583333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.1																																																																																																																							
CHEBI:15422	C10H16N5O13P3	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	"InChI=1S/C10H16N5O13P3/c11-8-5-9(13-2-12-8)15(3-14-5)10-7(17)6(16)4(26-10)1-25-30(21,22)28-31(23,24)27-29(18,19)20/h2-4,6-7,10,16-17H,1H2,(H,21,22)(H,23,24)(H2,11,12,13)(H2,18,19,20)/t4-,6-,7-,10-/m1/s1"	Adenosine triphosphate	525.0331227		M+NH4	1	9.3428	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	32.1																																																																																																																							
CHEBI:89510	C18H28N4O7	C=1C(=C(C(=C[N+]1CCCC[C@@H](C(=O)O)N)O)C[C@@H](C(=O)O)N)CC[C@@H](C(=O)[O-])N	"InChI=1S/C18H28N4O7/c19-12(16(24)25)3-1-2-6-22-8-10(4-5-13(20)17(26)27)11(15(23)9-22)7-14(21)18(28)29/h8-9,12-14H,1-7,19-21H2,(H3-,23,24,25,26,27,28,29)/t12-,13-,14-/m0/s1"	Deoxypyridinoline	413.2037003		M+H	1	11.60963333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	37.8																																																																																																																							
CHEBI:89510	C18H28N4O7	C=1C(=C(C(=C[N+]1CCCC[C@@H](C(=O)O)N)O)C[C@@H](C(=O)O)N)CC[C@@H](C(=O)[O-])N	"InChI=1S/C18H28N4O7/c19-12(16(24)25)3-1-2-6-22-8-10(4-5-13(20)17(26)27)11(15(23)9-22)7-14(21)18(28)29/h8-9,12-14H,1-7,19-21H2,(H3-,23,24,25,26,27,28,29)/t12-,13-,14-/m0/s1"	Deoxypyridinoline	430.2334437		M+NH4	1	4.176216667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	36																																																																																																																							
CHEBI:18402	C27H46O5	C[C@H](CCCC(C)C(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C	"InChI=1S/C27H46O5/c1-15(6-5-7-16(2)25(31)32)19-8-9-20-24-21(14-23(30)27(19,20)4)26(3)11-10-18(28)12-17(26)13-22(24)29/h15-24,28-30H,5-14H2,1-4H3,(H,31,32)/t15-,16?,17+,18-,19-,20+,21+,22-,23+,24+,26+,27-/m1/s1"	Coprocholic acid	473.3195814		M+Na	1	10.8576	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	34.6																																																																																																																							
CHEBI:41509	C45H76O2	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@H](CC[C@]4(C)[C@@]3([H])CC[C@]12C)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC)[C@H](C)CCCC(C)C	"InChI=1S/C45H76O2/c1-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25-43(46)47-38-30-32-44(5)37(34-38)26-27-39-41-29-28-40(36(4)24-22-23-35(2)3)45(41,6)33-31-42(39)44/h11-12,14-15,26,35-36,38-42H,7-10,13,16-25,27-34H2,1-6H3/b12-11-,15-14-/t36-,38+,39+,40-,41+,42+,44+,45-/m1/s1"	"CE(18:2(9Z,12Z))"	687.5486583		M+K	1	13.34803333	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:3		Progenesis	35.9																																																																																																																							
CHEBI:16359	C24H40O5	[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O	"InChI=1S/C24H40O5/c1-13(4-7-21(28)29)16-5-6-17-22-18(12-20(27)24(16,17)3)23(2)9-8-15(25)10-14(23)11-19(22)26/h13-20,22,25-27H,4-12H2,1-3H3,(H,28,29)/t13-,14+,15-,16-,17+,18+,19-,20+,22+,23+,24-/m1/s1"	Cholic acid	447.2543987		M+K	1	13.81661667	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/9606	Homo sapiens	HMDB		MSI:2		Progenesis	34.3																																																																																																																							
