"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"20080809_NIH_EWY_POS_000801"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_000801.CDF"	"20080809_NIH_EWY_POS_000801.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_000901"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_000901.CDF"	"20080809_NIH_EWY_POS_000901.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001001"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001001.CDF"	"20080809_NIH_EWY_POS_001001.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001101"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001101.CDF"	"20080809_NIH_EWY_POS_001101.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001201"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001201.CDF"	"20080809_NIH_EWY_POS_001201.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001301"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001301.CDF"	"20080809_NIH_EWY_POS_001301.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001401"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001401.CDF"	"20080809_NIH_EWY_POS_001401.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001701"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001701.CDF"	"20080809_NIH_EWY_POS_001701.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001801"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001801.CDF"	"20080809_NIH_EWY_POS_001801.CDF"	"Data transformation"	""	""	""	""	""
"20080809_NIH_EWY_POS_001901"	"Extraction"	"N/A"	"none"	""	"Chromatography"	"ACQUITY UPLC"	"MS"	"1001761"	"ACQUITY UPLC BEH C18 Column, 130Å, 1.7 µm, 2.1 mm X 50 mm, 3/pkg"	"reversed-phase"	""	""	""	""	""	"positive"	"50 to 850 m/z"	"UPLC-ESI-QTOFMS"	""	""	"electrospray ionization"	"MS"	"1000073"	"Waters Q-TOF Premier"	""	""	"C:BIGRUNPOS_1_NetCDFs20080809_NIH_EWY_POS_001901.CDF"	"20080809_NIH_EWY_POS_001901.CDF"	"Data transformation"	""	""	""	""	""
