"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1_K-1-24_1-E,1_01_55195"	"neg-Exp1_K-25-48_1-E,3_01_55198"	"neg-Exp1_K-49-72_1-E,5_01_55201"	"neg-Exp1_K-73-96_1-E,7_01_55204"	"neg-Exp1_K-97-120_1-F,1_01_55207"	"neg_Exp2_K01_1-C,1_01_342"	"neg_Exp2_K02_1-C,5_01_347"	"neg_Exp2_K03_1-D,1_01_352"	"neg_Exp2_K04_1-D,5_01_358"	"neg-Exp1_P-1-24_1-E,2_01_55196"	"neg-Exp1_P-25-48_1-E,4_01_55199"	"neg-Exp1_P-49-72_1-E,6_01_55202"	"neg-Exp1_P-73-96_1-E,8_01_55205"	"neg-Exp1_P-97-120_1-F,2_01_55208"	"neg_Exp2_P1_1-C,2_01_343"	"neg_Exp2_P2_1-C,6_01_348"	"neg_Exp2_P3_1-D,2_01_353"	"neg_Exp2_P4_1-D,6_01_359"	"neg_Exp2_P5_1-E,1_01_364"
""	""	""	""	""	"  99.0799"	""	""	""	"304.10666"	""	""	""	""	""	""	""	""	""	""	""	"1.010633e+03"	"3.925717e+02"	"6.244981e+02"	"7.177887e+02"	"4.620270e+02"	"9.270744e+01"	"1.290916e+02"	"1.808437e+02"	"1.717886e+02"	"2.297647e+04"	"2.706582e+04"	"2.396759e+04"	"1.900747e+04"	"  16700.8414"	"  5099.97357"	"  3926.19744"	"9.861173e+02"	"  7965.30667"	"4.031908e+03"
""	""	""	""	""	" 103.0396"	""	""	""	" 54.53706"	""	""	""	""	""	""	""	""	""	""	""	"1.360480e+03"	"1.249979e+03"	"2.060935e+03"	"2.143403e+03"	"1.672130e+03"	"3.108391e+02"	"3.045395e+02"	"2.501712e+02"	"2.031127e+02"	"8.479277e+03"	"8.988127e+03"	"7.794706e+03"	"1.073513e+04"	"   8043.3646"	"  7036.24939"	"  4426.07194"	"5.206162e+03"	"  2484.12558"	"5.644502e+03"
""	""	""	""	""	" 111.0798"	""	""	""	"328.39405"	""	""	""	""	""	""	""	""	""	""	""	"4.825672e+02"	"1.354606e+02"	"2.233530e+02"	"3.941524e+02"	"1.815711e+02"	"6.604620e+01"	"3.401700e+01"	"4.669000e+01"	"4.736173e+01"	"1.043752e+04"	"8.924306e+03"	"9.020716e+03"	"6.488726e+03"	"   6153.1635"	"  1711.57846"	"  1077.19440"	"2.524818e+02"	"  1513.89000"	"7.960719e+02"
""	""	""	""	""	" 113.0601"	""	""	""	"202.59113"	""	""	""	""	""	""	""	""	""	""	""	"3.371783e+03"	"1.322866e+03"	"2.691550e+03"	"2.540078e+03"	"1.075624e+03"	"2.094537e+02"	"1.194109e+02"	"1.777822e+02"	"1.007321e+02"	"9.134554e+04"	"9.211794e+04"	"8.116452e+04"	"9.503501e+04"	"  85016.5210"	" 31276.25467"	" 27184.68991"	"2.302675e+04"	" 26658.30960"	"3.029527e+04"
""	""	""	""	""	" 113.0601"	""	""	""	"167.18183"	""	""	""	""	""	""	""	""	""	""	""	"8.424174e+03"	"1.596293e+03"	"1.381733e+03"	"9.397187e+02"	"1.726674e+03"	"1.807487e+02"	"1.380913e+02"	"1.330880e+02"	"1.300770e+02"	"2.196446e+04"	"2.020756e+04"	"1.506891e+04"	"3.163500e+04"	"  26063.0935"	"  5921.63989"	"  6026.32303"	"3.324635e+03"	"  6524.80826"	"7.823379e+03"
""	""	""	""	""	" 113.0954"	""	""	""	"378.90165"	""	""	""	""	""	""	""	""	""	""	""	"1.140071e+03"	"4.256310e+02"	"4.375898e+02"	"6.994044e+02"	"5.232057e+02"	"1.066987e+02"	"1.560657e+02"	"1.734392e+02"	"1.807941e+02"	"1.087095e+04"	"1.089118e+04"	"1.178709e+04"	"6.508583e+03"	"   9231.4514"	"  1606.28400"	"  2273.93593"	"4.830045e+02"	"  4303.13040"	"2.416280e+03"
""	""	""	""	""	" 115.0395"	""	""	""	" 65.36063"	""	""	""	""	""	""	""	""	""	""	""	"2.134574e+04"	"1.210773e+04"	"1.958146e+04"	"2.231214e+04"	"9.984573e+03"	"1.709025e+03"	"1.664665e+03"	"1.763734e+03"	"1.705365e+03"	"2.013855e+05"	"1.241883e+05"	"1.341128e+05"	"1.567712e+05"	" 117918.4165"	" 79384.37637"	" 42720.69700"	"4.453993e+04"	" 45613.16189"	"5.099955e+04"
""	""	""	""	""	" 115.0393"	""	""	""	"167.17859"	""	""	""	""	""	""	""	""	""	""	""	"1.366140e+03"	"8.728300e+02"	"1.333509e+03"	"1.520881e+03"	"1.012148e+03"	"4.742528e+02"	"4.903267e+02"	"4.526349e+02"	"4.763173e+02"	"5.688241e+04"	"5.397248e+04"	"5.777397e+04"	"6.006663e+04"	"  67906.1740"	" 15907.99644"	" 15628.47700"	"1.178250e+04"	" 15185.86440"	"2.070728e+04"
""	""	""	""	""	" 116.0498"	""	""	""	"282.66883"	""	""	""	""	""	""	""	""	""	""	""	"2.887414e+04"	"2.617411e+04"	"2.572339e+04"	"2.817178e+04"	"1.315345e+04"	"4.169689e+03"	"5.297108e+03"	"4.259405e+03"	"3.101559e+03"	"1.390513e+04"	"1.318492e+04"	"1.149722e+04"	"2.232358e+04"	"  14408.8133"	" 10205.43350"	"  7934.41571"	"8.481446e+03"	"  6890.80945"	"9.908587e+03"
""	""	""	""	""	" 117.0190"	""	""	""	" 43.41989"	""	""	""	""	""	""	""	""	""	""	""	"9.583339e+04"	"5.915577e+04"	"6.891573e+04"	"8.385240e+04"	"6.033369e+04"	"4.122332e+03"	"2.409083e+03"	"2.361797e+03"	"2.024078e+03"	"1.390610e+05"	"1.415712e+05"	"1.378451e+05"	"1.535398e+05"	" 145663.3954"	" 40712.74185"	" 36024.32124"	"4.086951e+04"	" 28866.29299"	"3.453083e+04"
