"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1_K-1-24_1-E,1_01_55180"	"pos-Exp1_K-25-48_1-E,3_01_55183"	"pos-Exp1_K-49-72_1-E,5_01_55186"	"pos-Exp1_K-73-96_1-E,7_01_55189"	"pos-Exp1_K-97-120_1-F,1_01_55192"	"pos_Exp2_K01_1-C,1_01_365"	"pos_Exp2_K02_1-C,5_01_370"	"pos_Exp2_K03_1-D,1_01_375"	"pos_Exp2_K04_1-D,5_01_381"	"pos-Exp1_P-1-24_1-E,2_01_55181"	"pos-Exp1_P-25-48_1-E,4_01_55184"	"pos-Exp1_P-49-72_1-E,6_01_55187"	"pos-Exp1_P-73-96_1-E,8_01_55190"	"pos-Exp1_P-97-120_1-F,2_01_55193"	"pos_Exp2_P1_1-C,2_01_366"	"pos_Exp2_P2_1-C,6_01_371"	"pos_Exp2_P3_1-D,2_01_376"	"pos_Exp2_P4_1-D,6_01_382"	"pos_Exp2_P5_1-E,1_01_387"
""	""	""	""	""	" 109.0273"	""	""	""	"  82.12176"	""	""	""	""	""	""	""	""	""	""	""	"3.431445e+03"	"8.957755e+03"	"5.168250e+03"	"5.584297e+03"	"6.352296e+03"	"9.156898e+03"	"1.167266e+04"	"1.080195e+04"	"1.233673e+04"	"1.241885e+04"	"1.990076e+04"	"1.563776e+04"	"2.176900e+04"	"2.886134e+04"	"1.382050e+04"	"1.925037e+04"	"1.800597e+04"	"2.799136e+04"	"2.053311e+04"
""	""	""	""	""	" 109.0998"	""	""	""	" 405.93301"	""	""	""	""	""	""	""	""	""	""	""	"1.902513e+02"	"6.611080e+01"	"1.311903e+02"	"1.790266e+02"	"5.497990e+01"	"1.535020e+01"	"0.000000e+00"	"4.839375e+01"	"2.969263e+01"	"2.179840e+04"	"2.166580e+04"	"1.893267e+04"	"1.320466e+04"	"1.052790e+04"	"3.671377e+03"	"3.925418e+03"	"1.037869e+03"	"7.664283e+03"	"2.703971e+03"
""	""	""	""	""	" 113.0282"	""	""	""	"  65.50602"	""	""	""	""	""	""	""	""	""	""	""	"9.546287e+03"	"1.290835e+04"	"8.800681e+03"	"1.092345e+04"	"1.190012e+04"	"1.695802e+04"	"8.002696e+03"	"6.939456e+03"	"8.060063e+03"	"1.417285e+04"	"1.245695e+04"	"1.107280e+04"	"8.943218e+03"	"1.207320e+04"	"1.185246e+04"	"9.488377e+03"	"8.385809e+03"	"8.077774e+03"	"8.551213e+03"
""	""	""	""	""	" 120.0796"	""	""	""	"  72.65480"	""	""	""	""	""	""	""	""	""	""	""	"5.374542e+04"	"5.576337e+04"	"2.436037e+04"	"3.722455e+04"	"3.066553e+04"	"9.772993e+03"	"6.304231e+03"	"7.817672e+03"	"1.173857e+04"	"1.582627e+04"	"1.458038e+04"	"1.061852e+04"	"1.003901e+04"	"9.204007e+03"	"4.649475e+03"	"3.525119e+03"	"2.966231e+03"	"6.107776e+03"	"3.260291e+03"
""	""	""	""	""	" 121.6013"	""	""	""	"  46.23752"	""	""	""	""	""	""	""	""	""	""	""	"2.102818e+04"	"1.969734e+04"	"1.172984e+04"	"1.831004e+04"	"1.871726e+04"	"5.002525e+02"	"5.794026e+02"	"6.438177e+02"	"7.683139e+02"	"1.064730e+04"	"5.074014e+03"	"5.546631e+03"	"4.223861e+03"	"5.886129e+03"	"1.233018e+03"	"9.247381e+02"	"2.449535e+02"	"1.909142e+03"	"1.184039e+03"
""	""	""	""	""	" 122.0705"	""	""	""	"  26.65556"	""	""	""	""	""	""	""	""	""	""	""	"1.832785e+05"	"1.990582e+05"	"1.720643e+05"	"1.913254e+05"	"2.014744e+05"	"5.657886e+04"	"3.787849e+04"	"4.692810e+04"	"3.608731e+04"	"7.701585e+04"	"7.030439e+04"	"5.820107e+04"	"6.310886e+04"	"7.519341e+04"	"5.247760e+04"	"4.243086e+04"	"2.227014e+04"	"2.449914e+04"	"3.154138e+04"
""	""	""	""	""	" 122.0950"	""	""	""	"  60.61175"	""	""	""	""	""	""	""	""	""	""	""	"5.052352e+05"	"1.147837e+05"	"2.213772e+05"	"3.571336e+05"	"1.697792e+05"	"8.710570e+03"	"6.447708e+03"	"1.482067e+04"	"6.574098e+03"	"1.996893e+05"	"1.782298e+05"	"7.614014e+04"	"3.064901e+05"	"8.257620e+04"	"5.961776e+03"	"4.539962e+03"	"3.732570e+03"	"4.552230e+03"	"2.956865e+03"
""	""	""	""	""	" 122.5366"	""	""	""	"  24.01614"	""	""	""	""	""	""	""	""	""	""	""	"8.831605e+02"	"1.086837e+03"	"1.052331e+03"	"1.424617e+03"	"1.283709e+03"	"4.281397e+02"	"1.485138e+03"	"1.403592e+03"	"1.309564e+03"	"5.283250e+03"	"5.749703e+03"	"5.757598e+03"	"5.154313e+03"	"4.492562e+03"	"6.796538e+02"	"1.793289e+03"	"5.645612e+02"	"2.299548e+03"	"1.641383e+03"
""	""	""	""	""	" 124.0392"	""	""	""	"  38.04202"	""	""	""	""	""	""	""	""	""	""	""	"1.107578e+06"	"1.330373e+06"	"1.166431e+06"	"1.154800e+06"	"1.257601e+06"	"3.116021e+05"	"3.386443e+05"	"3.453275e+05"	"3.232116e+05"	"5.708568e+05"	"4.168857e+05"	"4.144648e+05"	"4.284079e+05"	"4.309703e+05"	"2.849306e+05"	"2.321785e+05"	"2.341133e+05"	"1.699032e+05"	"1.973238e+05"
""	""	""	""	""	" 124.0394"	""	""	""	"  28.79409"	""	""	""	""	""	""	""	""	""	""	""	"2.682363e+05"	"1.778386e+05"	"2.617404e+05"	"2.059194e+05"	"3.328335e+03"	"5.544117e+04"	"5.355068e+04"	"5.901905e+04"	"5.464187e+04"	"2.009778e+05"	"1.132975e+05"	"1.106301e+05"	"1.323730e+05"	"1.343163e+05"	"1.356958e+05"	"7.318863e+04"	"5.044060e+04"	"4.617042e+04"	"6.281660e+04"
""	""	""	""	""	" 125.0416"	""	""	""	"  38.04202"	""	""	""	""	""	""	""	""	""	""	""	"9.383100e+04"	"9.963226e+04"	"9.429563e+04"	"8.224368e+04"	"9.327671e+04"	"2.353504e+04"	"2.507088e+04"	"2.529716e+04"	"2.334026e+04"	"4.075766e+04"	"2.736221e+04"	"2.830016e+04"	"2.925576e+04"	"3.120339e+04"	"1.895873e+04"	"1.483717e+04"	"1.485765e+04"	"1.006412e+04"	"1.353990e+04"
""	""	""	""	""	" 125.0585"	""	""	""	" 130.64425"	""	""	""	""	""	""	""	""	""	""	""	"7.834031e+03"	"1.456893e+04"	"9.977923e+03"	"1.169013e+04"	"1.638900e+04"	"5.239389e+03"	"7.751077e+03"	"7.880373e+03"	"6.799344e+03"	"3.171800e+03"	"3.098316e+03"	"3.565122e+03"	"5.338325e+03"	"2.536466e+03"	"1.456901e+03"	"1.556998e+03"	"4.530252e+03"	"1.646332e+03"	"2.088725e+03"
""	""	""	""	""	" 125.9848"	""	""	""	"  20.84174"	""	""	""	""	""	""	""	""	""	""	""	"4.585089e+03"	"1.157711e+04"	"8.767830e+03"	"1.136380e+04"	"1.271873e+04"	"5.535123e+03"	"1.369120e+04"	"1.319426e+04"	"1.357999e+04"	"2.688365e+04"	"2.960516e+04"	"2.949825e+04"	"2.886359e+04"	"2.874357e+04"	"3.116308e+03"	"8.806661e+03"	"1.205544e+04"	"1.102537e+04"	"8.934664e+03"
