"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg-Exp1-Blatt_K-1_1-B,1_01_8102"	"neg-Exp1-Blatt_K-2_1-B,2_01_8104"	"neg-Exp1-Blatt_K-3_1-B,3_01_8107"	"neg-Exp1-Blatt_K-4_1-B,4_01_8109"	"neg-Exp1-Blatt_K-5_1-B,5_01_8111"	"neg-Exp2-Blatt_K-1_1-D,1_01_8113"	"neg-Exp2-Blatt_K-2_1-D,2_01_8115"	"neg-Exp2-Blatt_K-3_1-D,3_01_8117"	"neg-Exp1-Blatt_P-1_1-C,1_01_8103"	"neg-Exp1-Blatt_P-2_1-C,2_01_8105"	"neg-Exp1-Blatt_P-3_1-C,3_01_8108"	"neg-Exp1-Blatt_P-4_1-C,4_01_8110"	"neg-Exp1-Blatt_P-5_1-C,5_01_8112"	"neg-Exp2-Blatt_P-1_1-E,1_01_8114"	"neg-Exp2-Blatt_P-2_1-E,2_01_8116"	"neg-Exp2-Blatt_P-3_1-E,3_01_8118"	"neg-Exp2-Blatt_P-4_1-E,4_01_8121"	"neg-Exp2-Blatt_P-5_1-E,5_01_8122"
""	""	""	""	""	"111.0094"	""	""	""	"  37.78703"	""	""	""	""	""	""	""	""	""	""	""	"   6564.7518"	"   4524.3619"	"4.480788e+03"	"   3239.3219"	"   2587.1157"	"7.488293e+03"	"   6342.8859"	"4.738658e+03"	"  17149.2196"	"  14909.8908"	"  10914.1347"	"   7227.0749"	"   8817.3900"	"  11909.3125"	"  13277.4243"	"  14109.1033"	"  10792.4852"	"  12691.7921"
""	""	""	""	""	"114.9895"	""	""	""	"  20.65876"	""	""	""	""	""	""	""	""	""	""	""	"   2051.8667"	"   2888.4435"	"2.495271e+03"	"   3381.8499"	"   3803.2414"	"3.275712e+03"	"   3513.0173"	"2.574849e+03"	"   3742.8868"	"   3366.9794"	"   3642.8802"	"   4149.7082"	"   3874.8408"	"   3469.7246"	"   2465.2705"	"   3737.3076"	"   3983.6178"	"   3517.5979"
""	""	""	""	""	"115.0042"	""	""	""	" 285.88500"	""	""	""	""	""	""	""	""	""	""	""	"  14767.6663"	"  12838.8191"	"1.279401e+04"	"  12730.0079"	"  12731.8363"	"1.198281e+04"	"  13623.1496"	"1.219979e+04"	"  17298.0915"	"  15336.5868"	"  16165.0532"	"  16302.5932"	"  16441.3604"	"  16784.2623"	"  14649.0195"	"  16251.8143"	"  15928.3442"	"  17501.9364"
""	""	""	""	""	"116.0722"	""	""	""	" 377.04072"	""	""	""	""	""	""	""	""	""	""	""	"   8987.3281"	"   8710.6046"	"9.746648e+03"	"   8742.3216"	"   9259.4057"	"9.399993e+03"	"   9491.6198"	"8.870538e+03"	"   8196.7882"	"   9025.2645"	"   9305.2511"	"  10063.0440"	"   9631.9814"	"   9827.8176"	"   8982.1294"	"   9547.1045"	"   9927.7263"	"  10300.8843"
""	""	""	""	""	"117.0194"	""	""	""	"  43.39118"	""	""	""	""	""	""	""	""	""	""	""	"   3704.5095"	"   1664.7813"	"1.448557e+03"	"   1703.8469"	"   1295.8621"	"1.601461e+03"	"   1303.8079"	"7.206966e+02"	"   6173.7352"	"   5637.5180"	"   4350.3353"	"   3693.6491"	"   4933.8998"	"   4806.8595"	"   5056.8941"	"   5866.0089"	"   5374.4334"	"   6963.9872"
""	""	""	""	""	"121.0298"	""	""	""	" 283.90795"	""	""	""	""	""	""	""	""	""	""	""	"  11849.8892"	"  12299.3032"	"8.888297e+03"	"  10389.3166"	"   9347.7376"	"7.537430e+03"	"  10383.4151"	"1.180278e+04"	"  11798.8861"	"  10927.3185"	"   7521.9651"	"   9697.2313"	"  10161.3124"	"   8280.6108"	"  11421.0895"	"  10012.0641"	"  11049.2696"	"  11030.0191"
""	""	""	""	""	"127.0016"	""	""	""	" 235.16174"	""	""	""	""	""	""	""	""	""	""	""	"   7405.7820"	"   7260.2936"	"5.157363e+03"	"   5712.3658"	"   3551.5339"	"3.599473e+03"	"   3897.6971"	"3.751746e+03"	"   6021.1067"	"   6352.3861"	"   4433.1439"	"   6114.4760"	"   5632.0898"	"   3287.1621"	"   2580.5125"	"   3681.8936"	"   2753.1060"	"   3871.9569"
""	""	""	""	""	"127.0518"	""	""	""	"  23.66779"	""	""	""	""	""	""	""	""	""	""	""	"   2815.0735"	"   2714.6863"	"2.996318e+03"	"   3174.5396"	"   2663.8235"	"2.851867e+03"	"   2753.4122"	"3.053913e+03"	"   1582.2332"	"   1335.2059"	"   1085.9718"	"   1272.9571"	"   1238.4085"	"   1723.1997"	"   1326.0039"	"   2382.2035"	"   1588.2192"	"   1842.1277"
""	""	""	""	""	"128.9600"	""	""	""	"  22.42365"	""	""	""	""	""	""	""	""	""	""	""	"   2066.7933"	"   2611.6770"	"2.618333e+03"	"   2866.1561"	"   2143.8819"	"2.628600e+03"	"   2398.8274"	"2.360220e+03"	"   5494.1316"	"   5598.3367"	"   4571.0206"	"   5427.4441"	"   5216.5533"	"   5068.0559"	"   5179.2407"	"   5258.0912"	"   4496.2989"	"   5341.2356"
""	""	""	""	""	"130.0875"	""	""	""	" 216.78869"	""	""	""	""	""	""	""	""	""	""	""	"   2736.3675"	"   2096.6775"	"1.965657e+03"	"   2913.4548"	"   1559.0503"	"1.784089e+03"	"   2728.3635"	"2.445771e+03"	"   2894.0347"	"    879.6644"	"   1538.3432"	"   1667.2084"	"   1817.4660"	"   2167.6200"	"   2095.4723"	"   2219.8930"	"   1527.1423"	"   2140.2582"
""	""	""	""	""	"131.0473"	""	""	""	"  23.40458"	""	""	""	""	""	""	""	""	""	""	""	"   9938.8389"	"   9561.4505"	"9.225627e+03"	"   9139.8490"	"   8064.2231"	"8.460866e+03"	"   9392.1660"	"8.567627e+03"	"   3667.2216"	"   2321.6783"	"   3633.8160"	"   3056.5986"	"   3444.3141"	"   4348.9679"	"   3365.3568"	"   3670.6077"	"   2962.5684"	"   1583.9215"
""	""	""	""	""	"133.0146"	""	""	""	" 287.19940"	""	""	""	""	""	""	""	""	""	""	""	"  73799.8757"	"  68359.1227"	"6.257398e+04"	"  63352.5517"	"  59156.3641"	"6.412302e+04"	"  56824.3980"	"5.508807e+04"	"  84622.0820"	"  70459.3743"	"  82179.4571"	"  78438.9290"	"  77083.9353"	"  73648.5767"	"  72012.3781"	"  73193.2831"	"  73482.5160"	"  79309.9786"
""	""	""	""	""	"133.0144"	""	""	""	"  31.66208"	""	""	""	""	""	""	""	""	""	""	""	"  24497.5023"	"  16908.8297"	"8.833639e+03"	"   8628.5698"	"   6885.9150"	"1.250314e+04"	"  13643.1674"	"1.482610e+04"	"  22792.3430"	"  24007.2656"	"  28600.7479"	"  15898.9459"	"  22308.1699"	"  17978.9561"	"  27522.4146"	"  24477.3625"	"  21217.8792"	"  27072.7892"
""	""	""	""	""	"133.0147"	""	""	""	" 240.64743"	""	""	""	""	""	""	""	""	""	""	""	"   2958.4399"	"   3324.2829"	"1.969558e+03"	"   1766.7770"	"   1471.7171"	"1.837262e+03"	"   2367.6763"	"2.257591e+03"	"   5651.6704"	"   5609.3968"	"   2936.6942"	"   2164.1790"	"   3277.5288"	"   3761.6394"	"   5428.4188"	"   6057.0532"	"   2461.9033"	"   4592.3117"
""	""	""	""	""	"134.0184"	""	""	""	" 287.18073"	""	""	""	""	""	""	""	""	""	""	""	"   1447.9095"	"   2980.5676"	"1.905411e+03"	"   2081.3602"	"   2535.8649"	"2.431976e+03"	"   2129.9663"	"2.532449e+03"	"   3702.0826"	"   2703.5687"	"   2692.3854"	"   3292.0814"	"   2617.9550"	"   3757.1348"	"   3286.2841"	"   3110.8157"	"   2353.0500"	"   3185.1221"
""	""	""	""	""	"135.9212"	""	""	""	"  24.80070"	""	""	""	""	""	""	""	""	""	""	""	"   3362.0135"	"   2336.5185"	"3.029363e+03"	"   2719.2576"	"   2106.1242"	"2.740346e+03"	"   3293.4485"	"3.302479e+03"	"   5862.2672"	"   6104.5882"	"   5950.8825"	"   5165.7558"	"   5710.2041"	"   4893.8749"	"   4698.0665"	"   4658.0052"	"   5733.5492"	"   5834.0607"
""	""	""	""	""	"145.0623"	""	""	""	"  23.63425"	""	""	""	""	""	""	""	""	""	""	""	"  23065.4034"	"  18607.4981"	"1.901906e+04"	"  18660.4647"	"  16778.1443"	"2.029077e+04"	"  19360.5149"	"1.894197e+04"	"  10369.6977"	"   7464.1057"	"   6664.9975"	"   7873.4557"	"   7803.8704"	"  11100.6264"	"  11588.5852"	"  12178.0860"	"  11378.6906"	"  10603.4627"
""	""	""	""	""	"147.0664"	""	""	""	"  58.43885"	""	""	""	""	""	""	""	""	""	""	""	"   6954.1204"	"   6449.0486"	"5.444011e+03"	"   4516.2846"	"   3491.0935"	"6.892696e+03"	"   5901.3981"	"4.736196e+03"	"   7102.4596"	"   6914.4555"	"   7538.2744"	"   4150.8532"	"   6934.4655"	"   5667.3552"	"   6664.0023"	"   5579.3017"	"   6083.4821"	"   5657.2923"
""	""	""	""	""	"149.0245"	""	""	""	" 284.60785"	""	""	""	""	""	""	""	""	""	""	""	"  11716.7580"	"   9262.2277"	"7.869232e+03"	"   7532.7505"	"   7894.2691"	"8.388063e+03"	"   8333.3320"	"5.666498e+03"	"  11229.7997"	"  11697.5216"	"  10690.2193"	"  10369.0977"	"  10610.0753"	"   9853.0012"	"   8921.1954"	"   8480.0889"	"   9206.8731"	"  11158.1281"
""	""	""	""	""	"149.0617"	""	""	""	" 385.18836"	""	""	""	""	""	""	""	""	""	""	""	"   1013.6880"	"    677.9765"	"3.865606e+02"	"    524.7528"	"    802.7947"	"6.096841e+02"	"   1163.7405"	"5.608269e+02"	"    750.9294"	"    729.8768"	"    548.9694"	"    549.4981"	"   1058.9531"	"    741.0926"	"    636.6992"	"    630.9584"	"    951.4398"	"   1010.8006"
""	""	""	""	""	"158.9792"	""	""	""	"  20.78605"	""	""	""	""	""	""	""	""	""	""	""	"   9442.4544"	"   9650.1835"	"1.245512e+04"	"  12234.9429"	"  12277.1684"	"1.057078e+04"	"  10811.4493"	"9.407419e+03"	"  13070.3032"	"  13490.3444"	"  13589.5321"	"  13619.8473"	"  12887.1456"	"  11818.6544"	"  11336.2380"	"  10555.8029"	"  11977.6925"	"  12764.2408"
""	""	""	""	""	"159.9805"	""	""	""	"  20.78533"	""	""	""	""	""	""	""	""	""	""	""	"   1463.5720"	"   1574.1860"	"1.655247e+03"	"   1415.5958"	"   1850.2313"	"1.480000e+03"	"   1217.6176"	"1.597505e+03"	"   1889.4105"	"   2080.5696"	"   2084.3672"	"   2429.5564"	"   2417.8823"	"   1789.0938"	"   1501.9462"	"   1208.1312"	"   1181.2105"	"   1583.3781"
""	""	""	""	""	"162.9403"	""	""	""	"  25.59708"	""	""	""	""	""	""	""	""	""	""	""	"  67235.9571"	"  84382.7788"	"8.453142e+04"	"  88965.1247"	"  81180.5415"	"7.610892e+04"	"  82457.3240"	"7.848559e+04"	"  78601.7846"	"  76991.7704"	"  79031.6359"	"  92288.1320"	"  83374.4540"	"  84383.8979"	"  72249.3889"	"  72285.4731"	"  78614.4067"	"  73827.6191"
""	""	""	""	""	"164.0480"	""	""	""	" 284.77563"	""	""	""	""	""	""	""	""	""	""	""	"  30923.8319"	"  26456.5394"	"2.439977e+04"	"  23247.3776"	"  22671.5745"	"2.451052e+04"	"  23755.8200"	"2.159383e+04"	"  35138.6026"	"  33924.0231"	"  32561.1695"	"  30209.7074"	"  30106.8926"	"  27621.5968"	"  28808.7462"	"  28433.1524"	"  29723.8234"	"  31306.4654"
""	""	""	""	""	"164.0719"	""	""	""	"  74.24965"	""	""	""	""	""	""	""	""	""	""	""	"   6758.8288"	"   5205.2561"	"5.261981e+03"	"   3771.5949"	"   3985.7530"	"6.411817e+03"	"   5983.1444"	"5.700982e+03"	"   9437.6658"	"   9646.0732"	"   7749.5951"	"  10232.1551"	"   9534.2767"	"   5167.2085"	"   9351.1564"	"   5266.2508"	"   4773.6168"	"   4162.7470"
