"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos-Exp1-Blatt_K-1_1-B,1_01_8080"	"pos-Exp1-Blatt_K-2_1-B,2_01_8082"	"pos-Exp1-Blatt_K-3_1-B,3_01_8084"	"pos-Exp1-Blatt_K-4_1-B,4_01_8086"	"pos-Exp1-Blatt_K-5_1-B,5_01_8088"	"pos-Exp2-Blatt_K-1_1-D,1_01_8091"	"pos-Exp2-Blatt_K-2_1-D,2_01_8093"	"pos-Exp2-Blatt_K-3_1-D,3_01_8095"	"pos-Exp1-Blatt_P-1_1-C,1_01_8081"	"pos-Exp1-Blatt_P-2_1-C,2_01_8083"	"pos-Exp1-Blatt_P-3_1-C,3_01_8085"	"pos-Exp1-Blatt_P-4_1-C,4_01_8087"	"pos-Exp1-Blatt_P-5_1-C,5_01_8089"	"pos-Exp2-Blatt_P-1_1-E,1_01_8092"	"pos-Exp2-Blatt_P-2_1-E,2_01_8094"	"pos-Exp2-Blatt_P-3_1-E,3_01_8096"	"pos-Exp2-Blatt_P-4_1-E,4_01_8099"	"pos-Exp2-Blatt_P-5_1-E,5_01_8100"
""	""	""	""	""	"110.0073"	""	""	""	"  20.964125"	""	""	""	""	""	""	""	""	""	""	""	"   983.2833"	"  1044.5329"	"   856.3512"	"  1114.4511"	"  1419.51219"	"   801.0366"	"   998.27325"	"  1177.1807"	"1.171439e+03"	"1.057955e+03"	"  1277.11880"	"  1114.18864"	"  1121.89400"	"   969.63954"	"   956.66577"	"   805.5281"	"  1229.37247"	"  1308.11250"
""	""	""	""	""	"114.9868"	""	""	""	"  20.676901"	""	""	""	""	""	""	""	""	""	""	""	"   697.3485"	"   728.2790"	"   465.2325"	"   681.2395"	"   767.01900"	"   526.3735"	"   569.34490"	"   472.0440"	"6.377285e+02"	"4.518944e+02"	"   525.94797"	"   746.97174"	"   693.01819"	"   405.65760"	"   500.86306"	"   557.6789"	"   568.36145"	"   770.91493"
""	""	""	""	""	"120.0800"	""	""	""	"  74.703463"	""	""	""	""	""	""	""	""	""	""	""	"  7230.1616"	"  4896.9195"	"  4868.1619"	"  4009.0965"	"  4104.39455"	"  5204.1600"	"  5540.80693"	"  5662.9202"	"1.040060e+04"	"9.109244e+03"	"  8896.77840"	"  8492.38000"	"  9986.31600"	"  4512.61175"	"  8952.48960"	"  4753.9845"	"  5462.34160"	"  4781.43579"
""	""	""	""	""	"125.9855"	""	""	""	"  20.857485"	""	""	""	""	""	""	""	""	""	""	""	"  3519.8136"	"  2941.7193"	"  3473.4237"	"  3693.7107"	"  3313.69442"	"  2826.2832"	"  3396.58522"	"  3501.6417"	"2.930689e+03"	"3.298237e+03"	"  3770.30585"	"  2440.95120"	"  3371.29423"	"  2953.72770"	"  1946.84012"	"  2708.1866"	"  3592.56429"	"  2714.04756"
""	""	""	""	""	"127.0382"	""	""	""	" 235.032542"	""	""	""	""	""	""	""	""	""	""	""	"  3737.3208"	"  2852.4236"	"  1854.1183"	"  2416.7795"	"  2207.43120"	"   993.3430"	"  1624.19846"	"  1211.1422"	"2.740373e+03"	"3.054899e+03"	"  1936.68196"	"  2022.22934"	"  2275.81920"	"  1397.21731"	"   605.36300"	"  1126.8435"	"  1359.47750"	"  1346.09834"
""	""	""	""	""	"130.0496"	""	""	""	"  27.941333"	""	""	""	""	""	""	""	""	""	""	""	" 74762.4901"	" 64109.6461"	" 53863.6053"	" 61723.9001"	" 57198.72243"	" 59558.9424"	" 56730.68003"	" 58342.6681"	"3.370923e+04"	"2.846043e+04"	" 26372.85731"	" 24532.34431"	" 26141.71079"	" 33389.70836"	" 33898.50952"	" 35929.4396"	" 32816.24797"	" 34975.33879"
""	""	""	""	""	"130.0646"	""	""	""	" 163.429258"	""	""	""	""	""	""	""	""	""	""	""	"  5319.1645"	"  4067.3609"	"  2527.1642"	"  4443.7027"	"  3091.47120"	"  3321.1690"	"  4704.70813"	"  2891.1536"	"1.098445e+04"	"8.309709e+03"	"  6682.14192"	"  9710.77131"	"  7256.80080"	"  5298.40871"	"  7997.00079"	"  7191.9820"	"  6589.26720"	"  6837.12811"
""	""	""	""	""	"130.0637"	""	""	""	" 376.821356"	""	""	""	""	""	""	""	""	""	""	""	"  1209.5417"	"  1188.9275"	"  1389.2889"	"   952.6298"	"   932.20735"	"  1390.8397"	"   749.08167"	"  1198.3810"	"1.471370e+03"	"1.126479e+03"	"  1226.31360"	"  1230.76689"	"  1190.73111"	"  1214.41895"	"  1125.65886"	"  1212.4015"	"  1372.70467"	"  1217.09440"
""	""	""	""	""	"131.1287"	""	""	""	"  22.343483"	""	""	""	""	""	""	""	""	""	""	""	" 27651.4202"	" 26305.4992"	" 27792.6052"	" 27555.5574"	" 27207.90771"	" 23646.1909"	" 27063.96720"	" 26401.4069"	"1.918366e+04"	"2.385220e+04"	" 24270.83966"	" 22467.91446"	" 24334.21365"	" 21199.12000"	" 19155.97920"	" 18260.0612"	" 30080.17020"	" 22293.90911"
""	""	""	""	""	"132.1014"	""	""	""	"  45.168281"	""	""	""	""	""	""	""	""	""	""	""	" 14533.8742"	"  8460.9006"	"  9036.9262"	"  7971.7056"	"  8571.86651"	"  8578.5128"	"  6880.76220"	"  6501.1272"	"2.914763e+04"	"3.112332e+04"	" 29106.68055"	" 23637.83022"	" 33237.47767"	"  7850.51517"	" 11256.06221"	"  8514.9920"	" 12299.68335"	" 10402.19850"
""	""	""	""	""	"132.9968"	""	""	""	"  20.834447"	""	""	""	""	""	""	""	""	""	""	""	"   622.5664"	"   625.8008"	"   662.4213"	"   669.7477"	"   489.72480"	"   513.1552"	"   473.04480"	"   319.3126"	"5.481675e+02"	"3.779943e+02"	"   613.88422"	"   536.15656"	"   614.31437"	"   565.02600"	"   448.74335"	"   354.3071"	"   338.93760"	"   553.01836"
""	""	""	""	""	"133.0600"	""	""	""	"  27.569297"	""	""	""	""	""	""	""	""	""	""	""	" 31549.8677"	" 32721.6893"	" 30181.2205"	" 26258.4189"	" 28112.86727"	" 25710.4453"	" 28505.62997"	" 25767.2242"	"2.835266e+04"	"2.141804e+04"	" 24771.97462"	" 19899.59993"	" 22367.64909"	" 17885.59345"	" 18318.97680"	" 17828.8734"	" 22363.77814"	" 21143.07066"
""	""	""	""	""	"134.5283"	""	""	""	" 271.525286"	""	""	""	""	""	""	""	""	""	""	""	"  1389.2878"	"   608.8982"	"   674.3876"	"  1200.7292"	"   832.66560"	"  1441.9813"	"  1142.04116"	"   988.1232"	"8.335511e+02"	"9.052946e+02"	"  1011.26250"	"  1095.08569"	"  1094.09867"	"  1147.15214"	"  1041.73335"	"  1447.3195"	"  1085.53440"	"  1017.24803"
""	""	""	""	""	"135.0436"	""	""	""	" 271.730473"	""	""	""	""	""	""	""	""	""	""	""	" 19332.1200"	" 20980.9461"	" 21275.3400"	" 21830.1168"	" 20688.63425"	" 22215.8818"	" 21007.85771"	" 21066.9291"	"2.081553e+04"	"2.033125e+04"	" 20983.48605"	" 20461.77055"	" 20050.24291"	" 21093.10700"	" 21022.95285"	" 20825.3277"	" 20763.88236"	" 20588.53138"
""	""	""	""	""	"136.0474"	""	""	""	" 271.675032"	""	""	""	""	""	""	""	""	""	""	""	"  1561.3958"	"  1411.2616"	"  1769.7480"	"  1147.3588"	"  1545.56880"	"  1913.9426"	"   974.11200"	"  1792.9598"	"1.148470e+03"	"1.608619e+03"	"  1256.92233"	"  1669.90603"	"  1519.63309"	"  1027.65600"	"   965.86342"	"  1274.1757"	"  1376.65465"	"  1304.70960"
""	""	""	""	""	"138.0132"	""	""	""	" 262.729290"	""	""	""	""	""	""	""	""	""	""	""	"   772.7044"	"   473.1511"	"   866.0256"	"   391.2688"	"   333.66667"	"   284.8304"	"   423.29081"	"   644.8488"	"2.395915e+03"	"2.000102e+03"	"  1126.87892"	"  2024.39081"	"  2029.62240"	"  1181.81194"	"  1733.59927"	"  1501.6925"	"  2172.92289"	"  1713.03600"
""	""	""	""	""	"139.9145"	""	""	""	"  25.842600"	""	""	""	""	""	""	""	""	""	""	""	" 12461.5750"	" 13236.9948"	" 12846.2760"	" 12278.8860"	" 11621.31507"	" 11435.4091"	" 11287.20100"	" 11946.1511"	"1.612003e+04"	"1.597906e+04"	" 14863.20339"	" 17144.98875"	" 16257.19832"	" 15193.62003"	" 13490.45313"	" 13809.8635"	" 15253.17347"	" 14119.13202"
""	""	""	""	""	"141.9126"	""	""	""	"  25.806207"	""	""	""	""	""	""	""	""	""	""	""	"  1684.8614"	"  2086.5732"	"  1040.9657"	"  1861.5462"	"  1975.79215"	"  1697.7922"	"  1959.68388"	"  1887.2133"	"2.374844e+03"	"2.390062e+03"	"  2172.66575"	"  2426.08464"	"  2068.30255"	"  2206.88393"	"  1935.29578"	"  1961.9544"	"  2104.62396"	"  2139.04409"
""	""	""	""	""	"146.0368"	""	""	""	" 271.702800"	""	""	""	""	""	""	""	""	""	""	""	"  1091.2056"	"  1314.6204"	"  1212.8333"	"  1274.3457"	"  1197.05364"	"  1665.3312"	"  1021.14960"	"  1426.8072"	"1.717994e+03"	"1.411668e+03"	"  1382.48723"	"  1203.62926"	"   776.85360"	"   888.81030"	"  1145.24880"	"   573.4584"	"  1732.33269"	"  1003.13520"
""	""	""	""	""	"146.0626"	""	""	""	"  63.946095"	""	""	""	""	""	""	""	""	""	""	""	" 13226.6428"	" 12524.8380"	" 17225.3606"	" 12607.4503"	" 13508.41187"	" 13286.8860"	" 13792.99446"	" 15270.8555"	"2.560801e+04"	"3.178741e+04"	" 32375.51800"	" 27930.49117"	" 24979.33769"	" 16589.99173"	" 19876.53947"	" 21481.1945"	" 27877.54466"	" 25932.10117"
""	""	""	""	""	"147.0765"	""	""	""	"  27.941333"	""	""	""	""	""	""	""	""	""	""	""	"176645.1225"	"151390.1242"	"128583.3407"	"135511.8788"	"134520.97888"	"132170.6520"	"137139.61607"	"132305.1730"	"6.790985e+04"	"5.409804e+04"	" 52548.06091"	" 51568.02337"	" 49530.32805"	" 69564.02359"	" 68613.85746"	" 81286.7764"	" 66213.41550"	" 69561.60480"
""	""	""	""	""	"147.0438"	""	""	""	" 284.197980"	""	""	""	""	""	""	""	""	""	""	""	"  4257.7868"	"  3678.5493"	"  3147.5160"	"  2372.7182"	"   189.63086"	"  2723.9426"	"  3359.58438"	"  2613.8701"	"4.873657e+03"	"4.922268e+03"	"  4799.79094"	"  3934.74049"	"  4001.10682"	"  3824.98858"	"  4542.63120"	"  4506.1966"	"  4444.88467"	"  4517.15196"
""	""	""	""	""	"148.0624"	""	""	""	"  28.211196"	""	""	""	""	""	""	""	""	""	""	""	" 20122.9170"	" 16443.8112"	" 14421.3792"	" 14985.2096"	" 14518.46481"	" 18458.4216"	" 16956.36756"	"   829.9616"	"3.348291e+04"	"3.572108e+04"	" 28832.79020"	" 21651.30720"	" 25538.97726"	" 20309.25698"	" 24796.58350"	" 25724.5672"	" 25651.51721"	" 24615.65143"
""	""	""	""	""	"149.0595"	""	""	""	" 243.577013"	""	""	""	""	""	""	""	""	""	""	""	"  2282.4720"	"  1724.1857"	"  1348.3500"	"  1409.6136"	"  1222.64400"	"  2289.4054"	"  2898.02720"	"  1794.4593"	"1.419619e+03"	"1.178491e+03"	"   996.31819"	"  1802.34208"	"  1733.05200"	"  1786.08198"	"  1546.95852"	"  1396.7832"	"  1239.26895"	"  1890.61808"
""	""	""	""	""	"150.0579"	""	""	""	"  37.745389"	""	""	""	""	""	""	""	""	""	""	""	"  2221.1927"	"  1698.5912"	"  1903.9768"	"  2333.2297"	"  1449.56219"	"  1011.5709"	"  1321.92526"	"  1153.7149"	"2.659690e+03"	"2.267979e+03"	"  2652.83191"	"  1845.18128"	"  2474.70487"	"  2095.24802"	"  2121.74577"	"  2215.7169"	"  2034.84264"	"  2384.31174"
""	""	""	""	""	"151.0350"	""	""	""	"  20.899781"	""	""	""	""	""	""	""	""	""	""	""	" 10675.6054"	"  9637.0373"	" 11673.9889"	" 10785.7356"	" 10788.41321"	" 10103.4187"	" 10040.78014"	"  9541.3847"	"1.132227e+04"	"1.167667e+04"	" 11813.57840"	" 12181.67384"	" 11772.84233"	" 10082.04095"	" 10621.12123"	" 10086.2496"	" 10823.14567"	"  9639.37200"
""	""	""	""	""	"151.5491"	""	""	""	"  59.984643"	""	""	""	""	""	""	""	""	""	""	""	" 19049.2340"	" 14939.7380"	" 13831.4867"	" 14765.3491"	" 10135.37002"	" 15782.7599"	" 19812.86034"	" 13254.8608"	"3.018394e+04"	"2.477753e+04"	" 25899.63327"	" 20789.80293"	" 24411.35342"	" 15528.28854"	" 17906.03389"	" 13901.9741"	" 14312.68845"	" 11400.91926"
