"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"neg_Exp1-K1_2-C,1_01_7421.d"	"neg_Exp1-K2_2-C,3_01_7423.d"	"neg_Exp1-K3_2-C,5_01_7425.d"	"neg_Exp1-K4_2-C,7_01_7427.d"	"neg_Exp1-K5_2-D,1_01_7429.d"	"neg_Exp2-K1_2-E,1_01_7432.d"	"neg_Exp2-K2_2-E,3_01_7434.d"	"neg_Exp2-K2_2-E,3_01_7438.d"	"neg_Exp2-K3_2-E,5_01_7436.d"	"neg_Exp2-K3_2-E,5_01_7440.d"	"neg_Exp1-P1_2-C,2_01_7422.d"	"neg_Exp1-P2_2-C,4_01_7424.d"	"neg_Exp1-P3_2-C,6_01_7426.d"	"neg_Exp1-P4_2-C,8_01_7428.d"	"neg_Exp1-P5_2-D,2_01_7430.d"	"neg_Exp2-P1_2-E,2_01_7433.d"	"neg_Exp2-P2_2-E,4_01_7435.d"	"neg_Exp2-P3_2-E,6_01_7437.d"	"neg_Exp2-P4_2-E,7_01_7439.d"	"neg_Exp2-P5_2-E,8_01_7441.d"
""	""	""	""	""	"  96.96007"	""	""	""	" 243.48556"	""	""	""	""	""	""	""	""	""	""	""	"6.119025e+04"	"4.001927e+04"	"4.133351e+04"	"5.061951e+04"	"1.611760e+04"	"3.254670e+04"	"3.753034e+04"	"3.735906e+04"	"2.913475e+04"	"2.936825e+04"	"1.441845e+05"	"8.670934e+04"	"1.266928e+05"	"9.077422e+04"	"9.672786e+04"	"7.064661e+04"	"  64061.7783"	"5.297681e+04"	"6.704785e+04"	"5.998222e+04"
""	""	""	""	""	"  96.96078"	""	""	""	"  23.10914"	""	""	""	""	""	""	""	""	""	""	""	"2.770889e+04"	"2.674883e+04"	"2.913038e+04"	"2.842921e+04"	"3.452341e+04"	"2.930156e+04"	"2.908387e+04"	"2.871402e+04"	"3.067324e+04"	"2.843961e+04"	"1.060533e+04"	"1.117553e+04"	"1.390599e+04"	"1.319840e+04"	"1.080102e+04"	"1.685591e+04"	"   6415.6022"	"1.455766e+04"	"2.464384e+04"	"1.593597e+04"
""	""	""	""	""	" 111.00933"	""	""	""	"  37.90497"	""	""	""	""	""	""	""	""	""	""	""	"1.424508e+04"	"1.076575e+04"	"9.282639e+03"	"8.600985e+03"	"8.419297e+03"	"8.672541e+03"	"1.122914e+04"	"1.105620e+04"	"7.738041e+03"	"9.134519e+03"	"4.012925e+04"	"1.558298e+04"	"1.276984e+04"	"2.126351e+04"	"7.787321e+03"	"2.686415e+04"	"  26350.3172"	"3.781784e+04"	"1.407328e+04"	"1.035185e+04"
""	""	""	""	""	" 114.98889"	""	""	""	"  20.61627"	""	""	""	""	""	""	""	""	""	""	""	"2.362055e+03"	"1.781269e+03"	"1.555243e+03"	"1.203168e+03"	"8.200118e+02"	"1.949525e+03"	"1.707199e+03"	"1.666701e+03"	"1.407161e+03"	"1.913262e+03"	"1.787895e+03"	"1.354979e+03"	"1.757874e+03"	"1.799570e+03"	"1.635974e+03"	"2.021359e+03"	"   1262.4520"	"2.159516e+03"	"1.697693e+03"	"9.739059e+02"
""	""	""	""	""	" 115.00407"	""	""	""	"  29.08535"	""	""	""	""	""	""	""	""	""	""	""	"8.099269e+03"	"6.819095e+03"	"7.024124e+03"	"8.004577e+03"	"5.609153e+03"	"6.449937e+03"	"7.512858e+03"	"1.049753e+04"	"6.306170e+03"	"6.120077e+03"	"1.795175e+04"	"1.480956e+04"	"1.550705e+04"	"1.495005e+04"	"1.326150e+04"	"2.079374e+04"	"  16012.9647"	"1.572717e+04"	"1.361918e+04"	"1.114260e+04"
""	""	""	""	""	" 116.07143"	""	""	""	" 376.12222"	""	""	""	""	""	""	""	""	""	""	""	"1.176235e+04"	"1.190295e+04"	"1.239093e+04"	"1.140284e+04"	"1.158093e+04"	"1.169741e+04"	"1.150470e+04"	"1.172399e+04"	"1.216197e+04"	"1.103347e+04"	"1.154664e+04"	"1.238986e+04"	"1.148982e+04"	"1.026193e+04"	"1.158319e+04"	"1.193718e+04"	"  11898.6114"	"1.115713e+04"	"1.223453e+04"	"1.214685e+04"
""	""	""	""	""	" 117.01959"	""	""	""	"  43.49884"	""	""	""	""	""	""	""	""	""	""	""	"3.982798e+03"	"4.684858e+03"	"3.068659e+03"	"2.139069e+03"	"1.545269e+03"	"1.876193e+03"	"2.160747e+03"	"3.537752e+03"	"1.746360e+03"	"1.723969e+03"	"7.689822e+03"	"8.029607e+03"	"8.376457e+03"	"7.515724e+03"	"7.757047e+03"	"6.242581e+03"	"   4788.8061"	"7.732757e+03"	"6.487461e+03"	"5.817225e+03"
""	""	""	""	""	" 121.02928"	""	""	""	" 283.03209"	""	""	""	""	""	""	""	""	""	""	""	"3.425485e+03"	"5.772725e+03"	"4.568532e+03"	"4.067692e+03"	"1.761622e+03"	"2.351940e+03"	"3.795132e+03"	"3.235607e+03"	"4.762856e+03"	"4.007763e+03"	"7.964430e+03"	"4.395008e+03"	"2.984193e+03"	"2.254577e+03"	"2.558424e+03"	"1.180127e+04"	"  12110.7190"	"1.329410e+04"	"1.046491e+04"	"1.006809e+04"
""	""	""	""	""	" 121.02939"	""	""	""	" 206.79353"	""	""	""	""	""	""	""	""	""	""	""	"2.764254e+03"	"3.964793e+03"	"3.802923e+03"	"3.649369e+03"	"2.130152e+03"	"2.335800e+03"	"2.971421e+03"	"3.014892e+03"	"2.218109e+03"	"1.979832e+03"	"1.033055e+04"	"4.989534e+03"	"5.151693e+03"	"3.081518e+03"	"6.380271e+03"	"2.593240e+04"	"  22164.5120"	"2.538058e+04"	"1.490609e+04"	"1.141233e+04"
""	""	""	""	""	" 122.02456"	""	""	""	"  53.39552"	""	""	""	""	""	""	""	""	""	""	""	"3.401751e+04"	"2.256896e+04"	"2.195891e+04"	"2.711488e+04"	"1.357372e+04"	"1.998581e+04"	"1.964582e+04"	"1.810298e+04"	"1.188869e+04"	"1.560104e+04"	"7.193365e+03"	"4.424385e+03"	"5.468652e+03"	"1.019614e+04"	"3.108894e+03"	"9.399516e+03"	"   2674.3480"	"7.522076e+03"	"3.939757e+03"	"2.638899e+03"
""	""	""	""	""	" 127.00126"	""	""	""	" 234.78221"	""	""	""	""	""	""	""	""	""	""	""	"2.448958e+03"	"3.239697e+03"	"2.146130e+03"	"2.572761e+03"	"2.422877e+03"	"1.436802e+03"	"1.327061e+03"	"1.484291e+03"	"1.595259e+03"	"1.934553e+03"	"3.858711e+02"	"2.170883e+03"	"1.137463e+03"	"1.191897e+03"	"2.035045e+03"	"1.508132e+03"	"   1096.7170"	"1.273675e+03"	"1.064706e+03"	"7.895469e+02"
""	""	""	""	""	" 127.00091"	""	""	""	" 290.36368"	""	""	""	""	""	""	""	""	""	""	""	"6.002640e+02"	"3.835710e+02"	"4.095134e+02"	"3.920666e+02"	"2.974642e+02"	"3.758658e+02"	"3.024391e+02"	"3.651277e+02"	"2.727621e+02"	"2.935152e+02"	"1.811023e+03"	"2.978417e+03"	"4.898625e+03"	"6.244957e+02"	"2.979361e+03"	"7.709364e+02"	"    925.0223"	"1.455207e+03"	"1.182975e+03"	"2.476571e+03"
""	""	""	""	""	" 128.03534"	""	""	""	"  38.70077"	""	""	""	""	""	""	""	""	""	""	""	"4.145156e+03"	"4.349909e+03"	"4.453215e+03"	"2.881628e+03"	"2.963637e+03"	"4.443164e+03"	"2.397342e+03"	"1.950647e+03"	"2.844251e+03"	"2.083437e+03"	"5.477742e+03"	"5.841569e+03"	"5.864997e+03"	"8.163223e+03"	"6.803141e+03"	"3.030795e+03"	"   3979.9547"	"2.576172e+03"	"4.201721e+03"	"5.481698e+03"
