"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"charge"	"modifications"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"pos_Exp1-K1_2-C,1_01_7443.d"	"pos_Exp1-K2_2-C,3_01_7445.d"	"pos_Exp1-K3_2-C,5_01_7447.d"	"pos_Exp1-K4_2-C,7_01_7449.d"	"pos_Exp1-K5_2-D,1_01_7451.d"	"pos_Exp2-K1_2-E,1_01_7454.d"	"pos_Exp2-K2_2-E,3_01_7456.d"	"pos_Exp2-K2_2-E,3_01_7460.d"	"pos_Exp2-K3_2-E,5_01_7458.d"	"pos_Exp2-K3_2-E,5_01_7462.d"	"pos_Exp1-P1_2-C,2_01_7444.d"	"pos_Exp1-P2_2-C,4_01_7446.d"	"pos_Exp1-P3_2-C,6_01_7448.d"	"pos_Exp1-P4_2-C,8_01_7450.d"	"pos_Exp1-P5_2-D,2_01_7452.d"	"pos_Exp2-P1_2-E,2_01_7455.d"	"pos_Exp2-P2_2-E,4_01_7457.d"	"pos_Exp2-P3_2-E,6_01_7459.d"	"pos_Exp2-P4_2-E,7_01_7461.d"	"pos_Exp2-P5_2-E,8_01_7463.d"
""	""	""	""	""	" 120.0802"	""	""	""	"  74.613918"	""	""	""	""	""	""	""	""	""	""	""	"6.313812e+03"	"4.756171e+03"	"5.727889e+03"	"4.862761e+03"	"9.757096e+02"	"4.257528e+03"	"3.875663e+03"	"3.659728e+03"	"3.021497e+03"	"2.988796e+03"	"1.092200e+04"	"6.977430e+03"	"8.945708e+03"	"1.050255e+04"	"8.648704e+03"	"4.474315e+03"	"5.104664e+03"	"4.340388e+03"	"4.755571e+03"	"4.702341e+03"
""	""	""	""	""	" 122.9240"	""	""	""	"  23.355492"	""	""	""	""	""	""	""	""	""	""	""	"7.625410e+02"	"8.854387e+02"	"9.470174e+02"	"9.530640e+02"	"1.085579e+03"	"9.186676e+02"	"1.186375e+03"	"8.932754e+02"	"9.804193e+02"	"1.083738e+03"	"7.570541e+02"	"5.069142e+02"	"5.727111e+02"	"6.954934e+02"	"4.794809e+02"	"8.996976e+02"	"1.066990e+03"	"7.385129e+02"	"9.058838e+02"	"5.535057e+02"
""	""	""	""	""	" 124.0393"	""	""	""	"  37.544217"	""	""	""	""	""	""	""	""	""	""	""	"2.864445e+04"	"2.725900e+04"	"2.511874e+04"	"3.022217e+04"	"1.634807e+04"	"2.513738e+04"	"2.734565e+04"	"2.672375e+04"	"2.229294e+04"	"2.265363e+04"	"5.406149e+04"	"3.144202e+04"	"4.005172e+04"	"1.745206e+04"	"2.710561e+04"	"6.977678e+04"	"6.776661e+04"	"5.893265e+04"	"5.612879e+04"	"4.198118e+04"
""	""	""	""	""	" 124.0392"	""	""	""	"  52.995616"	""	""	""	""	""	""	""	""	""	""	""	"9.426939e+04"	"6.286710e+04"	"5.857292e+04"	"7.921947e+04"	"3.516651e+04"	"5.106198e+04"	"5.728271e+04"	"5.756487e+04"	"3.726530e+04"	"3.703472e+04"	"2.011199e+04"	"9.810108e+03"	"1.102633e+04"	"2.590261e+04"	"6.529959e+03"	"2.190117e+04"	"5.714635e+03"	"1.908781e+04"	"8.499812e+03"	"4.495661e+03"
""	""	""	""	""	" 124.0389"	""	""	""	" 226.448934"	""	""	""	""	""	""	""	""	""	""	""	"3.058445e+03"	"1.677198e+03"	"1.356939e+03"	"2.104208e+03"	"6.853685e+02"	"1.337803e+03"	"1.468737e+03"	"1.144444e+03"	"1.055980e+03"	"1.013219e+03"	"4.689888e+03"	"2.433382e+03"	"2.787830e+03"	"2.727976e+03"	"1.567321e+03"	"2.482447e+03"	"3.654396e+03"	"3.770963e+03"	"8.547473e+02"	"1.188469e+03"
""	""	""	""	""	" 125.0230"	""	""	""	" 186.231359"	""	""	""	""	""	""	""	""	""	""	""	"3.110820e+03"	"2.506177e+03"	"2.380764e+03"	"2.295592e+03"	"8.274697e+02"	"3.667147e+03"	"4.166589e+03"	"4.574967e+03"	"3.212973e+03"	"2.744286e+03"	"3.783616e+02"	"2.236034e+02"	"3.963492e+02"	"2.666554e+02"	"3.266211e+02"	"1.643647e+03"	"1.100726e+03"	"8.477250e+02"	"1.130848e+03"	"7.188681e+02"
""	""	""	""	""	" 125.0421"	""	""	""	"  37.515625"	""	""	""	""	""	""	""	""	""	""	""	"1.831071e+03"	"1.973972e+03"	"1.687555e+03"	"1.725969e+03"	"1.189024e+03"	"1.589032e+03"	"1.783759e+03"	"1.853026e+03"	"1.611683e+03"	"1.261691e+03"	"3.328399e+03"	"1.970974e+03"	"2.315306e+03"	"1.032026e+03"	"1.555444e+03"	"4.326458e+03"	"4.121454e+03"	"3.658412e+03"	"3.909908e+03"	"2.692343e+03"
""	""	""	""	""	" 126.0371"	""	""	""	"  63.516749"	""	""	""	""	""	""	""	""	""	""	""	"1.080430e+03"	"8.455674e+02"	"6.638497e+02"	"8.221678e+02"	"9.850801e+02"	"9.813891e+02"	"7.987233e+02"	"7.597875e+02"	"8.204404e+02"	"8.361577e+02"	"5.028852e+03"	"2.347583e+03"	"1.676864e+03"	"9.350252e+02"	"1.953024e+03"	"4.858767e+03"	"5.684464e+03"	"3.602861e+03"	"4.444859e+03"	"2.878309e+03"
""	""	""	""	""	" 127.5339"	""	""	""	" 485.391367"	""	""	""	""	""	""	""	""	""	""	""	"2.074140e+03"	"2.454555e+03"	"4.431870e+03"	"2.655478e+03"	"1.631716e+03"	"2.708604e+03"	"2.464498e+03"	"2.435511e+03"	"2.113326e+03"	"2.207458e+03"	"2.956158e+03"	"2.228114e+03"	"1.716372e+03"	"3.700002e+03"	"3.801190e+03"	"4.088028e+03"	"4.914226e+03"	"3.964836e+03"	"5.207722e+03"	"5.159805e+03"
""	""	""	""	""	" 130.0501"	""	""	""	"  28.246751"	""	""	""	""	""	""	""	""	""	""	""	"1.198464e+04"	"9.846257e+03"	"1.248364e+04"	"1.026767e+04"	"1.076482e+04"	"9.800872e+03"	"9.141384e+03"	"9.159069e+03"	"8.751522e+03"	"8.020943e+03"	"2.342077e+04"	"3.189198e+04"	"2.778221e+04"	"2.598509e+04"	"3.478319e+04"	"1.326861e+04"	"2.204504e+04"	"2.226902e+04"	"2.306122e+04"	"2.219991e+04"
