"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Autosampler model]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"
"4"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"4"	"4_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"31"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"31"	"31_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"35"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"35"	"35_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"7"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"7"	"7_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"22"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"22"	"22_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"39"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"39"	"39_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"38"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"38"	"38_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"54"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"54"	"54_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"58"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"58"	"58_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
"18"	"Extraction"	""	"oximation and silylation"	""	"Chromatography"	"Agilent 6890N GC"	""	""	"GERSTEL MultiPurpose Sampler (MPS 2)"	""	""	"VF-17ms (0.25 µm, 0.25 mm x 30 m; Varian)"	"low polarity"	""	""	""	""	"Mass spectrometry"	"positive"	"45-600"	"LECO Pegasus III"	""	""	"electron ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000389"	"time-of-flight"	"MS"	""	"18"	"18_1.cdf"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls393_metabolite_profiling_mass_spectrometry_v2_maf.tsv"
