"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"	"QC1_1"	"QC1_2"	"QC1_3"	"QC2_1"	"QC2_2"	"QC2_3"	"1"	"2"	"3"	"4"	"5"	"QC3"	"6"	"7"	"8"	"9"	"10"	"QC4"	"11"	"12"	"13"	"14"	"15"	"QC5"	"16"	"17"	"18"	"19"	"20"	"QC6"	"21"	"22"	"23"	"24"	"25"	"QC7"	"26"	"27"	"28"	"29"	"QC8"	"QC9_1"	"QC9_2"	"QC10_1"	"QC10_2"	"QC10_3"	"30"	"31"	"32"	"33"	"34"	"QC11"	"35"	"36"	"37"	"38"	"39"	"QC12"	"40"	"41"	"42"	"43"	"44"	"QC13"	"45"	"46"	"47"	"48"	"49"	"QC14"	"50"	"51"	"52"	"53"	"54"	"QC15"	"55"	"56"	"57"	"58"	"59"	"QC16"
"unknown"	""	""	""	"Unknown 1"	""	""	""	""	"301.129"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1009768"	"516574"	"498282"	"1043639"	"793509"	"734387"	"NA"	"NA"	"46543"	"NA"	"NA"	"338313"	"NA"	"NA"	"NA"	"NA"	"NA"	"819984"	"NA"	"NA"	"NA"	"347002"	"107011"	"614360"	"NA"	"963347"	"375408"	"402157"	"158937"	"1035072"	"432401"	"240123"	"204144"	"330496"	"388022"	"1393045"	"452303"	"157468"	"565279"	"106561"	"2252679"	"118955"	"421166"	"NA"	"223484"	"86687"	"NA"	"NA"	"NA"	"NA"	"NA"	"198290"	"NA"	"NA"	"NA"	"202878"	"NA"	"447874"	"NA"	"26901"	"NA"	"28586"	"46238"	"358494"	"38715"	"NA"	"106898"	"98700"	"37489"	"716476"	"187209"	"478672"	"418573"	"4896966"	"195151"	"884130"	"188591"	"182440"	"452229"	"292344"	"328169"	"2278398"
"unknown"	""	""	""	"Unknown 2"	""	""	""	""	"304.379"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1897090"	"2064334"	"2607477"	"2456874"	"3070197"	"3440987"	"2606181"	"1594295"	"1487035"	"820677"	"1816088"	"3888356"	"2024078"	"1744868"	"2714995"	"1831775"	"2247471"	"4247437"	"611048"	"2376670"	"1659262"	"4760531"	"2877358"	"5340459"	"1860506"	"4996432"	"1965471"	"1578629"	"2322777"	"4533583"	"3793992"	"2175870"	"4022618"	"1590762"	"3074252"	"4627729"	"3581852"	"6775918"	"5195569"	"3886105"	"5545505"	"2544631"	"2220021"	"1926869"	"2251369"	"3943644"	"NA"	"NA"	"1266392"	"2068944"	"NA"	"3835412"	"894348"	"1291845"	"1208797"	"1757405"	"1305755"	"4743485"	"1969155"	"2241463"	"3949603"	"5603906"	"2256687"	"4077607"	"2833376"	"4192713"	"2067009"	"5900634"	"6650072"	"6069506"	"7021791"	"6208408"	"1264365"	"10532491"	"1625842"	"5142840"	"2909911"	"2175398"	"2884368"	"1648771"	"3332474"	"5505209"
"CHEBI:139058"	"C13H28"	"C(CCCC(CC)C)(CCCC)C"	"InChI=1S/C13H28/c1-5-7-9-13(4)11-8-10-12(3)6-2/h12-13H,5-11H2,1-4H3"	"Undecane, 3,7-dimethyl-"	""	""	""	""	"306.529"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"3293986"	"3140433"	"3070338"	"2875991"	"2894106"	"2899366"	"2724552"	"2913257"	"2804601"	"2827745"	"2877189"	"3551251"	"2834433"	"2596817"	"3112906"	"3046339"	"3221836"	"3109959"	"2848412"	"2958071"	"3129708"	"4353113"	"4175131"	"3594857"	"2952660"	"3382354"	"3083542"	"2896097"	"3071693"	"2803909"	"3292923"	"2808738"	"2656359"	"3085088"	"3153640"	"3216037"	"3096378"	"2737627"	"2829397"	"2989855"	"2696020"	"3107701"	"3467548"	"2846927"	"3204711"	"3182192"	"2699839"	"2835026"	"2484852"	"2799930"	"3302823"	"3280709"	"2820985"	"2995271"	"2957854"	"3239073"	"3283180"	"3220772"	"3261896"	"3204290"	"3592120"	"3579474"	"3205419"	"3366333"	"2965944"	"3185571"	"3112535"	"3338624"	"3271125"	"3389971"	"3643504"	"3518056"	"2866726"	"3333453"	"2560098"	"3291603"	"3028918"	"3141501"	"3541089"	"2745594"	"3218771"	"3329979"
"unknown"	""	""	""	"Unknown 3"	""	""	""	""	"308.629"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"957780"	"1001982"	"990263"	"928751"	"977816"	"984077"	"1060632"	"881572"	"1209396"	"933882"	"NA"	"1314198"	"1083841"	"903070"	"1155138"	"1171263"	"1125142"	"1216355"	"1195456"	"1170797"	"1239143"	"1300036"	"1155576"	"1282697"	"1241160"	"1424597"	"1356173"	"1299323"	"1221386"	"1161229"	"1134228"	"1082029"	"1258933"	"1166478"	"1351944"	"1354997"	"1373336"	"1232260"	"1475470"	"1217132"	"1279697"	"1153567"	"1382692"	"1153579"	"1254024"	"1329512"	"NA"	"NA"	"NA"	"1184866"	"NA"	"1221266"	"1123696"	"1371903"	"1382881"	"1531851"	"1173559"	"1286531"	"NA"	"1296796"	"1422480"	"1561943"	"1325316"	"1485241"	"1362520"	"1157992"	"1327579"	"1513754"	"1412649"	"1449988"	"1314906"	"1474897"	"1267782"	"1267169"	"1156013"	"1395570"	"1198753"	"1279017"	"1805503"	"1332048"	"1523904"	"1466216"
"CHEBI:88816"	"C11H24"	"CCCCCCC(C)CCC"	"InChI=1S/C11H24/c1-4-6-7-8-10-11(3)9-5-2/h11H,4-10H2,1-3H3"	"Decane, 4-methyl-"	""	""	""	""	"320.329"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"295000"	"327699"	"300604"	"353337"	"391255"	"368696"	"335308"	"405324"	"357214"	"331302"	"353200"	"407641"	"354470"	"312209"	"347166"	"370438"	"366743"	"363745"	"347559"	"388410"	"368062"	"408704"	"402390"	"404118"	"341048"	"404732"	"364444"	"350912"	"343641"	"344318"	"374613"	"331627"	"328303"	"368094"	"378674"	"393384"	"366569"	"346599"	"335648"	"356312"	"350621"	"420421"	"438302"	"394173"	"375251"	"378496"	"358716"	"348421"	"337525"	"372378"	"400602"	"402468"	"340799"	"374472"	"361899"	"360192"	"379603"	"411799"	"377783"	"381412"	"409008"	"379975"	"366617"	"418571"	"368918"	"369027"	"362543"	"377717"	"421252"	"379844"	"422773"	"350193"	"383574"	"375500"	"341389"	"406792"	"375656"	"367459"	"379682"	"369328"	"364398"	"399686"
"CHEBI:16109"	"C3H8O2"	"OCCCO"	"InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2"	"3,7-Dioxa-2,8-disilanonane, 2,2,8,8-tetramethyl-"	""	""	""	""	"322.029"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"850414"	"931618"	"929486"	"1015670"	"1093707"	"1087533"	"1035635"	"1131629"	"1103562"	"1043977"	"1046330"	"1217851"	"1062867"	"1014228"	"1068447"	"1121597"	"1137848"	"1116123"	"1043633"	"1037779"	"1044431"	"1221162"	"1159567"	"1175329"	"1156879"	"1213655"	"1190733"	"1067207"	"1125573"	"1114084"	"1116486"	"1083028"	"1019851"	"1168237"	"1152941"	"1218818"	"1193285"	"1140827"	"1139370"	"1077697"	"1138000"	"1102322"	"1116141"	"1074299"	"1097167"	"1039826"	"1020651"	"1063251"	"1046958"	"1084202"	"1084407"	"1093499"	"1040493"	"1091331"	"1125125"	"1041084"	"1153289"	"1161440"	"1033557"	"1082943"	"1136955"	"1121425"	"1021836"	"1113399"	"1056404"	"1068452"	"1109875"	"1233790"	"1146938"	"1129237"	"1151304"	"1043002"	"1067119"	"1186434"	"1120006"	"1112084"	"1054003"	"1084830"	"1115088"	"1077985"	"1110327"	"1194136"
"CHEBI:139060"	"C9H15NS"	"S1C(CCCN(C)C)=CC=C1"	"InChI=1S/C9H15NS/c1-10(2)7-3-5-9-6-4-8-11-9/h4,6,8H,3,5,7H2,1-2H3"	"2-Thiophenepropanamine, N,N-dimethyl-"	""	""	""	""	"334.279"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"588951"	"897132"	"1205840"	"1424067"	"1509748"	"1571453"	"2084326"	"NA"	"1431410"	"1618815"	"NA"	"2028435"	"1866745"	"1299757"	"2121576"	"1365931"	"1823054"	"2105577"	"2719709"	"NA"	"NA"	"2075068"	"1751012"	"2282318"	"1662242"	"2002262"	"2174241"	"2504800"	"1806834"	"2030259"	"1532692"	"1678967"	"1793175"	"1948204"	"1851043"	"2337807"	"2286185"	"2736748"	"3133840"	"2522656"	"2164986"	"1740973"	"1962745"	"1844539"	"1975303"	"1932243"	"1308671"	"1301545"	"NA"	"1862283"	"1356910"	"1978056"	"1395857"	"2584212"	"1997844"	"2782409"	"1297328"	"1988055"	"2246498"	"1424017"	"2241514"	"2046096"	"1811922"	"2120199"	"2118113"	"1720402"	"1727953"	"2012784"	"2073153"	"2128697"	"1679160"	"2174094"	"2450558"	"1387749"	"3198445"	"2184473"	"1576049"	"1680986"	"2707536"	"2863591"	"2083748"	"2146924"
"CHEBI:88616"	""	""	""	"7-Tetradecene, (E)-"	""	""	""	""	"342.979"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"341732"	"372844"	"397322"	"412773"	"408408"	"444622"	"390517"	"173005"	"408384"	"352379"	"344831"	"535175"	"400465"	"339800"	"431119"	"410471"	"430216"	"428224"	"391538"	"191720"	"445287"	"458405"	"472512"	"507438"	"367936"	"425368"	"360644"	"366849"	"405992"	"466168"	"435624"	"408588"	"433400"	"427836"	"390607"	"502138"	"420073"	"375229"	"354613"	"373631"	"445612"	"433247"	"450239"	"340078"	"403160"	"393198"	"409276"	"332569"	"189050"	"441473"	"461404"	"481126"	"408145"	"403550"	"406550"	"466150"	"429909"	"444654"	"405668"	"448670"	"457315"	"413409"	"435341"	"489581"	"380161"	"492724"	"371007"	"490830"	"502974"	"412259"	"562697"	"201677"	"460630"	"440412"	"414399"	"501978"	"486558"	"402185"	"449405"	"466461"	"474848"	"436161"
"CHEBI:46342"	"C11H24"	"CCCCCCCCCCC"	"InChI=1S/C11H24/c1-3-5-7-9-11-10-8-6-4-2/h3-11H2,1-2H3"	"Undecane"	""	""	""	""	"349.129"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"1680829"	"1655932"	"1729028"	"1693655"	"1896157"	"1947610"	"1755024"	"1849182"	"1760824"	"1828659"	"1734725"	"2098844"	"2463602"	"1882210"	"1837075"	"1834581"	"2014855"	"1769954"	"1801407"	"1917012"	"1935897"	"2029426"	"1934021"	"1939865"	"1750787"	"1850796"	"1743382"	"1811781"	"1911067"	"1745206"	"1922077"	"1819572"	"1646734"	"1800263"	"1863639"	"2014692"	"1950394"	"1816540"	"1876540"	"1720113"	"1893365"	"1854430"	"2068283"	"2047013"	"1905516"	"1928100"	"1926479"	"1816935"	"1727088"	"1904299"	"2076785"	"2015726"	"1828057"	"2163069"	"1967787"	"1936820"	"2053753"	"1976912"	"1899565"	"2041865"	"2085995"	"2029690"	"1996889"	"2148083"	"1953759"	"1972354"	"1939026"	"2060000"	"2041309"	"2051056"	"2219766"	"2234906"	"2076524"	"2212210"	"1788396"	"2189338"	"2019308"	"2080817"	"2156758"	"2043191"	"1903243"	"2137012"
"CHEBI:78320"	"C3H6O3"	"CC(O)C(O)=O"	"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)"	"Propanoic acid, 2-[(trimethylsilyl)oxy]-, trimethylsilyl ester"	""	""	""	""	"351.679"	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli"	""	""	""	""	""	""	""	""	""	"653015"	"739260"	"725878"	"669263"	"729216"	"805509"	"701501"	"625695"	"884623"	"729158"	"998486"	"1001439"	"19698663"	"5513145"	"1032696"	"764121"	"944925"	"815846"	"825649"	"1398844"	"1052734"	"744779"	"1155612"	"999842"	"790655"	"1360037"	"1164404"	"782728"	"642964"	"771125"	"774990"	"770503"	"663801"	"868233"	"858326"	"1072268"	"4601168"	"6476862"	"818233"	"701344"	"932038"	"636911"	"775109"	"740467"	"726688"	"747176"	"608624"	"3034227"	"844133"	"796682"	"645385"	"839253"	"635947"	"7302979"	"826329"	"2684647"	"786978"	"807551"	"761939"	"822784"	"911557"	"681396"	"780180"	"954047"	"902165"	"768120"	"726121"	"955701"	"859205"	"833504"	"1015805"	"36864003"	"813680"	"1204652"	"1005667"	"1123075"	"561591"	"854025"	"941944"	"1239467"	"1447024"	"930499"
