"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Inducer conditions]"	"Term Source REF"	"Term Accession Number"
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"4"	"EGFP"	""	""	"IPTG"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"31"	"EGFP"	""	""	"IPTG"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"35"	"EGFP"	""	""	"IPTG"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"7"	"EGFP"	""	""	"IPTG+PPDA"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"22"	"EGFP"	""	""	"IPTG+PPDA"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"39"	"EGFP"	""	""	"IPTG+PPDA"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"38"	"EGFP"	""	""	"No inducer"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"54"	"EGFP"	""	""	"No inducer"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"58"	"EGFP"	""	""	"No inducer"	""	""
"EGFP"	"Escherichia coli"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/562"	"Escherichia coli BL21(DE3)"	"EFO"	"http://purl.obolibrary.org/obo/NCBITaxon_469008"	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"18"	"EGFP"	""	""	"PPDA"	""	""
