"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"4"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"31"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"35"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"7"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"22"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"39"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"38"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"54"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"58"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"18"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"25"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"59"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"2"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"21"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"34"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"30"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"53"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"55"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"40"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"42"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"48"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"12"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"41"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"50"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"20"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"37"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"56"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"16"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"26"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"47"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"28"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"32"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"51"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"3"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"9"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"23"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"11"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"24"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"36"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"19"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"52"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"57"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"10"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"14"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"44"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"13"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"17"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"45"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC1_1"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC1_2"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC1_3"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC10_1"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC10_2"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC10_3"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC11"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC12"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC13"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC14"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC15"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC16"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC2_1"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC2_2"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC2_3"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC3"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC4"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC5"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC6"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC7"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC8"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC9_1"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"QC9_2"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"15"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"27"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"43"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"6"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"29"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"33"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"1"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"5"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"8"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"46"
"GC-MS"	"E. Coli"	""	""	"Cell extraction"	""	""	"Sample collection"	"49"
