Metabolite name	Local ID	Units	S00008979	S00008980	S00008981	S00008982	S00008983	S00008984	S00008985	S00008986	S00008987	S00008988	S00008989	S00008990	S00008991	S00008992	S00008993	S00008994	S00008995	S00008996	S00008997	S00008998	S00008999	S00009000	S00009001	S00009002	S00009003	S00009004	S00009005	S00009006	S00009007	S00009008
1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	747214	Counts				11535		41496		55586		7715		9468	17694	26168	6229	61460	27382			9711	22655	21388	7298	20990		41424		94368		26022
1,2-DIPALMITOYL-SN-GLYCEROL	747436	Counts	50933		164046	9059	55135		55221		40817		164434	112875			433938	24350	199715		215813	568502	11433	13913	138487			64670	74637	51924	82137	119211
1-METHYLADENOSINE	747122	Counts			25196			30986			20458		18276	16927	36295		35014	45001	32881	26302		37863	45111	42246	22668							
1-OLEOYL-RAC-GLYCEROL	747482	Counts	976172	868120	1164171	254522	180775	1192787	1109947	753886	320928	1027987	366111	498893	207781	680412	444742	504178	607915	681265	446136	303221	519078	1082230	497730	839404	1091193	1099712	651800	1589674	1359124	1089823
11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	747738	Counts			128228	50166	96973		36495		92627	33325				37990	24771				29457		41037		31578		38040	69385	20101	52531	24552	
12-HYDROXY-DODECANOIC ACID	747446	Counts	49089	47965	39988			48864		65946	26983			45445	38534	36470		43498		51201				10813			25915					
17ALPHA-HYDROXYPROGESTERONE	747727	Counts		175408		133474	193561	166793					111071							49912	78243			53844		70630	37314					
2-AMINOPHENOL	747343	Counts		11406		15263				13044		6015		11094	7317					8675			17768	5221		6430	20860		6000	7685		8630
2-DEOXY-D-GLUCOSE	757987	Counts	15538	28457		9048				45626			7116			20970	9217	9633				5699	7900			23869	47197					28737
2-HYDROXY-4-(METHYLTHIO)BUTYRIC ACID	747330	Counts				27101	11555	16086		60161	18161	50173	21312		11894	17042	20452	12901		28092		33877	46702		12608		9575	13715	20954			
2-HYDROXYPHENYLACETIC ACID	747271	Counts	65475	113523	14641	75509	24783	56350	10057	106920	25019	9578	12866		10880		8952	21431			20118		30215	20208		12638	28721	6653				17421
2-METHYLGLUTARIC ACID	747353	Counts			9873	15204		7466	8281							8734			10345			5716			7478		6960		14511	7745	14577	8882
2-METHYLMALEATE	758007	Counts			10884	15237					18139			10181	14862				13975				10295	14854	12317	8895						
2`-DEOXYADENOSINE	746826	Counts	279749	72737	205352	239279	176310	106825	246478	334136	202708	160252	74744		69222	56362	103620	59203	86257	83357	70261	46548	192841	254194	96464	75289	104668	144163	100518	85147	80151	107872
2`-DEOXYADENOSINE 5`-DIPHOSPHATE	746799	Counts				8062								7224			6669		7344	16882				16957		7492			7646		9478	
2`-DEOXYCYTIDINE	747087	Counts	107956	184305	45564	58131	22172	75904	49144	87924	39864	20508	29027	77288	60113	76852	54639	105577	75491	56402	18758	29774	146907	121037	47806	26984	15935	65402	48853	18655	38329	43017
2`-DEOXYCYTIDINE 5`-DIPHOSPHATE	747227	Counts			12127	7276		26872			12544	12546		11417		22996		26899		18867		15032				18968		9846	9217	16207		10368
2`-DEOXYGUANOSINE	746787	Counts	1295812	1381404	1564990	1135028	1161128	1021692	1469278	1528582	1490465	1220073	2592023	1256315	1507077	1270605	2167093	1351394	1814270	1378628	1602057	1450440	1794153	1939170	1233651	1028824	1379145	1629265	1475575	1517113	1374163	1270440
2`-DEOXYGUANOSINE	747515	Counts				49193	36381	58277	53040		77754		36403		11357			32213	11525		54867				28778						34298	
2`-DEOXYGUANOSINE	746786	Counts	31869745	23484843	2855041	20542242		19721441	2308094	20914304	2759679	2025780	9966745	58598554	55085335	40167905	8555877	63317454	10060109	68988708	8367418	8043941	135719275	158899643	14467193	99549520	111423513	22818720	162189773	20422312	13083603	
2`-DEOXYGUANOSINE 5`-DIPHOSPHATE	746825	Counts											151925	27173	35128		95031		77425	71922	89685	131570	258766		86163			153826	52057	134472	30175	55152
2`-DEOXYGUANOSINE 5`-MONOPHOSPHATE	746771	Counts	343139	465949	14878	528282	330593	381115		320285	270857	204543	10098	14544	23524	8889		17740	13870			11816	39518	71611		40308	82214			10910		33443
3,3`-DITHIODIVALINE	746881	Counts	452073	317752	242424	281020	272574	299434		317020	246205	224983		20333											28757			218119			230311	
3,5-DIIODO-L-THYRONINE	747621	Counts	16197	6789	16744			12684				22029	9742			7640		16100	19525		12850	9663				16168						
3-HYDROXY-3-METHYLGLUTARATE	757997	Counts		15540		14117				15186					16466	8162			11921				29918	13275		13604	15688					11840
3-HYDROXYANTHRANILATE	747275	Counts	125276	333745	117970	295688	71986	102629	134538	85812	162788	100144	228316	161377	101244	361208	200190	76630	192263	94157	179162	121454	576826	130212	179931	91040	472739	124417	331297	493141	129869	271755
3-METHYLADENINE	747334	Counts	7916	24187	14304	22562	24087	22049	20339	38192	31604	42107																				
3-UREIDOPROPIONIC ACID	746869	Counts	70687	144627	61904	101396	78634	88145	55928	130577	78406	77486	55259	47018	110624	46311		43951	45457	69605	62796	66590	180799	127036	45033	132473	202591	44243	119625	66054	46181	99548
3`-CMP	747146	Counts	226192	227128	153726	341388		254944		280829	178927	206701	313242	275905	301066	373435		280646	324541	304312	398170	213251	476251	452199	348342	401004	575303	388298	540617	354921	380625	64093
4-ACETAMIDOBUTANOATE	747105	Counts	25875		82316		13572		56712		55675	11858	85428	39591			112357		108824		62546	127074			102783			92454	53495	35229	74508	73682
4-ACETAMIDOBUTANOATE	747525	Counts	13644					19332	6668				17843			10832	6492		10338		14511	11416		9713				12271		8895		24920
4-AMINOBENZOATE	747347	Counts	304793	752144	458756	35350	209331	294107	450225	62467	357206	298484	1650154	893538	100421	879659	1421751	205630	1308327	159263	1325946	337784	1131552	103504	815627	264508	915982	490678	936595	94164	768046	915653
4-AMINOBENZOYLGLUTAMIC ACID	747589	Counts	19924				10693	17984	13240		8559		16543		12190			11049					17696		9926						10048	
4-AMINOBENZOYLGLUTAMIC ACID	746975	Counts								67941					54052	91089		48478	21128	71417		11626	172946	121609		35401	122826			79135		
4-GUANIDINOBUTANOIC ACID	746891	Counts	240726	346780	278366	336281	323716	262589	266175	404748	303645	274900	251227	200149	285704	141824	175544	156321	245005	131292	142245	277329	298467	180978	121051	221875	395402	156306	289445	117419	150465	200123
4-METHYL-2-OXOPENTANOATE	758009	Counts	54460	8817		63648	27923	47893	10063	31087	18142				5226	5738		14356													7877	
5-HYDROXY-L-TRYPTOPHAN	747578	Counts			32462	56776	23260			83013	72889		36786				20418	28346	12219			28255										
5-HYDROXYINDOLE-3-ACETIC ACID	747715	Counts	13794	31191	17105	41949	10783	29724	25319	39303	17867	17581	19952	25629	23857	24427	19698	11627	19082	17041	13620	8121	83002	38541	32776	57101	60644	12749	30255	23217	22057	22499
5-HYDROXYINDOLE-3-ACETIC ACID	747398	Counts	40833	37250	24373	28806	18668	29242	20606	44846	28786	27382	35282	15980	37490	29899	33025	23903	34806	22009	40035	26544	80530	51322	39894	57641	50329	43104	49478	73562	32539	73452
5-OXO-PROLINE	747524	Counts	5655344	6299322	2696096	6107221	3364482	4117886	2191825	6610646	3242326	2802363	4054662	4211363	8856781	5915413	3133818	8210786	3838548	6676392	3984320	5817672	10105664	10690339	3450506	10621442	12936204	3675563	5834070	4046854	4144475	9005824
5`-DEOXYADENOSINE	746945	Counts		487644	66621	453162				499950	30790	45075	194576			784480	157191		199292			159928	2738359	3000601	276367	1904599	2213324	360694		380172		
