local id	Metabolite Name	Kegg Id	Units	S00010701	S00010702	S00010703	S00010704	S00010705	S00010706
747214	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	CA1375	Counts		26956				
747436	1,2-DIPALMITOYL-SN-GLYCEROL	CA1156	Counts						49690
813591	1-METHYLADENOSINE	C02494	Counts			19563			308757
746790	1-METHYLNICOTINAMIDE	C02918	Counts	653566	486116	673152	567886	197931	188844
747478	1-NAPHTHYLAMINE	C14790	Counts			85133			
747482	1-OLEOYL-RAC-GLYCEROL	CA1373	Counts	4525684	17161695	1295599	26072918	137396708	19404952
747272	10-HYDROXYDECANOATE	C02774	Counts	232844	193261		917419	340598	165381
747652	10-HYDROXYDECANOATE	C02774	Counts	154158				244753	328254
747653	10-HYDROXYDECANOATE	C02774	Counts	106646					
747654	10-HYDROXYDECANOATE	C02774	Counts	956774	329871	108375	782820	255480	116355
747471	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	C05284	Counts	1211367	902381	186440	1120653		
747737	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	C05284	Counts			3774646			
747738	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	C05284	Counts	191111					
624935	11-DEHYDROCORTICOSTERONE (*)	C05490	Counts		16594		68739		
747446	12-HYDROXY-DODECANOIC ACID	C08317	Counts	1892665	2086754	2066702	1956673	1832789	
813036	12-HYDROXY-DODECANOIC ACID	C08317	Counts	1794824	2011032	2024342	1935675	1866229	919137
747340	2,6-DIHYDROXYPYRIDINE	C03056	Counts	106455	91113		58384		
747791	2-AMINO-2-DEOXYHEXOPYRANOSE	CA1504	Counts	63157	42909			51717	16233
747793	2-AMINO-2-DEOXYHEXOPYRANOSE	CA1504	Counts		54689				
747343	2-AMINOPHENOL	C01987	Counts		129724				
757987	2-DEOXY-D-GLUCOSE	C00586	Counts	256023	97683	416531	115764	96328	64805
660113	2-DEOXY-GLUCOSE / 6-DEOXY-GALACTOSE	C00586	Counts					112579	64029
747240	2-HYDROXYBUTYRIC ACID	C05984	Counts	18913	25807				
747634	2-HYDROXYBUTYRIC ACID	C05984	Counts	182835	161594	146464	175612		
814255	2-HYDROXYBUTYRIC ACID	C05984	Counts	25539					
816214	2-HYDROXYBUTYRIC ACID	C05984	Counts	18904	25817				
816215	2-HYDROXYBUTYRIC ACID	C05984	Counts	1048244	1275710	212924	116094		
747271	2-HYDROXYPHENYLACETIC ACID	C01983	Counts	287536	482325	295964	287416		
747366	2-HYDROXYQUINOLINE	C06338	Counts	37079	34723	61532	33066		
747353	2-METHYLGLUTARIC ACID	CA1107	Counts	481100	291571	162540	157189		
758007	2-METHYLMALEATE	C02226	Counts	30581			44974		
747371	2-OXOADIPATE	C00322	Counts					66053	122563
747349	2-QUINOLINECARBOXYLIC ACID	C06325	Counts	59433		113884			
747467	25-HYDROXYCHOLESTEROL	C15519	Counts					25708	
747328	2`,4`-DIHYDROXYACETOPHENONE	C03663	Counts	331739	473770	293461	287673		
746826	2`-DEOXYADENOSINE	C00559	Counts			66330			
747554	2`-DEOXYADENOSINE	C00559	Counts	239915	61384	707889	49871	35910	
747053	2`-DEOXYADENOSINE 5`-MONOPHOSPHATE	C00360	Counts						66706
747086	2`-DEOXYCYTIDINE	C00881	Counts		58567				
747087	2`-DEOXYCYTIDINE	C00881	Counts	752634	442047	701059	403008	8430762	7735050
747627	2`-DEOXYCYTIDINE 5`-DIPHOSPHATE	C00705	Counts						10741
747628	2`-DEOXYCYTIDINE 5`-DIPHOSPHATE	C00705	Counts					110635	
746787	2`-DEOXYGUANOSINE	C00330	Counts	2783706	3612734	4861603	1424059	12183291	11564057
746825	2`-DEOXYGUANOSINE 5`-DIPHOSPHATE	C00361	Counts			63926	12819		69564
746771	2`-DEOXYGUANOSINE 5`-MONOPHOSPHATE	C00362	Counts	2441631	238683	658798	110120	13671210	7758674
747510	2`-DEOXYGUANOSINE 5`-MONOPHOSPHATE	C00362	Counts					164947	
747457	3,3`,5-TRIIODO-L-THYRONINE	C02465	Counts			23651			
747729	3,3`,5-TRIIODO-L-THYRONINE	C02465	Counts						20450
746881	3,3`-DITHIODIVALINE	CA1489	Counts			48771			
747047	3,4-DIHYDROXY-L-PHENYLALANINE	C00355	Counts	49503		104632			38477
747048	3,4-DIHYDROXY-L-PHENYLALANINE	C00355	Counts			61612	50442		
