Local ID	Metabolite Name	Kegg ID	Units	S00010701	S00010702	S00010703	S00010704	S00010705	S00010706
770964	(2-AMINOETHYL)PHOSPHONATE	C03557	Counts					31808	
771420	(S)-DIHYDROOROTATE	C00337	Counts	74200					48019
770816	(S)-LACTATE	C00186	Counts	2123818	1217030	3471426	905004	4025552	6161015
770829	1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	CA1375	Counts	14759					
770863	1-AMINOCYCLOPROPANE-1-CARBOXYLATE	C01234	Counts	29224		36698		31831	40768
771322	1-HYDROXY-2-NAPHTHOATE	C03203	Counts		15618		13979		
771298	1-METHYLADENOSINE	C02494	Counts			73684			
771324	1-OLEOYL-RAC-GLYCEROL	CA1373	Counts	376436	1578697	137766	11489084	1189410526	354195749
771170	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	C05284	Counts		56448	48296			
771312	11-BETA-HYDROXYANDROST-4-ENE-3,17-DIONE	C05284	Counts		169530				
817617	13(S)-HPODE (*)	C04717	Counts				328701		1359274
773883	15(S)-HETE (*)	C04742	Counts	1418300		1205110	2072090	1205163	5769830
779755	15(S)-HETE (*)	C04742	Counts			1208058	2128872	1348115	4748353
771348	17ALPHA-HYDROXYPROGESTERONE	C01176	Counts	247542	96241	145303			
771261	17BETA-HYDROXYANDROSTAN-3-ONE	C03917	Counts					206049	716234
771234	2,3-DIPHOSPHO-D-GLYCERIC ACID	C01159	Counts						18411
771015	2,6-DIHYDROXYPYRIDINE	C03056	Counts					23564	37759
771016	2-AMINOPHENOL	C01987	Counts					32888	37432
817787	2-CARBOXY-2,3-DIHYDRO-5,6-DIHYDROXYINDOLE (*)	C05604	Counts	1231182	1295968	70365			
771448	2-HYDROXYBUTYRIC ACID	C05984	Counts	26330				47134	
773270	2-HYDROXYGLUTARATE (*)	C02630	Counts		792327	881627		100199	263364
771159	2-HYDROXYPHENYLACETIC ACID	C01983	Counts						50312
770836	2-HYDROXYQUINOLINE	C06338	Counts					97501	108917
774239	2-HYDROXYSTEARATE (*)	C03045	Counts	935962	242352	332436	242558	2257399	
817876	2-OXO-3-HYDROXY-4-PHOSPHOBUTANOATE (*)	C06054	Counts	2208435	1699808	3142543	1888783	1688451	1603670
770840	2-OXOADIPATE	C00322	Counts	46389		199470	64879		
770951	2`,4`-DIHYDROXYACETOPHENONE	C03663	Counts	78136	107412	174095	96498	21486	84756
770903	2`-DEOXYADENOSINE 5`-DIPHOSPHATE	C00206	Counts		26207				
771434	2`-DEOXYADENOSINE 5`-TRIPHOSPHATE	C00131	Counts						72537
771438	2`-DEOXYCYTIDINE 5`-DIPHOSPHATE	C00705	Counts			124974			47362
771215	2`-DEOXYCYTIDINE 5`-MONOPHOSPHATE	C00239	Counts			71458		17868	
771047	2`-DEOXYURIDINE 5`-MONOPHOSPHATE 	C00365	Counts	17666	12220				
771193	2`-DEOXYURIDINE 5`-TRIPHOSPHATE	C00460	Counts					39806	31970
771130	3,4-DIHYDROXYBENZOATE	C00230	Counts		58791	26140			
771397	3,4-DIHYDROXYPHENYL GLYCOL	C05576	Counts	184225	36038			170587	68012
771014	3,4-DIHYDROXYPHENYLACETATE	C01161	Counts					245158	290034
771187	3-(2-HYDROXYPHENYL)PROPANOATE	C01198	Counts			148055			
771251	3-(4-HYDROXYPHENYL)LACTATE	C03672	Counts	1023154	324364	3213919	384650		
777097	3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE	M05356	Counts	63334		207595	28314		
777326	3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE	M05356	Counts	210054	300143	397693	282214	27672	
802934	3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE	M05356	Counts	63334		207595	28314		
802936	3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPANOATE	M05356	Counts	210054	300143	397693	282214	27672	
771301	3-DEHYDROSHIKIMATE	C02637	Counts	27576	18278		22563		
771291	3-HYDROXY-3-METHYLGLUTARATE	C03761	Counts	619804	884793	1163045	430892		461192
771227	3-HYDROXYBENZALDEHYDE	C03067	Counts	36591			36831	13441	187137
771360	3-METHOXY-L-TYROSINE	CA1364	Counts			38260			
770954	3-METHYL-2-OXINDOLE	CA1325	Counts		19127		14359		
818454	3-METHYL-2-OXOBUTANOIC ACID (*)	C00141	Counts						10440
759911	3-METHYL-2-OXOVALERIC ACID	C03465	Counts	42689	34151	141632	209144	130788	151632
771203	3-METHYL-2-OXOVALERIC ACID	C03465	Counts					26431	116431
770955	3-METHYLADENINE	C00913	Counts				13754		
771505	3-NITRO-L-TYROSINE	CA1195	Counts			56976		382747	412233
770854	3-NITROPROPANOATE	C05669	Counts	43467					
771272	3-SULFINO-L-ALANINE	C00606	Counts	56118	38071	133273	77247		84679
817438	3ALPHA,7ALPHA,12ALPHA,26-TETRAHYDROXY-5BETA-CHOLESTANE (*)	C05446	Counts			21640			
771335	3ALPHA-HYDROXY-5BETA-CHOLANATE	C03990	Counts				17377		
774751	4-(2-AMINO-3-HYDROXYPHENYL)-2,4-DIOXOBUTANOATE (*)	C05645	Counts	152655	25878				
768888	4-(2-AMINOPHENYL)-2,4-DIOXOBUTANOATE (*)	C01252	Counts	178659	133916	335192	135303	209742	180224
771288	4-ACETAMIDOBUTANOATE	C02946	Counts	50454			32192	371592	
