Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_sample_1-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_2-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_3-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_4-2_100uM Met  hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _2 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _4 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _8 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _12 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _24 hours_pos_1132014.mzXML peak height	CSH_sample_1-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_2-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_3-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_sample_4-2_370uM Hcy _48 hours_pos_1132014.mzXML peak height	CSH_BioRec_Plasma1a_pos_1132014.mzXML peak height	CSH_BioRec_Plasma2_pos_1132014.mzXML peak height	CSH_BioRec_Plasma3_pos_1132014.mzXML peak height
770.6		1-hexadecyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycero-3-phosphocholine	5.81				1168162	1003854	1302002	1114136	1084228	1053893	1007773	1025488	976802	1054067	1064860	1011052	1068166	1023475	1064943	1084817	1098534	1181901	1014691	1069929	1047771	1065844	1117622	975816	915242	924731	998972	28878	25042	27774
746.6		1-hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine	5.84				5859687	5325656	6204110	5478146	5409110	5224390	5183992	5179267	4966851	5332570	5491432	5134282	5465242	5380699	5615395	5545872	5563000	6063910	5275697	5250315	5214431	5222470	5462333	4611599	4373055	4386578	4585807	70034	63173	68474
728.56		1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	6.04				620372	490439	725608	550629	492773	484903	460458	456896	414226	471725	514693	461664	518559	508355	534595	541064	532808	652269	463549	634470	617757	640428	673722	735693	671342	676414	755119	9094	8460	9152
304.3		Benzyl dodecyl dimethylammonium cation	0.99				157342	116827	201811	143490	148654	127382	105873	105390	97890	105899	117189	99741	120041	116800	135899	92406	93812	121488	89773	73626	74952	76920	81692	141789	133763	140206	142581	5425	3913	3184
332.33		Benzyl tetradecyl dimethylammonium cation	1.45				83974	64933	115686	78386	110785	74557	58074	56018	56578	56167	59198	60293	59658	59435	68939	47649	49482	55934	44046	33432	35601	32049	34802	89010	86067	79081	80295	6431	4684	3551
645.55		CE (16:1) 	10.3				23449	24495	22118	25324	16586	13111	15008	15793	14268	16828	17679	15390	21212	22469	19416	25695	24085	23219	23684	25055	25705	24875	24351	17014	17255	14177	17312	21448	20680	23929
673.59		CE (18:1) 	10.85				40207	42886	39848	41577	25046	24947	24180	24705	26152	24176	26917	25740	36283	35716	35539	49316	45291	52629	45752	51446	61334	54933	56788	26388	25442	27706	29427	43159	42002	45170
636.63		Ceramide (d18:1/23:0)  	7.91				10217	8076	12426	8655	6112	5566	5467	6442	7234	8753	9387	9108	13663	11748	14552	13894	13790	18119	12813	11769	12355	12396	13535	12874	10963	12137	12300	2533	2438	2752
622.61		Ceramide (d40:1)	7.59				65752	47972	82357	52804	36031	33761	32779	33485	46788	54359	59978	52904	95150	91210	115110	102296	114741	152406	105213	109915	118462	113927	137430	130780	112795	119455	121193	4904	4738	5239
650.64		Ceramide (d42:1) 	8.23				303865	236167	356420	252505	158761	143579	147880	154278	161834	195201	205886	179125	260563	251699	306208	268392	294977	366346	266322	308835	308587	303190	348400	445406	398413	418655	416050	37568	34520	36334
