Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_QC01_pos_0314.d	CSH_QC 02_pos_0314.d	CSH_QC 03_pos_0314.d	CSH_QC 04_pos_0314.d	CSH_QC 05_pos_0314.d	CSH_QC 06_pos_0314.d	CSH_SAT_1_pos_0314.d	CSH_SAT_2_pos_0314.d	CSH_SAT_3_pos_0314.d	CSH_SAT_4_pos_0314.d	CSH_SAT_5_pos_0314.d	CSH_SAT_6_pos_0314.d	CSH_SAT_7_pos_0314.d	CSH_SAT_8_pos_0314.d	CSH_SAT_9_pos_0314.d	CSH_SAT_10_pos_0314.d	CSH_SAT_11_pos_0314.d	CSH_SAT_12_pos_0314.d	CSH_SAT_13_pos_0314.d	CSH_SAT_14_pos_0314.d	CSH_SAT_15_pos_0314.d	CSH_SAT_16_pos_0314.d	CSH_SAT_17_pos_0314.d	CSH_SAT_18_pos_0314.d	CSH_SAT_19_pos_0314.d	CSH_SAT_20_pos_0314.d	CSH_SAT_21_pos_0314.d	CSH_SAT_22_pos_0314.d	CSH_SAT_23_pos_0314.d	CSH_SAT_24_pos_0314.d	CSH_SAT_25_pos_0314.d	CSH_SAT_26_pos_0314.d	CSH_SAT_27_pos_0314.d	CSH_SAT_28_pos_0314.d	CSH_SAT_29_pos_0314.d	CSH_SAT_30_pos_0314.d	CSH_SAT_31_pos_0314.d	CSH_SAT_32_pos_0314.d	CSH_SAT_33_pos_0314.d	CSH_SAT_34_pos_0314.d	CSH_SAT_35_pos_0314.d	CSH_SAT_36_pos_0314.d	CSH_SAT_37_pos_0314.d	CSH_SAT_38_pos_0314.d	CSH_SAT_39_pos_0314.d	CSH_SAT_40_pos_0314.d	CSH_SAT_41_pos_0314.d	CSH_SAT_42_pos_0314.d	CSH_SAT_43_pos_0314.d	CSH_SAT_44_pos_0314.d	CSH_SAT_45_pos_0314.d	CSH_SAT_46_pos_0314.d	CSH_SAT_47_pos_0314.d	CSH_SAT_48_pos_0314.d	CSH_SAT_49_pos_0314.d	CSH_SAT_50_pos_0314.d	CSH_SAT_51_pos_0314.d	CSH_SAT_52_pos_0314.d	CSH_SAT_53_pos_0314.d	CSH_SAT_54_pos_0314.d	CSH_SAT_55_pos_0314.d	CSH_SAT_56_pos_0314.d	CSH_SAT_57_pos_0314.d	CSH_SAT_58_pos_0314.d	CSH_SAT_59_pos_0314.d	CSH_VAT_1_pos_0314.d	CSH_VAT_2_pos_0314.d	CSH_VAT_3_pos_0314.d	CSH_VAT_4_pos_0314.d	CSH_VAT_5_pos_0314.d	CSH_VAT_6_pos_0314.d	CSH_VAT_7_pos_0314.d	CSH_VAT_8_pos_0314.d	CSH_VAT_9_pos_0314.d	CSH_VAT_10_pos_0314.d	CSH_VAT_11_pos_0314.d	CSH_VAT_12_pos_0314.d	CSH_VAT_13_pos_0314.d	CSH_VAT_14_pos_0314.d	CSH_VAT_15_pos_0314.d	CSH_VAT_16_pos_0314.d	CSH_VAT_17_pos_0314.d	CSH_VAT_18_pos_0314.d	CSH_VAT_19_pos_0314.d	CSH_VAT_20_pos_0314.d	CSH_VAT_21_pos_0314.d	CSH_VAT_22_pos_0314.d	CSH_VAT_23_pos_0314.d	CSH_VAT_24_pos_0314.d	CSH_VAT_25_pos_0314.d	CSH_VAT_26_pos_0314.d	CSH_VAT_27_pos_0314.d	CSH_VAT_28_pos_0314.d	CSH_VAT_29_pos_0314.d	CSH_VAT_30_pos_0314.d	CSH_VAT_31_pos_0314.d	CSH_VAT_32_pos_0314.d	CSH_VAT_33_pos_0314.d	CSH_VAT_34_pos_0314.d	CSH_VAT_35_pos_0314.d	CSH_VAT_36_pos_0314.d	CSH_VAT_37_pos_0314.d	CSH_VAT_38_pos_0314.d	CSH_VAT_39_pos_0314.d	CSH_VAT_40_pos_0314.d	CSH_VAT_41_pos_0314.d	CSH_VAT_42_pos_0314.d	CSH_VAT_43_pos_0314.d	CSH_VAT_44_pos_0314.d	CSH_VAT_45_pos_0314.d	CSH_VAT_46_pos_0314.d	CSH_VAT_47_pos_0314.d	CSH_VAT_48_pos_0314.d	CSH_VAT_49_pos_0314.d	CSH_VAT_50_pos_0314.d	CSH_VAT_51_pos_0314.d	CSH_VAT_52_pos_0314.d	CSH_VAT_53_pos_0314.d	CSH_VAT_54_pos_0314.d	CSH_VAT_55_pos_0314.d	CSH_VAT_56_pos_0314.d	CSH_VAT_57_pos_0314.d	CSH_VAT_58_pos_0314.d	CSH_VAT_59_pos_0314.d
770.602		1-hexadecyl-2-(8Z,11Z,14Z-eicosatrienoyl)-sn-glycero-3-phosphocholine	6.008				18260	15263	20182	19511	18619	18407	9327	14874	11663	33794	16459	19683	32433	41963	18589	21216	41484	45928	17889	12707	34516	25848	31191	9431	13166	25200	52584	28650	37668	21090	24381	11429	23695	38277	27765	23283	27325	29531	31933	33022	23084	25332	30173	14092	15123	23654	18529	25106	16875	52746	13922	51547	36144	19418	22274	20027	6132	31173	48485	19389	30611	14185	16545	16309	26861	19556	15122	24840	26405	17675	16080	22513	22252	13066	14511	22985	21866	17729	21387	52995	23930	16802	13834	20598	23484	37549	18061	31440	58202	47546	17875	29850	27350	21055	12314	22244	25332	20008	35867	20632	27871	17992	9732	30794	40156	21838	30285	15163	28524	17869	17957	24052	24896	10610	27020	14558	30671	21435	21847	24008	9735	15959	16358	17684
482.319		1-Octadecanoyl-sn-glycero-3-phosphoethanolamine	2.315				626	737	704	667	854	687	681	651	742	806	460	816	766	829	520	0	1466	899	738	863	1289	892	772	681	798	834	1822	925	967	465	862	605	761	765	867	1147	898	1209	793	701	646	954	1212	713	802	658	803	801	817	764	707	1046	720	2923	810	919	640	622	796	627	965	915	797	812	862	3608	1926	1543	2762	921	1357	4466	9311	4113	19056	2105	1430	19658	1378	11045	1365	736	1135	7131	36397	1482	1514	2788	9930	1152	2278	1211	11315	2606	5417	27134	2799	1012	1667	1903	6313	1474	5020	3555	3233	1635	9568	2766	1170	1159	3148	2429	2876	42486	2136	1296	1154	1221	897	14398	2333	13476	815	2999
728.565		1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine	6.258				12802	10426	13953	11973	12795	12299	7356	9706	7419	12334	16945	10218	55043	18254	10646	20637	87909	22764	8135	9141	37859	10747	16360	4868	6599	24666	24326	25212	20527	10640	15888	7238	21528	20061	27432	17239	10955	29379	22994	12781	26491	9377	12310	6172	9908	16382	41334	38433	12132	24563	6136	26283	22960	46342	19461	8348	5069	18060	34668	14896	40829	8147	8892	7210	13763	11815	17792	24207	24055	23129	14595	11482	10901	10457	17574	63492	21731	9032	23312	81328	23759	14924	11784	11434	18682	56242	18440	36292	62472	76567	21954	70089	23353	31599	23349	11775	37253	32397	24786	37881	21234	16993	9573	27667	40883	45822	58602	32270	33112	7556	17443	33470	65250	14449	13265	12785	35959	24727	22963	46420	9491	19727	13120	21851
400.348		Acylcarnitine C16:0 	1.57				2033	2061	2203	2113	2272	2220	1338	1460	1752	1319	1206	2981	2325	1842	3942	1666	4426	4007	1880	1443	2399	2417	1477	901	2979	2404	3517	2591	2158	1655	4317	1808	1511	2683	2562	1350	2335	2942	1897	1646	1549	4053	1456	1539	2470	4483	3094	1729	2694	2875	1581	5375	2745	3699	3136	954	1513	1414	2819	984	2252	1450	2179	1740	2703	3194	5463	2027	3897	2108	1583	6881	2143	5626	2989	2084	1825	2678	4613	5096	2494	1254	4655	3332	5267	6587	2103	4443	3320	4211	1591	4659	2558	3044	3003	9697	2508	2311	5304	2557	6989	3151	2858	6074	4737	3852	2641	2929	3113	1836	8801	2279	2900	8231	1897	3575	2679	5169	3302	4631	2476	3635	901	1879
426.356		Acylcarnitine C18:1 	1.721				4007	3794	4005	3787	3538	3791	1572	1567	3074	1628	1278	3764	3547	1462	4956	1965	8183	5409	3070	1944	3204	2099	3322	1060	4429	3027	3252	2524	3388	3140	6289	1685	1442	3710	2743	1139	3307	4288	2540	2929	2006	4228	1888	1943	2175	6717	6269	3122	3431	4604	2497	5960	3941	3845	3703	981	1905	1864	4043	1552	4830	1791	5089	1540	4345	3101	5384	3216	3990	2558	1619	6972	2692	7235	3867	2106	2592	2936	5694	5295	2527	2525	6809	4115	5416	3162	2370	4992	7062	5515	2134	5990	2702	2846	4118	13271	2908	2191	4845	4472	7571	3695	3221	4935	6487	7204	4502	4094	5309	3265	7427	2781	2836	11230	3007	4087	2898	6798	4616	5315	3085	6037	836	2180
622.613		Ceramide (d40:1) 	7.747				22889	24539	26806	22974	23908	22886	8816	17376	8752	18381	14402	11183	25893	30472	17674	13806	16521	19205	11126	15824	9977	15770	18139	12691	9810	14999	15390	25738	17301	17887	12651	11034	18236	15657	19004	15362	20422	20595	16156	20282	15112	17433	13460	9781	18431	13590	14667	14722	10745	23355	11431	17428	18656	20030	14447	12969	7994	18189	22700	12243	16378	7475	10818	15127	19560	22999	29658	25434	30680	32702	24465	33294	33974	28565	21018	19555	21120	33936	21887	24023	27367	20133	25699	21214	23855	41328	22200	17580	66031	28088	33201	35882	28340	30238	30774	26873	36291	27116	40815	25068	39815	19761	26313	23363	41982	17737	29902	27045	29823	15391	15050	28385	22362	20879	20891	14283	33385	21022	31666	26281	21442	21196	27599	20999
648.628		Ceramide (d42:2) 	7.788				31461	32597	32705	29998	32082	29446	15516	25541	18270	28488	16323	15662	26271	29278	22322	21296	18092	27300	15077	15650	9999	23175	24846	17194	16445	22607	19328	21640	29767	28105	22135	16478	15141	24004	21558	17226	22787	21888	24797	34634	16455	25504	20129	12325	26530	16033	17867	13581	12824	34036	17849	19939	25253	38003	20714	17137	16150	17030	29621	17329	17276	14924	17863	20220	26342	35979	50036	46957	44895	41299	26222	50153	30673	39128	37302	21684	29086	48639	28293	29863	36033	25349	31992	33110	45864	54318	19928	40725	86136	48316	43353	26964	30279	30732	38722	24519	41636	31360	63164	28566	51435	30792	27373	43136	45536	36328	29325	28497	48106	25886	28470	36664	29283	39568	24030	39671	27911	30428	40706	48050	31749	42708	35768	30238
369.351		Cholesterol 	4.89				80848	81800	78315	79979	83567	77988	63706	77825	77921	92762	61683	73457	71800	73366	56869	88228	69223	70416	77996	81055	81570	83546	68910	65939	71259	87198	60503	85174	86390	64756	74180	64927	86174	85243	73416	75915	92342	74257	77828	84728	69664	65646	91579	73564	80021	69373	80239	59226	67435	68586	59453	77229	69036	74242	67005	73854	62859	65640	65102	70958	69976	72013	89395	71398	74826	72879	90903	77983	90598	95832	70177	66823	73239	88460	67880	70112	76166	73732	82377	72940	76634	66703	66268	84108	75546	78878	76493	72499	72826	82361	66990	72361	71859	80559	61123	65929	73321	88174	86167	85853	81407	84714	81390	67028	79315	71528	75388	82652	70938	70126	73047	77076	81677	74229	85614	66348	83774	71839	78941	80385	93622	76847	67107	81777
104.109		Choline	0.443				18302	24691	40928	28335	28823	16818	26430	21247	15619	11337	45863	51797	20921	166136	12351	17914	74935	195161	27028	10571	31629	26786	14639	12428	25916	101318	40571	66326	20207	10159	71640	27375	22501	27583	95838	8810	23219	22068	29392	65475	22036	29037	27121	20535	25833	36804	37326	35324	21841	40662	25102	78108	37534	21887	41034	22243	19847	10181	36274	10653	39567	18102	57927	14390	31067	56444	66442	29527	40142	86515	51044	27115	79421	45239	88685	43487	53900	98911	42888	76269	83699	40794	28711	88628	89549	119369	22232	67728	121698	75731	31586	61326	102929	23560	89142	156456	68419	43124	72911	27645	35203	49081	23196	131033	120059	26894	39568	56057	39974	74823	158955	56993	67644	58250	40992	37205	74819	65380	36248	93772	63265	132827	19304	48720
549.485		CSH_posESI #017	10.365				1860394	2574256	2074869	2019672	1756295	1373474	1058252	1281339	1317237	1617295	1822781	2375622	1461073	2126367	1323132	1702339	1012364	1375995	2147619	1535807	638254	1573407	2104990	932611	1975476	1275446	1535501	1431020	2195276	2168044	1543863	595319	1122283	1209223	2269191	1414355	2072938	1006766	976833	1161741	1593523	1669515	1060182	454161	1409310	968305	918171	637166	1875759	1340542	1154527	1582767	1571268	860118	1139743	1214233	1572496	1353117	1273520	579454	1271080	624410	1019129	969274	1669455	1663237	1921886	2459706	1801045	3031986	1677905	1726000	1650874	1233053	1576132	955591	1204885	2742596	1770648	1112200	1868644	1053573	1262413	2408403	1235458	2679759	1302297	1100376	2641149	1788062	1409214	1738544	1617924	2105881	2068968	2198988	1435331	1000005	2022021	1672103	1879974	1011819	1162273	1066636	2626014	777453	1023785	1834625	1736935	1073771	1089868	2043082	1074820	788011	1450768	1472755	1949338	881862	1005035	1105640	1106953	1028631	1217856	1397687
