Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	CSH_QC01_neg_0314.d	CSH_QC 02_neg_0314.d	CSH_QC 03_neg_0314.d	CSH_QC 04_neg_0314.d	CSH_QC 05_neg_0314.d	CSH_QC 06_neg_0314.d	CSH_SAT_1_neg_0314.d	CSH_SAT_2_neg_0314.d	CSH_SAT_3_neg_0314.d	CSH_SAT_4_neg_0314.d	CSH_SAT_5_neg_0314.d	CSH_SAT_6_neg_0314.d	CSH_SAT_7_neg_0314.d	CSH_SAT_8_neg_0314.d	CSH_SAT_9_neg_0314.d	CSH_SAT_10_neg_0314.d	CSH_SAT_11_neg_0314.d	CSH_SAT_12_neg_0314.d	CSH_SAT_13_neg_0314.d	CSH_SAT_14_neg_0314.d	CSH_SAT_15_neg_0314.d	CSH_SAT_16_neg_0314.d	CSH_SAT_17_neg_0314.d	CSH_SAT_18_neg_0314.d	CSH_SAT_19_neg_0314.d	CSH_SAT_20_neg_0314.d	CSH_SAT_21_neg_0314.d	CSH_SAT_22_neg_0314.d	CSH_SAT_23_neg_0314.d	CSH_SAT_24_neg_0314.d	CSH_SAT_25_neg_0314.d	CSH_SAT_26_neg_0314.d	CSH_SAT_27_neg_0314.d	CSH_SAT_28_neg_0314.d	CSH_SAT_29_neg_0314.d	CSH_SAT_30_neg_0314.d	CSH_SAT_31_neg_0314.d	CSH_SAT_32_neg_0314.d	CSH_SAT_33_neg_0314.d	CSH_SAT_34_neg_0314.d	CSH_SAT_35_neg_0314.d	CSH_SAT_36_neg_0314.d	CSH_SAT_37_neg_0314.d	CSH_SAT_38_neg_0314.d	CSH_SAT_39_neg_0314.d	CSH_SAT_40_neg_0314.d	CSH_SAT_41_neg_0314.d	CSH_SAT_42_neg_0314.d	CSH_SAT_43_neg_0314.d	CSH_SAT_44_neg_0314.d	CSH_SAT_45_neg_0314.d	CSH_SAT_46_neg_0314.d	CSH_SAT_47_neg_0314.d	CSH_SAT_48_neg_0314.d	CSH_SAT_49_neg_0314.d	CSH_SAT_50_neg_0314.d	CSH_SAT_51_neg_0314.d	CSH_SAT_52_neg_0314.d	CSH_SAT_53_neg_0314.d	CSH_SAT_54_neg_0314.d	CSH_SAT_55_neg_0314.d	CSH_SAT_56_neg_0314.d	CSH_SAT_57_neg_0314.d	CSH_SAT_58_neg_0314.d	CSH_SAT_59_neg_0314.d	CSH_VAT_1_neg_0314.d	CSH_VAT_2_neg_0314.d	CSH_VAT_3_neg_0314.d	CSH_VAT_4_neg_0314.d	CSH_VAT_5_neg_0314.d	CSH_VAT_6_neg_0314.d	CSH_VAT_7_neg_0314.d	CSH_VAT_8_neg_0314.d	CSH_VAT_9_neg_0314.d	CSH_VAT_10_neg_0314.d	CSH_VAT_11_neg_0314.d	CSH_VAT_12_neg_0314.d	CSH_VAT_13_neg_0314.d	CSH_VAT_14_neg_0314.d	CSH_VAT_15_neg_0314.d	CSH_VAT_16_neg_0314.d	CSH_VAT_17_neg_0314.d	CSH_VAT_18_neg_0314.d	CSH_VAT_19_neg_0314.d	CSH_VAT_20_neg_0314.d	CSH_VAT_21_neg_0314.d	CSH_VAT_22_neg_0314.d	CSH_VAT_23_neg_0314.d	CSH_VAT_24_neg_0314.d	CSH_VAT_25_neg_0314.d	CSH_VAT_26_neg_0314.d	CSH_VAT_27_neg_0314.d	CSH_VAT_28_neg_0314.d	CSH_VAT_29_neg_0314.d	CSH_VAT_30_neg_0314.d	CSH_VAT_31_neg_0314.d	CSH_VAT_32_neg_0314.d	CSH_VAT_33_neg_0314.d	CSH_VAT_34_neg_0314.d	CSH_VAT_35_neg_0314.d	CSH_VAT_36_neg_0314.d	CSH_VAT_37_neg_0314.d	CSH_VAT_38_neg_0314.d	CSH_VAT_39_neg_0314.d	CSH_VAT_40_neg_0314.d	CSH_VAT_41_neg_0314.d	CSH_VAT_42_neg_0314.d	CSH_VAT_43_neg_0314.d	CSH_VAT_44_neg_0314.d	CSH_VAT_45_neg_0314.d	CSH_VAT_46_neg_0314.d	CSH_VAT_47_neg_0314.d	CSH_VAT_48_neg_0314.d	CSH_VAT_49_neg_0314.d	CSH_VAT_50_neg_0314.d	CSH_VAT_51_neg_0314.d	CSH_VAT_52_neg_0314.d	CSH_VAT_53_neg_0314.d	CSH_VAT_54_neg_0314.d	CSH_VAT_55_neg_0314.d	CSH_VAT_56_neg_0314.d	CSH_VAT_57_neg_0314.d	CSH_VAT_58_neg_0314.d	CSH_VAT_59_neg_0314.d
572.481		Cer (d34:1)	5.663				27326	31365	30732	27316	29635	45484	22133	24879	17510	34833	14472	24395	41131	58319	29333	24233	36554	26866	20594	29421	16523	28265	20982	16394	22548	36792	23273	29340	45516	24104	24163	15556	22195	17824	27486	23724	35483	21060	24823	35588	21991	33986	26897	14002	27595	19347	21550	20280	20419	23076	29923	29195	29678	65602	29519	563	18799	14542	23025	13606	21371	43832	57894	34205	15656	40114	44451	39161	53677	35527	39380	37685	47825	41477	48447	45804	21406	51078	43383	50595	41240	16456	29948	45720	65178	51467	23038	43736	88390	44794	43993	41511	33401	35388	53487	54304	34707	36978	61275	39430	41986	45293	29691	58341	46893	44710	37697	32888	39235	25352	47010	36020	34450	49610	25370	29733	36988	40582	25850	36488	47210	42788	28363	44589
628.544		Cer (d38:1)	7.079				5722	6065	6127	5804	6425	10047	2850	5169	2056	4827	3968	2634	5883	6004	4533	2866	2224	4890	2588	4379	1476	2957	3229	2688	2478	4330	3473	4518	4028	3673	2506	2717	4235	3627	3776	3686	4479	3578	3829	3844	2860	4670	3951	1534	3709	3018	2501	2795	1935	4572	2738	3652	4864	5646	3709	297	3910	1768	3094	3462	2214	5813	6755	5031	2202	8948	10160	6869	10910	9120	5894	10849	8802	8942	6113	3763	5633	8210	6883	4479	6368	4965	7533	4587	8403	12138	4202	3657	17172	6191	8630	8082	6433	8089	7801	8355	7300	7085	11383	6695	11939	7498	4966	8461	10026	4652	6113	4675	6464	3707	3990	7881	5540	7240	5396	7176	6165	9991	6663	5611	14041	7614	5935	4689
652.585		Cer (d39:1) 	7.429				1760	1757	1991	1838	1623	3173	949	2008	943	1527	1818	1031	2089	1864	1594	1438	1375	1963	1233	1905	957	1707	1714	1000	945	1731	1622	1800	1782	916	1617	956	1658	1760	1837	1664	1582	1162	1392	1478	1110	2731	1389	896	1884	1477	978	1063	1018	1835	936	1854	1854	1614	1653	263	1601	721	956	1912	1079	2137	1979	1958	1216	3048	3550	2375	3772	3104	2168	3316	2088	2457	2390	1284	2065	4190	2058	1167	2903	2426	1985	1866	2272	4732	1609	1456	3697	2549	2497	2796	2253	3523	3386	1383	2505	2311	4128	2050	6575	2888	2063	3149	4465	1235	2277	2393	2876	1306	1480	2565	2105	2100	1497	2279	2336	2906	2926	1782	4216	2283	1695	2208
666.599		Cer (d40:1) 	7.757				46602	48151	50064	44303	48621	45557	18781	33720	15678	52301	27151	48781	54580	59316	64373	25739	37280	38545	64591	49570	36812	43739	28213	20034	69500	31127	34295	37979	42546	25752	49005	20657	35558	29605	37729	43825	50060	31422	27004	37470	24961	40235	37424	21493	42799	29728	17183	24322	30800	35510	36385	44204	33393	30586	24218	961	25597	13696	33808	26028	41191	53661	58610	75229	16125	45017	60377	42679	66182	56536	83520	65801	61239	75625	36064	35965	40833	134887	72376	56379	61467	30094	39766	117809	56025	80144	34471	43742	97675	91958	72704	67651	47299	59912	63894	41930	49371	43092	72364	39174	65205	51689	43068	61758	77156	24075	44900	45752	66659	32617	30780	42781	37308	34842	41568	39710	39746	49240	40508	71681	68233	59231	52436	31000
664.586		Cer (d40:2) 	7.172				14968	15109	16419	15039	16718	13747	5433	9808	5159	8722	6538	5246	6925	11583	6691	5863	4904	10598	6363	6055	3661	6666	9580	7963	5718	9169	6198	9658	9122	8313	8668	6435	5313	7195	6650	7268	6113	6415	9913	14112	4008	10277	7277	2718	9188	4884	2805	5643	2862	10440	4991	4719	8434	5357	5697	148	8298	4364	6119	6432	4458	7972	12265	9254	4589	12199	10218	16501	22912	17898	9353	23991	11418	10569	8718	5472	12028	21640	8088	5685	14146	10258	14518	10925	11647	19148	8183	4069	35784	12753	20787	11804	9757	12381	12798	4735	16348	15039	27496	8095	19552	14159	9648	11627	17053	3615	11316	6831	16538	5767	3918	13009	7681	5136	13909	7597	15622	17328	13250	8909	27837	12019	6581	8040
680.618		Cer (d41:1)	8.072				11672	12192	12241	11346	12778	23634	7766	13315	6506	11342	11100	7040	21283	17338	11273	11935	15427	14971	8056	12526	7187	11406	12504	6713	5169	12190	10629	13308	13293	7975	8920	5012	11439	7504	16273	13716	12354	11660	10489	10572	7502	13534	10594	6585	11695	12135	9154	10349	9011	14865	7166	14365	16033	16137	11664	635	9735	4996	7377	9882	6669	23076	16676	13650	7826	21536	24253	21270	19503	24954	15584	20966	20817	17354	18839	16247	16665	26600	17445	14504	19521	16466	13911	11061	19799	33736	12854	13929	36050	22101	19726	20661	15796	25578	21834	15579	20739	16317	22195	14281	34033	15586	19580	20075	35790	14342	22255	25095	26038	8551	11599	23823	21200	17292	11278	16619	19195	16030	18788	13375	23207	18984	12926	16789
683.594		CSH_negESI #108	7.75				10886	12019	12114	11195	12135	19349	3964	6067	2780	9797	7084	9733	12790	8437	14191	6531	9609	7971	10055	14650	7478	10053	6971	3325	8591	6697	9714	9084	8332	3544	10489	3980	8399	5729	8508	7361	9319	6374	7902	7170	5499	9991	8403	4528	10555	7700	3573	5562	6831	7954	6313	12492	8422	4959	3996	314	4538	2633	6306	7634	8621	13494	8381	16213	4255	9482	12064	6830	12356	16051	22950	10766	9692	17846	7608	8697	9664	27599	19817	10023	16467	7216	7356	20110	10776	23727	9053	9403	12135	19399	15281	16295	10832	13890	13794	5548	9526	15377	14064	9823	18377	11546	9797	12290	24210	4373	10119	12019	15319	6542	7039	11211	7125	5205	5577	7936	6648	9111	13599	20379	12481	8424	12010	7568
697.61		CSH_negESI #109	8.071				3577	3426	3936	3444	3759	6080	12699	22004	14934	20187	19529	16058	42656	40622	23166	21047	32611	30508	15764	21377	21600	23028	18776	14419	13883	21323	17051	27205	24297	23497	17407	9867	22907	18773	25377	26465	26477	29155	16972	23003	16435	19057	19479	14531	20593	19127	21401	22493	16244	27040	15337	24421	23779	47265	25699	1187	18075	12612	13185	17205	13458	43032	41513	28245	12742	36550	46812	43698	30839	37927	31680	42130	45725	38232	36912	36063	29283	42158	31986	40915	29473	22490	32495	22991	42485	47898	27042	28290	85764	37450	35035	37077	34095	35897	44738	38682	41955	25372	43481	28460	46447	24135	34912	38823	47135	32962	43980	35246	39543	17430	26807	34361	42985	38097	22998	30736	38903	24001	26303	29016	43452	44003	27891	32728
281.249		FA (18:1) 	3.24				22921	23048	27137	22620	26744	10316	5785	5662	7326	12075	5212	3582	2605	9943	11019	7249	3854	11866	7825	8537	5662	5495	1938	6061	15035	13496	8672	8573	10152	8051	13444	6470	16479	10840	14347	6524	26965	1770	6232	18580	22746	19271	16344	8276	9390	8744	3505	15119	10114	14553	21292	10336	19955	5172	4056	271	4317	7168	9646	6332	4311	3768	12713	16477	4862	8041	7441	2995	12651	8948	7032	8532	8242	13314	4948	4239	2963	8864	8391	4770	8438	2493	8726	8910	8288	12963	4997	3115	7880	17462	9526	21380	27888	3517	3781	16570	2298	20362	5168	12249	20010	9382	4045	5892	18046	3086	3526	3185	4953	3872	4902	3577	4326	21043	24498	5777	3404	13049	8052	9110	12722	7487	11389	6339
778.56		PC (32:0) 	5.529				2634	3073	3200	2912	2935	6239	3332	2474	3539	2916	1637	6364	4906	5638	4860	2474	7510	4171	2712	3651	4961	3673	2117	2063	3977	3899	3210	2603	5554	1197	3919	2472	3053	3653	3151	3133	4503	5887	2919	3590	2258	7385	5818	2891	4123	3105	2966	1968	3177	3689	4026	4369	4668	7156	5715	286	1771	2535	1854	2178	5797	5124	6238	6851	1818	5692	7914	4753	6899	3734	4702	5405	4840	7051	6311	5641	2649	6574	7226	8690	4531	2677	5431	7077	16883	6701	3029	5636	5954	9159	4593	5658	4175	4774	6865	9382	4434	4057	7614	5291	9460	6750	3770	17966	4869	10798	4558	3735	5215	3542	15094	4838	6669	16010	2568	6006	4417	6306	2402	4711	7370	4401	4818	6127
