Quant m/z,Other ID,Compound,Ret. Index,Spectra,Kegg,PubChem,BioRec 1.d,BioRec 2.d,BioRec 3.d,S1.d,S2.d,S3.d,S4.d,S5.d,S6.d,S7.d,S8.d,S9.d,S10.d,S11.d,S12.d,S13.d,S14.d,S15.d,S16.d,S17.d,S18.d,S19.d,S20.d,S21.d,S22.d,S23.d,S24.d,S25.d,S26.d,S27.d,S28.d,S29.d,S30.d,S31.d,S32.d,S33.d,S34.d,S35.d,S36.d,S37.d,S38.d,S39.d,S40.d,S41.d,S42.d,S43.d,S44.d,S45.d,S46.d,S47.d,S48.d,S49.d,S50.d,S51.d,S52.d,S53.d,S54.d,S55.d,S56.d,S57.d,S58.d,S59.d
554.478,,Cer (d32:1),4.996,,,,819,769,737,3647,2803,4153,1870,1505,2304,3660,1891,2564,1338,2989,2085,1555,3007,2465,3036,2093,2557,4214,1602,1884,2667,3652,1468,2198,2301,2141,2646,1342,2119,1590,2305,1726,1221,1813,3217,1976,2038,1973,1501,3095,2760,2365,3207,1899,3511,1276,2584,2652,1949,1458,1731,2207,4490,3810,2930,1333,2340,1273
584.526,,Cer (d34:0),5.914,,,,1496,1082,1527,2585,3039,3265,1608,1590,3499,3886,1939,2732,2233,2348,1733,1732,2449,1946,2574,2329,1392,8222,1304,3147,2648,2053,3227,2670,1975,2093,3184,2121,2994,3177,4142,2000,2021,1642,2076,2658,2063,1257,1886,3011,2265,2346,2880,1864,1436,2167,2598,2526,1890,2056,2162,1964,1716,2438,1866,2106,2014,1927
572.481,,Cer (d34:1),5.672,,,,10879,9737,9321,20186,28863,33116,20360,14523,29667,34180,18759,22543,19604,20240,14924,16635,28266,14637,24503,17674,20203,44227,13182,21754,20126,21737,15938,25345,17212,22783,23726,10503,24909,16540,21527,14954,13458,15675,20246,16645,22090,17734,14151,25310,16687,15278,24347,17118,21301,15503,19832,23718,17356,18064,19473,17884,18816,23207,21161,13461,22543,19954
580.494,,Cer (d34:2),5.095,,,,1531,1436,1330,2545,3410,4047,2290,1777,2687,3265,2006,3093,1722,2509,1794,2219,2217,1611,2650,1964,2491,3867,1227,2043,2575,2677,1354,2982,2241,2310,2753,1310,2404,1446,2111,2183,1704,1572,2624,1493,3214,3576,2149,3347,2128,2280,2360,2177,3436,1615,2719,3035,2102,2227,2176,1825,2327,2222,3007,1491,2576,1957
610.541,,Cer (d36:1),6.384,,,,2794,3258,3218,6892,11345,10633,8262,5504,10397,14064,5833,8940,7370,6464,5730,8129,8011,5764,10617,6251,5302,18987,5287,6091,6761,7781,3779,11608,7229,4603,12942,3952,8621,5298,5146,6773,4097,4852,7838,4287,5440,5557,4738,7882,4255,6327,8261,6823,7333,4200,8033,7789,5416,7919,6302,5307,6791,8771,7213,3974,8695,9241
628.544,,Cer (d38:1),7.093,,,,5122,5000,4974,12394,13960,15547,12089,9460,12698,12413,11280,10045,7615,13057,10919,9328,11278,11257,20221,9509,11941,18406,8098,7073,9385,11248,8041,12694,11127,8004,11258,6889,11387,10330,10935,8653,7394,8307,13052,7058,6098,7363,7658,13195,11603,8061,12810,7902,8862,7155,12513,11088,9828,9206,10225,12459,13019,17623,11513,5491,11771,9587
652.588,,Cer (d39:1),7.446,,,,1544,1382,1679,4082,4199,3053,3933,3755,3589,2447,3790,3053,2357,4038,3721,2619,3784,5396,5684,3482,4732,2578,3269,1661,2930,3694,2816,3489,3990,2103,2603,2470,3661,4067,4079,2694,2474,2850,5587,3141,2114,2254,3118,4018,4116,2694,3707,2117,4015,2496,3276,3811,2888,2043,4171,4591,5414,7654,3863,1281,3808,1608
656.575,,Cer (d40:1),7.772,,,,28318,26799,26399,50530,63419,59461,49359,44203,54014,35968,43801,40268,28424,61523,51867,40036,53851,47158,74649,44157,52791,41352,37520,32502,45610,41728,46313,49647,45854,38559,47852,31090,45671,43149,48931,33377,34607,31823,55772,39074,28887,33006,41857,61446,52594,36779,59249,27394,47915,35053,48176,48594,45242,40702,44385,57503,51820,75431,48333,22545,43129,38512
664.588,,Cer (d40:2),7.185,,,,3429,3264,2845,6543,7454,6063,6325,5248,5973,4539,5183,5383,2688,8177,6522,4612,4915,6124,9790,4831,5857,4967,4449,3046,4270,4714,5271,5691,5906,3934,4488,2670,4650,4336,5541,3785,3879,3807,6485,3750,4445,5021,6030,9094,5738,3536,6863,2695,6186,4307,5003,5730,6347,3831,5146,6180,6423,8410,6539,2183,5376,4230
670.592,,Cer (d41:1),8.093,,,,25238,25270,23441,50867,56048,47966,46752,43833,54653,22410,39516,36558,26172,48741,46359,36269,42088,54277,59274,43774,51983,24777,42641,23409,36792,36972,36793,43253,58649,31710,44753,27559,46454,41628,53101,38242,32651,32732,56861,44301,27270,26619,34203,51801,44370,29953,41738,26578,44445,33203,40457,46933,40459,33919,49104,54844,52232,73630,48835,19002,42168,26906
