Quant m/z	Other ID	Compound	Ret. Index	Spectra	Kegg	PubChem	NEG_Pool_All_01 	NEG_Pool_All_02 	NEG_Pool_All_03 	NEG_Pool_All_04 	NEG_SF-100109-114720 	NEG_SF-100109-121711 	NEG_SF-100109-124896 	NEG_SF-100109-124904 	NEG_SF-100109-130034 	NEG_SF-100109-169058 	NEG_SF-100109-199550 	NEG_SF-100109-231142 	NEG_SF-100109-244079 	NEG_SF-100109-227718 	NEG_SF-120831-00062 	NEG_SF-100109-255622 	NEG_SF-100109-239012 	NEG_SF-100109-259700 	NEG_SF-100109-142930 	NEG_SF-100109-146730 	NEG_SF-100109-199546 	NEG_SF-100109-225118 	NEG_SF-100109-252159 	NEG_SF-110121-00073 	NEG_SF-110908-00016 
624.8093704		7.30_624.8094m/z	7.2965				2785.143271	2798.180673	2643.786458	2707.693155	6519.74115	6300.553725	5518.835501	4546.418451	7280.073748	5551.111539	6157.381498	870.9552393	1093.331386	1178.623718	1279.144006	1587.071455	2079.289377	913.8812985	1724.143068	1589.302067	2164.033303	1074.105788	953.4632165	1409.874224	1484.355442
572.7867066		7.30_572.7867m/z	7.2965				363.7040065	355.1029462	301.1398221	376.6775978	715.6291327	767.8942894	734.1893362	508.0976106	734.1248638	672.0945551	669.9444044	145.9872849	163.4984392	221.1673993	168.5391898	191.9954658	282.7597004	137.4018733	322.4022924	317.6033611	415.7015911	276.2962598	314.9685685	325.8006692	222.2830982
734.050149		1.07_734.0501m/z	1.07385				198.1588278	179.1040429	207.2914622	180.5014588	26.26038319	40.82817839	50.45098304	61.133639	28.20941169	62.73433252	50.15075293	410.4646909	368.188635	388.2342013	136.5619023	204.3412558	151.4047284	266.7944353	447.1913315	260.1981711	441.1574364	477.7803019	686.4881444	420.1167445	355.5153486
585.0736861		0.70_585.0737m/z	0.699033333				5832.515241	5904.491483	6047.039791	6029.561646	925.3316555	1838.096225	1076.743832	2552.890203	921.3655136	1557.138016	1790.240305	9369.224757	7004.524241	7762.67816	6607.861718	4102.214844	4770.679853	10028.58107	10512.95167	8745.809041	10238.83291	15858.57548	31661.76838	28004.67111	21695.9274
644.0214634		1.33_645.0622n	1.32745				15709.84914	14974.94564	14571.50521	14709.60127	4367.362459	6128.973568	5302.009807	8731.96129	5143.002139	5833.061786	8190.376703	22550.92055	22545.83947	21454.52065	13887.9354	13897.64483	11744.3275	19026.32542	30468.61688	17181.11948	30880.2763	30037.81255	44441.82143	30082.89542	24331.72032
331.028192		0.87_331.0282m/z	0.8681				465.4970386	477.1568313	472.1785187	574.4506156	150.4698886	234.8338602	212.584913	189.1620343	233.8833377	175.0245009	248.5946275	670.2337305	623.604851	1002.877243	586.3665367	478.6933943	688.6526609	615.0487446	611.1414559	407.7342805	567.1777735	868.1944151	623.4403513	803.2018239	532.3542666
990.0478253		0.89_990.0478m/z	0.885016667				2955.201402	3114.773746	3023.305862	3340.740665	1037.95673	1463.579199	1012.985048	1467.163286	1245.725192	849.221183	1158.99886	4706.634757	5638.096566	4011.339037	2320.859807	2213.751592	2081.309797	4660.582275	6350.071243	4381.242793	5670.139085	9082.971993	8974.591259	7259.122576	8046.524872
606.0743103		0.75_606.0743m/z	0.74975				1279407.127	1290202.479	1286869.745	1233211.991	182539.9212	285169.7277	242575.4543	570667.5032	258388.7179	280753.9924	483797.5507	2504891.68	2420990.998	1948317.385	1072609.061	1156357.665	800733.1661	1730190.127	2678895.645	1748641.662	2704565.467	2803971.737	5438434.093	2374725.819	2756564.605
608.2524597		8.06_608.2525m/z	8.063033333				765.5907782	788.9977652	759.5286452	754.6974277	321.4750618	460.4797586	263.9561455	541.7966856	333.5603011	260.9900674	400.0049653	977.8324578	1298.178721	970.119328	1018.633679	907.0279573	722.5716211	1315.259514	880.3090084	1052.84049	974.6934645	1235.139995	1300.631812	1134.995352	1023.358974
568.2610513		5.04_568.2611m/z	5.036233333				904.9976382	921.6436344	919.4442541	894.2533935	2217.209466	2971.76486	2448.700402	1348.829296	2185.850761	1350.450644	2181.186604	483.6674538	375.2147833	522.232585	349.8503882	526.5765355	532.3134669	491.2843217	708.6943884	595.1230587	409.2525114	396.7531087	240.2102652	649.1787039	347.3212518
935.1387199		1.23_935.1387m/z	1.226016667				3238.109999	3130.175827	3149.74938	3112.142968	1066.640793	1481.128041	1214.900528	1706.506562	1299.821335	1427.442731	1875.911749	5286.651299	4996.414495	4922.376846	3184.299954	3527.577236	3127.609499	3849.888402	5934.000784	3177.658687	6524.706518	5756.622172	7616.633841	4729.524302	4319.958868
385.1122039		0.67_385.1122m/z	0.665216667				143.8515438	146.1352486	144.0860006	152.8079423	43.91713283	45.35641089	35.5892123	79.49258414	32.15925775	43.19745691	49.05233858	309.1661458	295.8132771	212.7050509	476.3925828	136.1366186	226.8777901	358.477013	490.2687661	213.8119347	699.2095574	747.147747	1823.541378	614.2149529	521.2781932
796.0721254		1.28_796.0721m/z	1.276733333				1636.537419	1582.841532	1492.730384	1511.895225	512.8440275	712.2350266	738.8478391	886.1067944	524.9261529	709.2729296	980.2898147	2619.896033	1637.399385	1240.78708	1486.930249	1449.189327	1309.342678	1476.073906	2659.73614	1873.401353	2274.54635	3205.993745	3714.618944	2927.616583	2780.339764
991.10045		1.09_991.1005m/z	1.090766667				1838.11321	1778.508089	1786.876147	1700.350679	279.9235215	342.2545426	426.6050941	1099.170786	286.3628193	373.6205405	421.5217232	3423.941588	2640.742146	2368.308769	1459.738925	1488.364346	1042.383178	2624.179758	3334.166274	2179.884837	3641.597942	4052.1075	4284.82117	4150.77327	2932.688547
953.1346499		1.14_953.1346m/z	1.141483333				1502.742896	1482.325545	1456.922844	1384.309611	502.5512565	563.4162758	523.7303149	880.2935849	476.8170988	542.7210578	672.7140827	2002.587676	2262.541802	2176.809581	1395.822222	1051.362852	943.3732989	2022.174764	2508.832248	1798.722154	3048.80367	3360.936346	3992.295073	2753.049368	2745.962379
376.0646178		2.77_376.0646m/z	2.773316667				247.2423743	277.6340027	256.4779142	253.8244091	31.980251	32.28298537	34.41557577	124.3974612	25.87736887	38.04521085	50.64237332	487.1061668	456.0404762	420.9646711	303.9131826	146.7816397	231.6798767	475.5327037	300.9365692	344.2406813	384.4294009	770.8876174	1131.487342	698.7979132	626.9991266
